Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",5.17,5.25,4.58,4.78,"1,247,470","233,444,000"
"Mar 28, 2018",5.37,5.59,5.12,5.16,"179,232","242,701,000"
"Mar 27, 2018",5.64,5.65,5.27,5.37,"179,880","254,661,000"
"Mar 26, 2018",5.66,5.83,5.42,5.64,"177,530","255,601,000"
"Mar 25, 2018",5.87,5.98,5.61,5.66,"182,728","265,007,000"
"Mar 24, 2018",6.05,6.20,5.85,5.95,"175,928","273,344,000"
"Mar 23, 2018",5.91,5.97,5.60,5.97,"213,595","266,971,000"
"Mar 22, 2018",5.96,6.14,5.73,5.91,"183,104","269,367,000"
"Mar 21, 2018",5.95,6.22,5.92,5.97,"190,811","268,962,000"
"Mar 20, 2018",5.82,6.07,5.67,5.94,"207,155","263,087,000"
"Mar 19, 2018",5.57,5.90,5.43,5.76,"193,693","251,559,000"
"Mar 18, 2018",5.44,5.65,4.90,5.59,"171,410","245,753,000"
"Mar 17, 2018",5.56,5.74,5.28,5.45,"163,253","251,232,000"
"Mar 16, 2018",5.53,5.92,5.33,5.55,"156,455","249,936,000"
"Mar 15, 2018",5.66,5.80,5.30,5.54,"167,793","255,744,000"
"Mar 14, 2018",6.31,6.36,5.52,5.67,"179,215","285,109,000"
"Mar 13, 2018",6.27,6.54,6.08,6.31,"183,321","283,197,000"
"Mar 12, 2018",6.59,6.83,6.08,6.31,"190,167","297,461,000"
"Mar 11, 2018",6.14,6.71,5.77,6.61,"202,158","277,481,000"
"Mar 10, 2018",6.48,7.19,6.16,6.17,"161,475","292,693,000"
"Mar 09, 2018",6.51,6.58,5.87,6.39,"174,264","293,738,000"
"Mar 08, 2018",6.74,7.07,6.18,6.55,"219,819","304,281,000"
"Mar 07, 2018",7.07,7.57,6.53,6.75,"187,585","319,209,000"
"Mar 06, 2018",7.72,7.94,7.03,7.08,"207,085","348,524,000"
"Mar 05, 2018",8.07,8.35,7.74,7.74,"203,453","364,184,000"
"Mar 04, 2018",7.66,8.07,7.35,8.07,"223,217","345,874,000"
"Mar 03, 2018",7.61,8.20,7.61,7.67,"207,375","343,495,000"
"Mar 02, 2018",7.72,7.94,6.88,7.62,"236,755","348,543,000"
"Mar 01, 2018",7.23,7.86,7.17,7.74,"228,919","326,249,000"
"Feb 28, 2018",7.57,7.94,7.21,7.22,"221,555","341,839,000"
"Feb 27, 2018",7.55,8.13,7.35,7.58,"197,092","340,963,000"
"Feb 26, 2018",5.00,7.70,4.91,7.54,"584,096","225,757,000"
"Feb 25, 2018",5.05,5.85,4.94,5.00,"160,178","228,067,000"
"Feb 24, 2018",7.00,7.21,4.87,5.06,"246,365","316,068,000"
"Feb 23, 2018",6.90,7.48,6.73,7.01,"223,644","311,220,000"
"Feb 22, 2018",7.42,8.33,6.90,6.90,"204,170","334,905,000"
"Feb 21, 2018",7.87,8.28,7.31,7.44,"246,430","355,042,000"
"Feb 20, 2018",7.82,8.43,7.79,7.88,"250,160","352,882,000"
"Feb 19, 2018",7.37,8.10,7.25,7.81,"244,694","332,731,000"
"Feb 18, 2018",7.77,7.90,7.25,7.41,"220,972","350,432,000"
"Feb 17, 2018",7.35,7.84,7.26,7.74,"213,704","331,646,000"
"Feb 16, 2018",7.36,7.50,6.94,7.35,"237,226","332,250,000"
"Feb 15, 2018",6.73,7.43,6.60,7.40,"291,015","303,729,000"
"Feb 14, 2018",6.11,6.99,6.04,6.73,"270,863","275,474,000"
"Feb 13, 2018",6.68,6.77,6.09,6.12,"234,572","301,266,000"
"Feb 12, 2018",6.34,7.15,6.34,6.67,"242,505","286,034,000"
"Feb 11, 2018",6.58,6.80,6.18,6.30,"256,794","297,000,000"
"Feb 10, 2018",6.52,6.93,6.30,6.59,"219,768","294,088,000"
"Feb 09, 2018",6.20,6.61,5.89,6.52,"233,753","279,431,000"
"Feb 08, 2018",5.68,6.62,5.68,6.18,"227,961","256,245,000"
"Feb 07, 2018",6.01,6.59,5.48,5.70,"214,807","271,171,000"
"Feb 06, 2018",5.19,6.24,4.58,6.07,"232,054","234,225,000"
"Feb 05, 2018",5.75,5.96,5.00,5.19,"200,343","259,514,000"
"Feb 04, 2018",6.56,6.92,5.55,5.81,"165,875","295,985,000"
"Feb 03, 2018",6.52,7.03,5.91,6.56,"241,164","294,112,000"
"Feb 02, 2018",7.07,7.19,5.65,6.50,"281,134","318,715,000"
"Feb 01, 2018",7.53,7.77,6.47,7.08,"314,148","339,638,000"
"Jan 31, 2018",7.51,8.33,7.04,7.51,"302,624","338,599,000"
"Jan 30, 2018",9.18,9.18,7.30,7.50,"289,948","413,872,000"
"Jan 29, 2018",9.74,9.76,8.26,9.18,"365,889","439,088,000"
"Jan 28, 2018",9.91,10.51,9.15,9.75,"322,684","446,961,000"
"Jan 27, 2018",8.50,10.01,8.05,9.86,"359,222","383,323,000"
"Jan 26, 2018",8.19,8.53,7.44,8.51,"340,294","369,202,000"
"Jan 25, 2018",9.29,9.91,7.62,8.21,"500,884","419,020,000"
"Jan 24, 2018",8.21,9.90,8.02,9.44,"492,204","370,149,000"
"Jan 23, 2018",6.17,10.04,6.00,8.22,"439,884","278,230,000"
"Jan 22, 2018",6.02,6.71,5.59,6.19,"309,640","271,190,000"
"Jan 21, 2018",6.01,6.87,5.60,5.94,"261,157","271,115,000"
"Jan 20, 2018",5.46,6.71,5.46,6.00,"284,248","245,894,000"
"Jan 19, 2018",5.53,6.01,5.28,5.40,"243,618","249,125,000"
"Jan 18, 2018",5.26,6.00,5.03,5.59,"244,062","237,251,000"
"Jan 17, 2018",5.06,5.94,4.75,5.25,"207,634","227,898,000"
"Jan 16, 2018",6.27,6.47,4.71,5.08,"260,616","282,361,000"
"Jan 15, 2018",5.61,6.45,5.45,6.26,"288,491","252,943,000"
"Jan 14, 2018",5.89,5.95,5.25,5.65,"243,345","265,554,000"
"Jan 13, 2018",5.84,7.14,5.56,5.89,"223,126","263,092,000"
"Jan 12, 2018",4.85,5.95,4.58,5.85,"246,558","218,425,000"
"Jan 11, 2018",5.09,5.16,4.53,4.68,"216,173","229,482,000"
"Jan 10, 2018",4.82,5.34,4.69,5.10,"233,026","217,147,000"
"Jan 09, 2018",5.09,5.55,4.90,5.10,"226,738","229,211,000"
"Jan 08, 2018",5.85,6.19,4.91,5.10,"259,155","263,743,000"
"Jan 07, 2018",5.68,6.08,5.30,5.86,"279,392","255,881,000"
"Jan 06, 2018",5.27,6.21,5.02,5.68,"265,244","237,443,000"
"Jan 05, 2018",5.01,5.58,4.64,5.27,"261,749","225,717,000"
"Jan 04, 2018",4.57,5.01,4.15,5.01,"238,233","205,728,000"
"Jan 03, 2018",4.61,4.94,4.30,4.54,"230,339","207,850,000"
"Jan 02, 2018",4.59,5.11,3.87,4.63,"314,199","206,704,000"
"Jan 01, 2018",5.03,5.43,4.34,4.59,"244,629","226,441,000"
"Dec 31, 2017",3.94,5.74,3.90,5.01,"353,947","177,546,000"
"Dec 30, 2017",4.93,4.93,3.78,3.99,"109,532","221,852,000"
"Dec 29, 2017",4.92,5.10,4.42,4.94,"243,391","221,526,000"
"Dec 28, 2017",4.35,5.12,4.15,4.87,"192,984","195,801,000"
"Dec 27, 2017",4.90,6.30,4.35,4.36,"218,318","220,810,000"
"Dec 26, 2017",4.48,5.74,4.31,4.90,"225,203","201,535,000"
"Dec 25, 2017",4.51,5.16,4.29,4.39,"243,334","203,289,000"
"Dec 24, 2017",4.97,5.13,4.15,4.47,"233,072","223,576,000"
"Dec 23, 2017",4.15,5.17,4.09,4.91,"148,298","187,072,000"
"Dec 22, 2017",5.01,5.06,3.59,4.12,"214,445","225,762,000"
"Dec 21, 2017",4.78,5.49,4.58,5.00,"227,195","215,410,000"
"Dec 20, 2017",4.91,5.34,4.56,4.77,"190,410","221,131,000"
"Dec 19, 2017",6.48,6.48,4.92,4.92,"215,936","291,603,000"
"Dec 18, 2017",5.16,6.28,4.93,5.92,"255,845","232,341,000"
"Dec 17, 2017",5.45,5.78,5.12,5.15,"173,631","245,168,000"
"Dec 16, 2017",4.41,5.46,4.40,5.45,"294,095","198,648,000"
"Dec 15, 2017",4.47,4.85,4.37,4.41,"199,080","201,298,000"
"Dec 14, 2017",4.26,4.68,4.20,4.47,"177,682","191,844,000"
"Dec 13, 2017",4.31,4.76,4.11,4.28,"174,245","193,938,000"
"Dec 12, 2017",4.20,4.62,4.10,4.31,"188,215","189,188,000"
"Dec 11, 2017",3.96,4.70,3.94,4.19,"192,131","178,142,000"
"Dec 10, 2017",3.70,4.26,3.30,3.99,"164,622","166,473,000"
"Dec 09, 2017",4.35,4.42,3.50,3.68,"171,704","195,953,000"
"Dec 08, 2017",5.14,5.19,3.80,4.36,"324,471","231,338,000"
"Dec 07, 2017",4.25,5.13,4.03,5.13,"210,681","191,115,000"
"Dec 06, 2017",3.52,4.26,3.25,4.25,"162,647","158,295,000"
"Dec 05, 2017",3.26,3.79,3.08,3.53,"173,397","146,729,000"
"Dec 04, 2017",3.11,3.59,3.10,3.25,"147,451","139,987,000"
"Dec 03, 2017",3.62,3.73,3.05,3.10,"236,638","162,945,000"
"Dec 02, 2017",2.44,3.62,2.35,3.62,"195,042","109,890,000"
"Dec 01, 2017",2.22,2.68,2.16,2.62,"146,838","99,979,000"
"Nov 30, 2017",2.25,2.49,2.00,2.23,"135,490","101,151,000"
"Nov 29, 2017",2.09,2.53,2.08,2.21,"123,391","94,085,900"
"Nov 28, 2017",2.21,2.33,2.05,2.09,"133,616","99,534,200"
"Nov 27, 2017",2.12,2.25,1.88,2.21,"127,646","95,205,700"
"Nov 26, 2017",1.82,2.14,1.82,2.12,"109,848","81,938,500"
"Nov 25, 2017",1.87,2.06,1.66,1.82,"104,993","84,057,900"
"Nov 24, 2017",1.55,2.03,1.51,1.87,"123,603","69,497,700"
"Nov 23, 2017",1.53,1.89,1.36,1.55,"132,188","69,028,200"
"Nov 22, 2017",1.30,1.54,1.28,1.54,"135,714","58,552,900"
"Nov 21, 2017",1.32,1.42,1.24,1.30,"105,209","59,173,300"
"Nov 20, 2017",1.23,1.40,1.22,1.32,"106,914","55,454,000"
"Nov 19, 2017",1.25,1.38,1.18,1.23,"98,804","56,417,000"
"Nov 18, 2017",1.29,1.34,1.17,1.26,"104,499","58,083,000"
"Nov 17, 2017",1.25,1.37,1.18,1.30,"100,245","56,138,100"
"Nov 16, 2017",1.21,1.34,1.16,1.25,"109,048","54,412,200"
"Nov 15, 2017",1.06,1.27,1.06,1.20,"101,793","47,683,200"
"Nov 14, 2017",1.09,1.18,1.05,1.06,"110,521","49,083,700"
"Nov 13, 2017",0.940260,1.19,0.875044,1.09,"106,703","42,273,000"
"Nov 12, 2017",1.30,1.30,0.906788,0.938893,"51,977","58,374,700"
"Nov 11, 2017",1.16,1.33,0.948879,1.30,"142,993","52,208,100"
"Nov 10, 2017",1.24,1.28,1.06,1.17,"77,186","55,870,500"
"Nov 09, 2017",1.27,1.33,1.21,1.24,"98,033","57,265,100"
"Nov 08, 2017",1.23,1.35,1.19,1.28,"107,181","55,510,400"
"Nov 07, 2017",1.25,1.43,1.21,1.24,"102,042",-
"Nov 06, 2017",1.32,1.41,1.20,1.25,"143,660",-
"Nov 05, 2017",1.33,1.59,1.22,1.32,"79,061",-
"Nov 04, 2017",1.28,1.37,1.12,1.34,"83,286",-
"Nov 03, 2017",1.33,1.69,1.13,1.28,"93,517",-
"Nov 02, 2017",1.46,1.53,1.16,1.36,"104,615",-
"Nov 01, 2017",1.54,1.61,1.18,1.46,"138,360",-
"Oct 31, 2017",0.881588,1.61,0.728304,1.54,"574,651",-
"Oct 30, 2017",1.40,1.56,0.737126,0.884592,"144,318",-
"Oct 29, 2017",1.42,1.45,1.35,1.41,"105,742",-
"Oct 28, 2017",1.36,1.61,1.23,1.43,"104,856",-
"Oct 27, 2017",1.42,1.57,1.28,1.35,"114,814",-
"Oct 26, 2017",1.59,2.22,0.956729,1.42,"121,160",-
"Oct 25, 2017",1.83,1.83,1.35,1.59,"103,078",-
"Oct 24, 2017",1.72,2.25,1.33,1.83,"122,495",-
"Oct 23, 2017",1.91,2.13,1.49,1.73,262,-
"Oct 22, 2017",2.29,2.31,1.63,1.91,68,-
"Oct 21, 2017",2.19,2.32,1.65,2.29,"8,377",-
"Oct 20, 2017",2.34,2.49,2.17,2.20,593,-
"Oct 19, 2017",2.12,2.48,1.76,2.34,"560,956",-
"Oct 18, 2017",2.25,2.25,1.76,2.12,"1,959",-
"Oct 17, 2017",2.12,2.67,1.79,2.25,"442,008",-
"Oct 16, 2017",2.85,2.86,1.52,2.12,"48,748",-
"Oct 15, 2017",2.24,2.87,0.819288,2.85,"604,427",-
"Oct 14, 2017",2.71,2.81,1.38,2.24,"82,511",-
"Oct 13, 2017",3.00,3.00,2.29,2.71,"199,539",-
"Oct 12, 2017",3.09,3.10,2.62,2.99,"322,269",-
"Oct 07, 2017",2.70,2.70,2.70,2.70,"79,554",-
