Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",0.105657,0.106084,0.085370,0.089978,"13,258,700","63,410,000"
"Mar 29, 2018",0.101737,0.118489,0.094703,0.106288,"28,578,900","61,057,300"
"Mar 28, 2018",0.100683,0.103450,0.098302,0.101473,"14,682,400","60,424,800"
"Mar 27, 2018",0.099214,0.105209,0.093580,0.101049,"12,712,400","59,543,500"
"Mar 26, 2018",0.094348,0.102382,0.089861,0.098915,"9,451,360","56,623,100"
"Mar 25, 2018",0.095836,0.096619,0.091957,0.094292,"11,000,400","57,516,100"
"Mar 24, 2018",0.100285,0.103342,0.093780,0.097267,"13,852,500","60,185,700"
"Mar 23, 2018",0.090348,0.099520,0.084193,0.099200,"18,228,600","54,222,300"
"Mar 22, 2018",0.086255,0.092458,0.082307,0.089732,"10,522,100","51,766,200"
"Mar 21, 2018",0.082260,0.097405,0.082066,0.085955,"12,730,600","49,368,200"
"Mar 20, 2018",0.079076,0.084409,0.075347,0.082080,"5,845,100","47,457,700"
"Mar 19, 2018",0.072098,0.081442,0.071428,0.077930,"3,865,440","43,269,800"
"Mar 18, 2018",0.074019,0.074019,0.062340,0.072340,"4,344,780","44,422,600"
"Mar 17, 2018",0.080335,0.081423,0.073443,0.074059,"3,082,260","48,213,100"
"Mar 16, 2018",0.081350,0.083758,0.078174,0.080185,"3,525,340","36,216,800"
"Mar 15, 2018",0.084273,0.084975,0.076818,0.081340,"4,408,090","37,518,000"
"Mar 14, 2018",0.093091,0.094202,0.081331,0.083974,"4,621,600","41,444,100"
"Mar 13, 2018",0.091908,0.096194,0.089534,0.092900,"4,918,870","40,917,100"
"Mar 12, 2018",0.096253,0.098987,0.088876,0.092202,"9,301,120","42,851,600"
"Mar 11, 2018",0.089351,0.097231,0.086325,0.096461,"3,780,490","39,778,800"
"Mar 10, 2018",0.094782,0.101173,0.088492,0.089796,"2,704,430","42,196,900"
"Mar 09, 2018",0.102255,0.103406,0.084652,0.094640,"3,906,630","45,523,900"
"Mar 08, 2018",0.111225,0.113215,0.099869,0.102726,"3,887,740","49,517,100"
"Mar 07, 2018",0.133265,0.140383,0.102874,0.111259,"12,311,200","59,329,500"
"Mar 06, 2018",0.127936,0.146393,0.118441,0.134323,"18,816,300","56,956,800"
"Mar 05, 2018",0.141253,0.141342,0.127490,0.129624,"7,104,010","62,885,400"
"Mar 04, 2018",0.137570,0.143291,0.132442,0.141136,"5,649,420","61,246,000"
"Mar 03, 2018",0.136677,0.140671,0.135468,0.137530,"4,366,680","60,848,100"
"Mar 02, 2018",0.141351,0.141809,0.134783,0.136927,"4,619,810","62,929,000"
"Mar 01, 2018",0.138529,0.145350,0.137086,0.141636,"5,836,440","61,672,800"
"Feb 28, 2018",0.150695,0.153113,0.137852,0.138069,"5,315,590","67,088,900"
"Feb 27, 2018",0.154850,0.159804,0.148373,0.150822,"3,334,400","68,938,900"
"Feb 26, 2018",0.156100,0.156786,0.152659,0.154249,"2,849,820","69,495,200"
"Feb 25, 2018",0.156999,0.158597,0.150471,0.155990,"4,685,180","69,895,700"
"Feb 24, 2018",0.158943,0.174260,0.153421,0.157268,"6,394,310","70,834,300"
"Feb 23, 2018",0.154676,0.164807,0.146850,0.159356,"6,525,790","69,056,500"
"Feb 22, 2018",0.164992,0.175087,0.151645,0.155471,"4,529,320","73,661,700"
"Feb 21, 2018",0.183203,0.183404,0.163572,0.165908,"4,919,850","81,792,600"
"Feb 20, 2018",0.191577,0.193686,0.183555,0.183875,"5,134,690","85,530,900"
"Feb 19, 2018",0.189557,0.195462,0.187499,0.191368,"5,218,510","84,629,300"
"Feb 18, 2018",0.205501,0.206126,0.188269,0.190865,"7,172,180","91,747,500"
"Feb 17, 2018",0.195454,0.206060,0.192866,0.205195,"5,597,490","87,262,100"
"Feb 16, 2018",0.188433,0.197038,0.184051,0.196149,"7,061,530","84,127,300"
"Feb 15, 2018",0.188320,0.194703,0.184930,0.188782,"6,052,130","84,076,700"
"Feb 14, 2018",0.180958,0.191999,0.178735,0.188088,"6,978,180","80,789,900"
"Feb 13, 2018",0.183942,0.185230,0.172567,0.181807,"5,251,020","81,562,100"
"Feb 12, 2018",0.169116,0.190221,0.169116,0.183933,"5,668,740","74,988,000"
"Feb 11, 2018",0.185272,0.185272,0.162765,0.176229,"5,822,840","82,151,900"
"Feb 10, 2018",0.187902,0.198891,0.176232,0.185644,"8,989,820","83,318,100"
"Feb 09, 2018",0.182853,0.196239,0.172325,0.188848,"6,204,850","81,079,100"
"Feb 08, 2018",0.157552,0.195661,0.157552,0.183351,"6,895,200","69,860,400"
"Feb 07, 2018",0.173585,0.186932,0.157362,0.158416,"7,915,700","76,969,800"
"Feb 06, 2018",0.153254,0.175631,0.117335,0.174328,"8,043,680","67,954,500"
"Feb 05, 2018",0.201887,0.205154,0.140477,0.152540,"7,530,130","89,518,700"
"Feb 04, 2018",0.272991,0.272991,0.189530,0.202964,"13,932,000","121,047,000"
"Feb 03, 2018",0.229599,0.279318,0.207069,0.273091,"15,820,900","101,806,000"
"Feb 02, 2018",0.243322,0.243322,0.161880,0.228732,"9,265,530","107,892,000"
"Feb 01, 2018",0.278905,0.284726,0.220381,0.244026,"15,734,500","123,669,000"
"Jan 31, 2018",0.266121,0.282995,0.257865,0.279526,"17,365,200","118,001,000"
"Jan 30, 2018",0.339046,0.339046,0.256732,0.271982,"18,459,700","150,336,000"
"Jan 29, 2018",0.317201,0.358916,0.307602,0.341233,"48,013,800","140,650,000"
"Jan 28, 2018",0.268391,0.363972,0.266488,0.316138,"29,756,700","119,007,000"
"Jan 27, 2018",0.261990,0.272649,0.254511,0.266857,"8,485,130","116,156,000"
"Jan 26, 2018",0.268141,0.279673,0.242128,0.262113,"11,217,600","118,883,000"
"Jan 25, 2018",0.267702,0.279631,0.263976,0.269339,"10,485,800","118,688,000"
"Jan 24, 2018",0.262154,0.274945,0.248027,0.265287,"11,251,300","116,228,000"
"Jan 23, 2018",0.259109,0.274062,0.236649,0.262009,"8,845,750","114,878,000"
"Jan 22, 2018",0.275818,0.296324,0.241348,0.259177,"11,549,800","122,287,000"
