Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.410376,0.416039,0.363352,0.368665,"1,371,830","29,993,400"
"Mar 05, 2018",0.467182,0.468134,0.402080,0.410921,"1,437,390","33,613,200"
"Mar 04, 2018",0.386613,0.469085,0.362598,0.467087,"1,984,650","27,767,200"
"Mar 03, 2018",0.357270,0.446065,0.345691,0.386677,"881,221","25,659,800"
"Mar 02, 2018",0.351866,0.370778,0.342501,0.356583,"454,948","25,064,100"
"Mar 01, 2018",0.348319,0.360863,0.331982,0.352828,"408,784","24,811,400"
"Feb 28, 2018",0.373179,0.374194,0.346632,0.348276,"437,707","26,582,200"
"Feb 27, 2018",0.382145,0.388217,0.363046,0.372598,"379,820","26,995,500"
"Feb 26, 2018",0.381142,0.399875,0.369470,0.374566,"539,359","26,751,100"
"Feb 25, 2018",0.378636,0.448777,0.363141,0.386179,"842,215","26,363,200"
"Feb 24, 2018",0.379558,0.418426,0.350916,0.378122,"663,017","26,427,300"
"Feb 23, 2018",0.372038,0.404392,0.355731,0.379796,"490,586","25,384,900"
"Feb 22, 2018",0.372159,0.425037,0.368218,0.372334,"750,292","25,105,900"
"Feb 21, 2018",0.439220,0.439937,0.371592,0.372505,"1,294,920","28,770,000"
"Feb 20, 2018",0.479226,0.524833,0.432163,0.444042,"2,381,560",-
