Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.999721,1.01,0.986053,0.997276,"561,514","18,255,900"
"Mar 22, 2018",1.00,1.01,0.984811,1.00,"3,047,290","18,174,900"
"Mar 21, 2018",0.997713,1.02,0.984410,0.999681,"923,273","17,889,000"
"Mar 20, 2018",1.01,1.01,0.991678,0.993738,"1,353,040","17,808,000"
"Mar 19, 2018",0.998333,1.04,0.952660,0.998415,"2,568,080","16,956,500"
"Mar 18, 2018",1.01,1.11,0.956350,1.01,"8,514,600","22,895,400"
"Mar 17, 2018",0.996933,1.02,0.990432,0.993334,"1,374,980","22,288,600"
"Mar 16, 2018",0.995968,1.02,0.984174,0.994542,"2,372,450","21,939,200"
"Mar 15, 2018",1.01,1.02,0.981107,1.00,"1,768,180","21,763,100"
"Mar 14, 2018",1.00,1.02,0.987988,1.01,"3,341,980","21,736,800"
"Mar 13, 2018",1.01,1.02,0.998557,1.00,"1,124,290","21,818,800"
"Mar 12, 2018",1.01,1.02,0.988787,1.01,"3,021,140","21,660,500"
"Mar 11, 2018",1.00,1.02,0.974576,1.01,"3,020,150","21,261,700"
"Mar 10, 2018",1.01,1.02,0.958496,1.01,"2,473,650","21,292,700"
"Mar 09, 2018",1.01,1.03,0.985906,1.01,"3,084,570","20,793,200"
"Mar 08, 2018",1.00,1.03,0.998731,1.02,"2,117,770","20,992,800"
"Mar 07, 2018",1.00,1.02,0.980931,1.00,"2,174,270","20,690,400"
"Mar 06, 2018",1.01,1.01,0.996643,1.00,"2,797,840","20,702,500"
"Mar 05, 2018",1.00,1.01,0.994819,0.997617,"1,792,350","21,187,500"
"Mar 04, 2018",1.00,1.01,0.996320,1.01,"1,787,790","20,899,700"
"Mar 03, 2018",0.997338,1.01,0.995463,1.00,"1,215,780","20,741,700"
"Mar 02, 2018",0.998934,1.00,0.992471,0.998200,"3,055,300","20,429,000"
"Mar 01, 2018",1.00,1.01,0.995152,0.999499,"2,631,010","20,296,600"
"Feb 28, 2018",1.00,1.01,0.853686,1.00,"2,600,470","19,989,500"
"Feb 27, 2018",1.00,1.01,0.993988,1.00,"1,541,440","19,446,800"
"Feb 26, 2018",0.995142,1.01,0.985398,1.00,"1,600,920","18,952,700"
"Feb 25, 2018",1.00,1.01,0.990846,0.994294,"2,260,260","18,544,300"
"Feb 24, 2018",1.01,1.01,0.989577,1.00,"3,665,210","18,582,500"
"Feb 23, 2018",1.01,1.01,0.988576,1.01,"4,494,300","17,757,600"
"Feb 22, 2018",0.996639,1.01,0.962394,1.00,"4,322,680","17,919,300"
