Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.010015,0.010934,0.009077,0.010934,"7,531,180","42,605,600"
"Mar 22, 2018",0.008723,0.010912,0.008703,0.010008,"9,087,990","37,110,200"
"Mar 21, 2018",0.008461,0.009133,0.008249,0.008726,"6,751,040","35,996,300"
"Mar 20, 2018",0.007600,0.009224,0.007320,0.008458,"6,850,000","32,331,700"
"Mar 19, 2018",0.006729,0.007632,0.006539,0.007529,"6,138,970","28,628,300"
"Mar 18, 2018",0.007308,0.007308,0.005912,0.006743,"6,547,070","31,092,200"
"Mar 17, 2018",0.008155,0.008155,0.007312,0.007318,"5,648,220","34,695,100"
"Mar 16, 2018",0.008232,0.008610,0.007855,0.008200,"6,203,560","35,019,600"
"Mar 15, 2018",0.008539,0.008596,0.007702,0.008219,"6,750,260","36,328,000"
"Mar 14, 2018",0.009467,0.009664,0.008357,0.008554,"6,548,300","40,274,200"
"Mar 13, 2018",0.009600,0.009696,0.009130,0.009463,"3,963,620","40,839,700"
"Mar 12, 2018",0.009994,0.010211,0.009008,0.009626,"8,047,700","42,515,700"
"Mar 11, 2018",0.009216,0.010532,0.008844,0.009998,"3,381,140","39,207,000"
"Mar 10, 2018",0.010304,0.010431,0.009147,0.009241,"3,512,570","43,835,900"
"Mar 09, 2018",0.009803,0.010350,0.008406,0.010350,"4,944,880","41,706,600"
"Mar 08, 2018",0.010810,0.012487,0.009393,0.009793,"8,675,780","45,991,000"
"Mar 07, 2018",0.016129,0.016819,0.009212,0.010674,"11,213,700","68,617,200"
"Mar 06, 2018",0.017864,0.017864,0.016076,0.016123,"5,090,610","75,999,100"
"Mar 05, 2018",0.017941,0.018681,0.017655,0.017830,"5,391,770","76,326,700"
"Mar 04, 2018",0.017866,0.018155,0.017358,0.017934,"5,205,480","76,007,700"
"Mar 03, 2018",0.018119,0.018144,0.017568,0.017894,"4,545,910","77,084,400"
"Mar 02, 2018",0.018862,0.019378,0.017726,0.018093,"5,298,880","80,246,000"
"Mar 01, 2018",0.017811,0.019496,0.017239,0.018953,"5,867,530","75,774,800"
"Feb 28, 2018",0.019891,0.020157,0.017744,0.017744,"5,156,670","84,625,300"
"Feb 27, 2018",0.018825,0.020618,0.018401,0.019846,"5,956,780","80,087,300"
"Feb 26, 2018",0.018089,0.019081,0.017376,0.018772,"5,178,600","76,956,800"
"Feb 25, 2018",0.019651,0.019889,0.017705,0.018078,"5,944,220","83,599,700"
"Feb 24, 2018",0.020900,0.021351,0.019144,0.019660,"6,012,030","88,873,100"
"Feb 23, 2018",0.020727,0.021700,0.020099,0.020875,"7,450,120","88,137,200"
"Feb 22, 2018",0.020933,0.022232,0.019797,0.020893,"8,468,520","88,993,000"
