Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.487756,0.491666,0.427460,0.444154,"174,501","25,024,800"
"Mar 22, 2018",0.460437,0.496584,0.431228,0.468114,"232,504","23,623,200"
"Mar 21, 2018",0.463372,0.494345,0.454288,0.459228,"365,242","23,773,800"
"Mar 20, 2018",0.419288,0.502362,0.414025,0.467631,"1,379,450","21,512,000"
"Mar 19, 2018",0.394700,0.456797,0.388826,0.423428,"265,646","20,250,500"
"Mar 18, 2018",0.406545,0.412928,0.346244,0.396406,"202,476","20,858,200"
"Mar 17, 2018",0.444910,0.468219,0.405067,0.408880,"198,317","22,826,600"
"Mar 16, 2018",0.519468,0.521366,0.414559,0.444315,"374,466","26,651,900"
"Mar 15, 2018",0.517325,0.534741,0.475434,0.508254,"415,911","26,541,900"
"Mar 14, 2018",0.609020,0.637038,0.508487,0.522741,"542,162","31,246,400"
"Mar 13, 2018",0.616384,0.637995,0.591041,0.610212,"506,943","31,624,300"
"Mar 12, 2018",0.659519,0.699372,0.591400,0.619629,"605,640","33,837,300"
"Mar 11, 2018",0.614937,0.708927,0.578044,0.642971,"583,652","31,550,000"
"Mar 10, 2018",0.648281,0.727997,0.597046,0.615878,"1,327,920","33,260,800"
"Mar 09, 2018",0.687655,0.750643,0.582946,0.665793,"1,082,660","35,280,900"
"Mar 08, 2018",0.714531,0.864267,0.681918,0.689626,"5,341,740","36,659,800"
"Mar 07, 2018",0.805835,0.831547,0.679910,0.724925,"505,624","41,344,300"
"Mar 06, 2018",0.866889,0.866889,0.749475,0.806924,"472,867","44,476,700"
"Mar 05, 2018",0.901162,0.915563,0.853679,0.872563,"540,207","46,235,100"
"Mar 04, 2018",0.954914,0.954914,0.860084,0.920627,"1,295,920","48,992,900"
"Mar 03, 2018",0.892822,0.969582,0.822221,0.946470,"1,598,970","45,807,200"
"Mar 02, 2018",0.835488,0.988519,0.835488,0.902528,"3,488,820","42,865,600"
"Mar 01, 2018",0.713349,0.879910,0.707095,0.837641,"1,788,980","36,599,100"
"Feb 28, 2018",0.737542,0.780630,0.703228,0.708781,"308,151","37,840,400"
"Feb 27, 2018",0.716216,0.807827,0.709552,0.738412,"516,753","36,746,200"
"Feb 26, 2018",0.709957,0.743699,0.699250,0.713844,"208,916","36,425,100"
"Feb 25, 2018",0.700442,0.728342,0.675431,0.709050,"187,633","35,936,900"
"Feb 24, 2018",0.702290,0.732651,0.648948,0.701672,"180,698","36,031,700"
"Feb 23, 2018",0.691697,0.747202,0.668684,0.703151,"172,045","35,488,300"
"Feb 22, 2018",0.729414,0.788489,0.652901,0.692344,"303,990","37,423,400"
