Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.791247,0.801170,0.720103,0.795882,"67,543","25,340,500"
"Mar 22, 2018",0.825220,0.889036,0.762908,0.791292,"78,982","26,428,500"
"Mar 21, 2018",0.847607,0.925006,0.790812,0.826143,"134,373","27,145,500"
"Mar 20, 2018",0.864591,0.898953,0.788286,0.858908,"156,808","27,689,400"
"Mar 19, 2018",0.809982,0.872102,0.723614,0.854704,"228,798","25,756,600"
"Mar 18, 2018",0.818659,0.901642,0.601121,0.813373,"291,109","26,032,600"
"Mar 17, 2018",0.950333,0.950333,0.816049,0.820337,"91,850","30,219,700"
"Mar 16, 2018",0.896376,1.04,0.807683,0.962355,"390,165","28,503,900"
"Mar 15, 2018",0.996016,1.02,0.827419,0.873240,"187,107","31,672,400"
"Mar 14, 2018",1.10,1.16,0.926692,0.991931,"123,968","35,118,900"
"Mar 13, 2018",1.22,1.22,1.10,1.10,"121,491","38,736,700"
"Mar 12, 2018",1.23,1.33,1.12,1.22,"172,149","39,188,500"
"Mar 11, 2018",1.19,1.34,1.09,1.22,"208,494","37,855,700"
"Mar 10, 2018",1.34,1.42,1.18,1.19,"113,961","42,576,800"
"Mar 09, 2018",1.23,1.34,0.873947,1.34,"353,555","39,087,400"
"Mar 08, 2018",1.43,1.48,1.18,1.27,"198,454","45,601,300"
"Mar 07, 2018",1.72,1.75,1.31,1.44,"374,420","54,360,400"
"Mar 06, 2018",1.78,1.79,1.57,1.72,"310,718","56,293,900"
"Mar 05, 2018",1.72,1.82,1.61,1.78,"312,342","53,931,000"
"Mar 04, 2018",1.90,1.90,1.58,1.71,"445,942","59,616,400"
"Mar 03, 2018",1.53,2.20,1.49,1.88,"895,106","48,187,600"
"Mar 02, 2018",1.42,1.55,1.29,1.54,"256,830","44,623,700"
"Mar 01, 2018",1.21,1.43,1.20,1.42,"186,097","37,974,100"
"Feb 28, 2018",1.20,1.34,1.15,1.20,"204,753","37,651,700"
"Feb 27, 2018",1.10,1.22,1.07,1.20,"126,501","34,471,500"
"Feb 26, 2018",1.09,1.15,0.977172,1.09,"114,865","34,269,200"
"Feb 25, 2018",1.09,1.12,1.02,1.09,"78,476","34,227,700"
"Feb 24, 2018",1.20,1.24,1.07,1.12,"100,890","37,606,900"
"Feb 23, 2018",1.14,1.25,1.03,1.20,"197,621","35,978,700"
"Feb 22, 2018",1.24,1.33,1.10,1.14,"203,586","39,007,900"
