Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",2.15,2.27,2.02,2.03,"70,359","24,960,300"
"Mar 20, 2018",2.01,2.22,1.84,2.15,"62,082","23,299,100"
"Mar 19, 2018",1.78,2.27,1.73,1.95,"142,678","20,648,100"
"Mar 18, 2018",1.70,1.80,1.39,1.79,"97,163","19,689,500"
"Mar 17, 2018",1.79,1.82,1.63,1.70,"37,061","20,734,800"
"Mar 16, 2018",2.04,2.04,1.62,1.79,"113,528","23,048,100"
"Mar 15, 2018",2.00,2.10,1.85,2.04,"69,006","22,597,600"
"Mar 14, 2018",1.92,2.08,1.81,2.00,"110,914","21,728,500"
"Mar 13, 2018",2.05,2.10,1.78,1.95,"94,662","23,192,900"
"Mar 12, 2018",2.16,2.26,1.93,2.06,"77,085","24,425,600"
"Mar 11, 2018",2.11,2.27,1.96,2.19,"64,956","23,790,800"
"Mar 10, 2018",2.19,2.34,2.05,2.09,"62,111","24,660,500"
"Mar 09, 2018",2.27,2.34,1.96,2.19,"165,645","25,013,300"
"Mar 08, 2018",2.43,2.58,2.23,2.30,"82,310","23,596,800"
"Mar 07, 2018",2.84,2.87,2.30,2.43,"110,103","30,372,500"
"Mar 06, 2018",3.01,3.01,2.51,2.84,"195,626","32,207,700"
"Mar 05, 2018",3.16,3.73,2.87,2.95,"316,883","33,822,800"
"Mar 04, 2018",3.36,3.38,2.87,3.16,"114,556","35,874,700"
"Mar 03, 2018",3.52,3.73,3.28,3.36,"126,787","37,619,100"
"Mar 02, 2018",3.84,4.12,3.48,3.58,"129,229","41,041,000"
"Mar 01, 2018",3.62,4.22,3.48,3.85,"113,110","38,632,300"
"Feb 28, 2018",3.78,3.88,3.60,3.62,"62,268","40,288,100"
"Feb 27, 2018",3.63,4.08,3.47,3.78,"109,670","38,670,300"
"Feb 26, 2018",3.59,3.79,3.29,3.61,"114,767","38,278,000"
"Feb 25, 2018",3.63,4.36,3.40,3.50,"256,980","38,684,000"
"Feb 24, 2018",3.41,3.58,3.09,3.58,"96,917","36,316,900"
"Feb 23, 2018",3.35,3.51,3.15,3.42,"95,287","35,606,900"
"Feb 22, 2018",3.34,3.68,3.08,3.32,"125,211","35,450,200"
"Feb 21, 2018",4.12,4.19,2.97,3.34,"184,052","43,740,100"
"Feb 20, 2018",4.49,4.77,4.02,4.13,"154,666","47,661,800"
"Feb 19, 2018",4.24,4.82,4.23,4.49,"170,743","44,954,200"
"Feb 18, 2018",4.75,4.97,4.09,4.26,"147,421","50,336,200"
"Feb 17, 2018",4.88,5.06,4.62,4.75,"243,716","51,681,300"
"Feb 16, 2018",5.10,5.39,4.66,4.85,"153,966","53,318,700"
"Feb 15, 2018",4.78,5.26,4.66,5.17,"161,754","48,516,100"
"Feb 14, 2018",4.27,4.75,4.20,4.74,"125,174","42,781,200"
"Feb 13, 2018",4.62,4.68,4.17,4.28,"136,367","46,299,200"
"Feb 12, 2018",4.19,4.72,4.19,4.61,"129,579","42,006,000"
"Feb 11, 2018",4.51,4.58,3.86,4.17,"132,368","45,130,500"
"Feb 10, 2018",4.70,4.98,4.29,4.55,"160,140","47,035,900"
"Feb 09, 2018",4.89,5.04,4.56,4.70,"174,488","47,679,300"
"Feb 08, 2018",4.66,5.13,4.09,4.88,"260,164","45,435,600"
"Feb 07, 2018",4.05,5.38,4.05,4.66,"288,379","19,597,800"
"Feb 06, 2018",3.26,4.12,2.71,4.05,"313,733","15,776,500"
"Feb 05, 2018",4.18,4.42,2.92,3.26,"201,918","20,222,700"
"Feb 04, 2018",5.17,5.37,3.87,4.19,"130,623","25,026,100"
"Feb 03, 2018",4.78,5.83,4.60,5.17,"206,222","23,110,000"
"Feb 02, 2018",5.72,5.72,3.43,4.73,"274,828","27,680,100"
"Feb 01, 2018",7.11,7.60,5.07,5.76,"295,051","34,393,300"
"Jan 31, 2018",6.59,7.14,6.25,7.09,"346,632","31,870,200"
"Jan 30, 2018",7.00,7.49,6.11,6.54,"319,598","33,893,000"
"Jan 29, 2018",7.85,8.16,6.81,7.00,"401,181","37,998,900"
"Jan 28, 2018",7.98,8.39,7.28,7.86,"354,929","38,634,100"
"Jan 27, 2018",8.28,8.47,7.56,8.01,"243,759","40,078,800"
"Jan 26, 2018",8.92,9.61,7.51,8.29,"306,072","43,159,900"
"Jan 25, 2018",9.68,10.04,8.50,8.94,"345,435","46,836,000"
"Jan 24, 2018",8.37,9.68,8.05,9.60,"374,694","40,488,700"
"Jan 23, 2018",8.46,9.04,7.50,8.44,"283,971","40,949,100"
"Jan 22, 2018",8.86,9.57,6.50,8.58,"511,639","42,881,900"
"Jan 21, 2018",11.32,11.34,8.75,8.75,"278,547","54,681,700"
"Jan 20, 2018",10.07,11.69,9.88,11.32,"479,878","48,579,100"
"Jan 19, 2018",10.24,10.98,9.16,9.99,"435,474","49,322,300"
"Jan 18, 2018",10.24,11.74,9.42,9.99,"725,280","49,289,000"
"Jan 17, 2018",9.30,10.39,7.11,10.05,"550,636","44,680,300"
"Jan 16, 2018",13.08,13.08,7.92,9.35,"818,092","62,724,500"
"Jan 15, 2018",13.21,14.14,12.38,12.88,"969,349","63,277,100"
"Jan 14, 2018",14.49,15.74,12.06,13.11,"763,080","69,307,600"
"Jan 13, 2018",14.55,16.23,12.20,14.22,"1,268,740","69,467,300"
"Jan 12, 2018",16.83,17.02,13.96,14.58,"1,380,480","80,273,100"
"Jan 11, 2018",16.62,18.34,13.81,15.68,"1,826,910","79,114,800"
"Jan 10, 2018",19.13,19.25,15.47,16.54,"2,603,390","90,922,700"
"Jan 09, 2018",11.31,18.88,11.29,18.75,"3,693,840","53,673,800"
"Jan 08, 2018",11.52,12.16,9.48,11.34,"2,167,380","54,606,600"
"Jan 07, 2018",7.23,12.22,6.96,11.55,"2,575,200","34,221,100"
"Jan 06, 2018",6.26,7.30,5.75,7.24,"732,667","29,564,900"
"Jan 05, 2018",6.56,7.10,5.97,6.40,"648,906","30,936,700"
"Jan 04, 2018",6.88,7.63,6.43,6.56,"553,297","32,364,200"
"Jan 03, 2018",6.62,7.56,6.11,6.93,"677,318","31,116,000"
"Jan 02, 2018",7.25,8.07,5.61,6.59,"1,238,770","34,000,200"
"Jan 01, 2018",7.09,8.14,6.51,7.25,"628,492","33,169,600"
"Dec 31, 2017",7.75,8.24,6.96,7.33,"712,145","36,210,000"
"Dec 30, 2017",6.28,8.42,6.26,7.84,"1,652,780","29,274,200"
"Dec 29, 2017",7.36,7.56,5.81,6.35,"1,299,240","34,241,300"
"Dec 28, 2017",6.36,8.29,4.96,7.23,"1,239,720","29,548,300"
"Dec 27, 2017",4.48,7.08,4.42,6.37,"1,199,640","20,781,300"
"Dec 26, 2017",3.33,4.85,3.27,4.55,"775,876","15,414,300"
"Dec 25, 2017",3.15,3.41,2.98,3.28,"396,341","14,550,600"
"Dec 24, 2017",3.31,3.31,2.78,3.12,"301,737","15,249,300"
"Dec 23, 2017",3.11,3.54,2.93,3.28,"307,424","14,331,600"
"Dec 22, 2017",3.77,3.81,2.31,2.98,"247,211","17,350,800"
"Dec 21, 2017",3.19,4.10,3.19,3.76,"260,095","14,636,000"
"Dec 20, 2017",3.79,3.86,3.07,3.14,"297,044","17,351,700"
"Dec 19, 2017",3.85,4.46,3.66,3.78,"297,900","17,628,800"
"Dec 18, 2017",3.79,4.07,3.37,3.85,"274,578","17,325,200"
"Dec 17, 2017",3.73,4.25,3.58,3.78,"486,307","17,013,200"
"Dec 16, 2017",2.63,3.94,2.55,3.74,"553,852","11,983,200"
"Dec 15, 2017",2.71,2.88,2.46,2.63,"152,119","12,329,500"
"Dec 14, 2017",2.77,2.98,2.47,2.75,"143,297","12,564,400"
"Dec 13, 2017",2.57,3.03,2.36,2.73,"158,576","11,613,900"
"Dec 12, 2017",2.86,3.09,2.26,2.56,"226,530","12,925,800"
"Dec 11, 2017",3.00,3.46,2.81,2.85,"153,340","13,532,900"
"Dec 10, 2017",2.99,3.29,2.56,3.02,"125,795","13,466,500"
"Dec 09, 2017",3.22,3.41,2.53,2.98,"173,787","14,445,900"
"Dec 08, 2017",4.20,4.20,2.81,3.22,"213,172","16,575,700"
"Dec 07, 2017",3.99,4.29,3.25,4.19,"457,041","15,709,700"
"Dec 06, 2017",2.78,4.11,2.68,3.99,"723,481","10,924,600"
"Dec 05, 2017",2.19,2.82,2.12,2.78,"297,046","8,611,630"
