Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.870354,0.904698,0.864697,0.887889,"918,704","32,602,000"
"Mar 22, 2018",0.886540,0.909701,0.851048,0.870268,"978,760","32,914,500"
"Mar 21, 2018",0.855319,0.936582,0.855057,0.886988,"1,341,040","31,755,400"
"Mar 20, 2018",0.867895,0.995420,0.818239,0.855169,"3,395,760","32,222,300"
"Mar 19, 2018",0.843927,0.873892,0.810826,0.861792,"1,852,440","31,332,400"
"Mar 18, 2018",0.870099,0.870099,0.740765,0.843294,"3,121,190","32,304,100"
"Mar 17, 2018",0.985154,1.01,0.855052,0.874011,"4,047,260","36,575,700"
"Mar 16, 2018",0.957035,1.02,0.954684,0.991663,"3,611,370","35,531,800"
"Mar 15, 2018",0.999564,1.01,0.926674,0.957234,"4,181,430","37,110,700"
"Mar 14, 2018",1.02,1.15,0.983283,0.998578,"3,895,880","37,926,400"
"Mar 13, 2018",1.02,1.06,1.01,1.02,"5,001,100","37,948,700"
"Mar 12, 2018",1.17,1.17,1.02,1.02,"9,099,240","43,281,600"
"Mar 11, 2018",1.11,1.17,1.10,1.16,"4,959,550","41,344,500"
"Mar 10, 2018",1.17,1.25,1.10,1.11,"7,560,480","43,605,700"
"Mar 09, 2018",1.31,1.31,1.11,1.17,"6,781,770","44,799,200"
"Mar 08, 2018",1.42,1.62,1.21,1.31,"5,377,540","48,543,800"
"Mar 07, 2018",1.69,1.70,1.40,1.42,"5,494,400","53,070,300"
"Mar 06, 2018",1.87,1.87,1.68,1.69,"6,541,590","58,846,900"
"Mar 05, 2018",1.80,1.94,1.80,1.88,"6,250,330","56,607,600"
"Mar 04, 2018",1.82,1.82,1.78,1.80,"5,399,410","57,126,900"
"Mar 03, 2018",1.71,2.02,1.71,1.82,"6,454,280","53,597,400"
"Mar 02, 2018",1.74,1.85,1.70,1.71,"4,144,450","54,573,800"
"Mar 01, 2018",1.74,1.83,1.73,1.74,"4,591,780","52,827,700"
"Feb 28, 2018",1.79,1.85,1.74,1.75,"3,855,150","54,147,300"
"Feb 27, 2018",1.72,1.87,1.71,1.80,"4,438,810","52,134,300"
"Feb 26, 2018",1.61,1.75,1.58,1.72,"4,038,940","48,912,200"
"Feb 25, 2018",1.63,1.64,1.56,1.61,"1,833,040","49,489,200"
"Feb 24, 2018",1.74,1.78,1.60,1.63,"4,049,440","52,913,400"
"Feb 23, 2018",1.62,1.80,1.56,1.75,"3,008,420","49,028,900"
"Feb 22, 2018",1.78,1.84,1.50,1.62,"2,296,070","53,950,400"
