Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.009829,0.010438,0.008760,0.010438,"1,474,080","104,334,000"
"Mar 22, 2018",0.010910,0.011243,0.008856,0.009833,"1,075,860","115,806,000"
"Mar 21, 2018",0.010639,0.011466,0.010411,0.010892,"1,118,990","112,931,000"
"Mar 20, 2018",0.011240,0.012140,0.009688,0.010592,"1,775,840","119,307,000"
"Mar 19, 2018",0.008999,0.011039,0.008661,0.011039,"1,270,370","95,522,000"
"Mar 18, 2018",0.009680,0.009680,0.006306,0.009092,"2,327,640","102,754,000"
"Mar 17, 2018",0.010993,0.011130,0.009716,0.009743,"646,822","116,685,000"
"Mar 16, 2018",0.011276,0.011659,0.010551,0.011012,"653,741","119,693,000"
"Mar 15, 2018",0.011349,0.011552,0.009429,0.011343,"1,673,380","120,463,000"
"Mar 14, 2018",0.014163,0.014537,0.011249,0.011306,"1,053,150","150,334,000"
"Mar 13, 2018",0.014864,0.015148,0.013950,0.014221,"748,634","157,776,000"
"Mar 12, 2018",0.015057,0.016379,0.014504,0.015001,"1,324,140","159,831,000"
"Mar 11, 2018",0.013915,0.015482,0.013339,0.015215,"708,656","147,705,000"
"Mar 10, 2018",0.015666,0.016052,0.013798,0.013933,"856,478","166,290,000"
"Mar 09, 2018",0.014446,0.015742,0.011237,0.015706,"2,738,870","153,337,000"
"Mar 08, 2018",0.016960,0.017230,0.013965,0.014292,"2,476,480","180,022,000"
"Mar 07, 2018",0.019362,0.019686,0.016664,0.017056,"2,859,080","205,520,000"
"Mar 06, 2018",0.022588,0.022588,0.018143,0.019231,"2,106,600","239,767,000"
"Mar 05, 2018",0.021217,0.024394,0.019520,0.022631,"3,787,730","225,212,000"
"Mar 04, 2018",0.021655,0.021700,0.019609,0.021164,"3,063,530","229,858,000"
"Mar 03, 2018",0.022490,0.023233,0.021507,0.021755,"2,344,930","238,724,000"
"Mar 02, 2018",0.024260,0.024260,0.021993,0.022509,"5,779,060","257,515,000"
"Mar 01, 2018",0.024322,0.025025,0.023383,0.024274,"2,129,670","258,172,000"
"Feb 28, 2018",0.026676,0.027700,0.024156,0.024156,"2,518,610","283,161,000"
"Feb 27, 2018",0.028393,0.029006,0.026302,0.026814,"3,975,200","301,388,000"
"Feb 26, 2018",0.030329,0.031645,0.028285,0.028532,"6,166,200","321,938,000"
"Feb 25, 2018",0.027311,0.031703,0.026633,0.030229,"5,729,270","289,906,000"
"Feb 24, 2018",0.029491,0.030454,0.026525,0.027342,"3,135,090","313,036,000"
"Feb 23, 2018",0.027772,0.030258,0.026003,0.029578,"5,305,630","294,797,000"
"Feb 22, 2018",0.029472,0.038843,0.026809,0.027806,"19,274,800","312,844,000"
