Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.023826,0.023975,0.021830,0.022649,"1,638,870","238,508,000"
"Mar 22, 2018",0.024161,0.024861,0.022541,0.023832,"1,311,100","241,747,000"
"Mar 21, 2018",0.024935,0.025933,0.023865,0.024236,"2,167,350","249,378,000"
"Mar 20, 2018",0.022438,0.025255,0.021576,0.024761,"2,250,430","224,301,000"
"Mar 19, 2018",0.020150,0.022338,0.020039,0.022194,"1,669,820","201,336,000"
"Mar 18, 2018",0.019956,0.020665,0.016704,0.020386,"2,538,820","199,302,000"
"Mar 17, 2018",0.021944,0.022098,0.019613,0.019971,"940,464","219,051,000"
"Mar 16, 2018",0.022197,0.022767,0.021423,0.022144,"970,696","221,474,000"
"Mar 15, 2018",0.022817,0.022964,0.019918,0.022270,"2,087,190","227,556,000"
"Mar 14, 2018",0.026188,0.027483,0.022085,0.022784,"2,044,320","261,050,000"
"Mar 13, 2018",0.027206,0.028005,0.025393,0.026232,"1,994,580","271,079,000"
"Mar 12, 2018",0.026294,0.030934,0.026057,0.027438,"6,789,180","261,864,000"
"Mar 11, 2018",0.024355,0.026733,0.023370,0.026384,"1,486,700","242,446,000"
"Mar 10, 2018",0.025683,0.026968,0.024455,0.024459,"1,471,850","255,539,000"
"Mar 09, 2018",0.026594,0.027078,0.023204,0.025650,"2,585,470","264,482,000"
"Mar 08, 2018",0.027752,0.029250,0.025798,0.026729,"2,348,080","275,868,000"
"Mar 07, 2018",0.031103,0.032543,0.026125,0.027783,"4,314,090","309,042,000"
"Mar 06, 2018",0.034371,0.034371,0.030479,0.031071,"2,659,290","341,353,000"
"Mar 05, 2018",0.035580,0.036499,0.034258,0.034300,"3,065,310","353,192,000"
"Mar 04, 2018",0.035049,0.036215,0.033407,0.035613,"2,802,420","347,759,000"
"Mar 03, 2018",0.036013,0.036799,0.033509,0.035137,"3,778,450","357,163,000"
"Mar 02, 2018",0.036287,0.038559,0.035121,0.036205,"4,526,580","359,711,000"
"Mar 01, 2018",0.032343,0.037473,0.032049,0.036329,"7,433,250","320,460,000"
"Feb 28, 2018",0.036768,0.037145,0.032045,0.032047,"2,961,010","364,137,000"
"Feb 27, 2018",0.035908,0.037592,0.035129,0.036694,"3,948,000","355,453,000"
"Feb 26, 2018",0.033932,0.036211,0.032591,0.035726,"3,662,050","335,732,000"
"Feb 25, 2018",0.032249,0.034316,0.031805,0.033768,"3,182,620","318,931,000"
"Feb 24, 2018",0.033818,0.035222,0.030802,0.032331,"2,803,500","334,287,000"
"Feb 23, 2018",0.032705,0.035698,0.031136,0.033849,"3,940,420","323,135,000"
"Feb 22, 2018",0.037072,0.039090,0.031840,0.032894,"4,783,060","366,110,000"
