Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",358.85,362.44,341.26,352.88,"23,728,600","717,708,000"
"Mar 22, 2018",373.81,381.29,355.38,358.12,"30,218,500","747,626,000"
"Mar 21, 2018",357.44,388.50,355.24,374.12,"32,709,600","714,876,000"
"Mar 20, 2018",351.27,361.62,338.99,357.17,"24,961,900","702,547,000"
"Mar 19, 2018",346.68,359.18,338.13,347.06,"25,688,500","693,364,000"
"Mar 18, 2018",363.55,363.55,285.66,348.91,"29,796,100","727,103,000"
"Mar 17, 2018",407.77,409.43,358.64,365.02,"33,841,500","815,551,000"
"Mar 16, 2018",362.76,420.34,362.76,406.87,"70,182,900","725,519,000"
"Mar 15, 2018",330.77,423.06,330.28,365.74,"93,141,500","661,537,000"
"Mar 14, 2018",327.12,344.59,278.63,330.15,"26,308,200","654,232,000"
"Mar 13, 2018",339.54,348.21,322.00,327.16,"9,458,830","679,071,000"
"Mar 12, 2018",358.11,366.61,323.94,340.78,"43,148,100","716,222,000"
"Mar 11, 2018",340.22,371.43,330.18,358.12,"9,846,230","680,444,000"
"Mar 10, 2018",379.21,390.05,341.42,341.42,"19,341,300","758,425,000"
"Mar 09, 2018",328.95,380.56,274.76,380.56,"25,798,900","657,906,000"
"Mar 08, 2018",412.24,415.54,329.93,329.93,"20,584,100","824,477,000"
"Mar 07, 2018",479.56,492.55,395.69,414.95,"41,197,000","959,127,000"
"Mar 06, 2018",496.33,522.26,477.98,480.23,"71,034,300","992,654,000"
"Mar 05, 2018",488.10,506.52,483.20,490.25,"27,392,800","976,198,000"
"Mar 04, 2018",497.63,543.38,484.32,484.57,"51,848,100","995,269,000"
"Mar 03, 2018",489.34,549.99,430.94,504.98,"76,826,500","978,680,000"
"Mar 02, 2018",491.54,534.67,470.50,493.29,"69,410,200","983,088,000"
"Mar 01, 2018",560.74,596.85,501.54,503.48,"85,953,100","1,121,480,000"
"Feb 28, 2018",493.75,597.66,483.15,555.44,"132,048,000","987,489,000"
"Feb 27, 2018",411.37,497.71,400.72,493.13,"60,874,900","822,749,000"
"Feb 26, 2018",404.55,430.17,392.74,409.79,"45,753,000","809,108,000"
"Feb 25, 2018",367.16,417.10,336.99,404.83,"56,613,900","734,317,000"
"Feb 24, 2018",368.09,395.85,351.25,361.45,"61,060,800","736,182,000"
"Feb 23, 2018",318.33,375.08,311.66,368.55,"66,226,500","636,667,000"
"Feb 22, 2018",314.14,334.99,301.90,314.49,"76,170,000","628,273,000"
