Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.054720,0.054750,0.048594,0.052895,"1,552,220","32,832,100"
"Mar 22, 2018",0.053483,0.061844,0.052485,0.054608,"3,221,440","32,090,000"
"Mar 21, 2018",0.050432,0.059644,0.049137,0.054552,"2,623,930","30,259,500"
"Mar 20, 2018",0.048923,0.051051,0.044726,0.050259,"993,940","29,353,500"
"Mar 19, 2018",0.041917,0.056296,0.040341,0.048532,"4,020,710","25,150,200"
"Mar 18, 2018",0.044195,0.044195,0.033828,0.041839,"958,086","26,517,000"
"Mar 17, 2018",0.048628,0.048787,0.042965,0.044420,"566,228","29,176,900"
"Mar 16, 2018",0.049948,0.051267,0.046712,0.048671,"592,671","29,968,900"
"Mar 15, 2018",0.051099,0.052122,0.044321,0.049986,"1,142,110","30,659,200"
"Mar 14, 2018",0.059893,0.062381,0.049804,0.050995,"907,564","35,935,500"
"Mar 13, 2018",0.060166,0.061966,0.058279,0.059873,"761,461","36,099,400"
"Mar 12, 2018",0.063385,0.069458,0.058929,0.060554,"1,369,190","38,030,800"
"Mar 11, 2018",0.058292,0.064506,0.056023,0.063640,"738,395","34,975,400"
"Mar 10, 2018",0.063106,0.068335,0.057814,0.058468,"988,639","37,863,600"
"Mar 09, 2018",0.065482,0.067558,0.055352,0.063063,"1,021,330","39,289,200"
"Mar 08, 2018",0.071231,0.076944,0.065102,0.065661,"1,786,050","42,738,600"
"Mar 07, 2018",0.081800,0.085171,0.065850,0.071637,"2,599,740","49,080,300"
"Mar 06, 2018",0.092177,0.092177,0.080898,0.081939,"1,641,520","55,306,500"
"Mar 05, 2018",0.100971,0.100971,0.090107,0.092659,"2,395,010","60,582,800"
"Mar 04, 2018",0.105436,0.105483,0.093261,0.102497,"5,899,080","63,261,500"
"Mar 03, 2018",0.085481,0.109376,0.085481,0.109376,"13,880,100","51,288,800"
"Mar 02, 2018",0.087425,0.092262,0.082788,0.085643,"2,826,860","52,454,900"
"Mar 01, 2018",0.072841,0.092783,0.072220,0.086570,"7,422,590","43,704,500"
"Feb 28, 2018",0.080212,0.081661,0.072617,0.072617,"1,356,910","48,127,100"
"Feb 27, 2018",0.078921,0.082975,0.078095,0.079674,"758,185","47,352,500"
"Feb 26, 2018",0.077019,0.083225,0.075565,0.078474,"1,375,420","46,211,500"
"Feb 25, 2018",0.075647,0.078306,0.073276,0.076880,"1,000,320","45,388,200"
"Feb 24, 2018",0.080164,0.087735,0.072637,0.075662,"1,533,740","48,098,200"
"Feb 23, 2018",0.075856,0.083275,0.072524,0.080633,"1,662,380","45,513,500"
"Feb 22, 2018",0.082629,0.090535,0.074897,0.075808,"1,345,910","49,577,400"
