Date,Open,High,Low,Close,Volume,Market Cap
"Mar 29, 2018",0.018207,0.020830,0.015712,0.016214,"132,469","10,769,200"
"Mar 28, 2018",0.017786,0.018831,0.017627,0.018194,"197,904","10,520,200"
"Mar 27, 2018",0.018878,0.019006,0.017643,0.017643,"136,575","11,166,600"
"Mar 26, 2018",0.019835,0.019938,0.018053,0.018907,"179,701","11,732,100"
"Mar 25, 2018",0.020348,0.020509,0.019727,0.019856,"144,547","12,035,900"
"Mar 24, 2018",0.021830,0.022302,0.019752,0.020629,"117,367","12,912,300"
"Mar 23, 2018",0.021994,0.022379,0.020193,0.021607,"194,768","13,009,500"
"Mar 22, 2018",0.022659,0.023500,0.021179,0.021990,"104,911","13,402,700"
"Mar 21, 2018",0.023494,0.024626,0.022009,0.022631,"231,989","13,896,900"
"Mar 20, 2018",0.027042,0.027042,0.021526,0.023513,"162,822","15,995,400"
"Mar 19, 2018",0.027050,0.027850,0.023941,0.026748,"90,468","16,000,200"
"Mar 18, 2018",0.026251,0.027555,0.022489,0.027165,"89,509","15,527,600"
"Mar 17, 2018",0.028866,0.029725,0.025280,0.026311,"111,021","17,074,400"
"Mar 16, 2018",0.027381,0.030744,0.026357,0.028821,"116,229","16,195,600"
"Mar 15, 2018",0.030057,0.030242,0.026977,0.027397,"94,705","17,779,000"
"Mar 14, 2018",0.028558,0.038306,0.028558,0.030072,"121,654","16,892,100"
"Mar 13, 2018",0.034922,0.035255,0.027733,0.028425,"32,462","20,656,400"
"Mar 12, 2018",0.029014,0.035341,0.027639,0.034959,"81,426","17,161,700"
"Mar 11, 2018",0.027528,0.035456,0.026879,0.029019,"91,510","16,282,800"
"Mar 10, 2018",0.035799,0.036742,0.027411,0.027611,"12,617","21,175,300"
"Mar 09, 2018",0.028082,0.035884,0.020072,0.035801,"70,008","16,610,500"
"Mar 08, 2018",0.030262,0.031962,0.022464,0.028134,"29,425","17,899,700"
"Mar 07, 2018",0.032606,0.032858,0.022503,0.030309,"8,361","19,286,600"
"Mar 06, 2018",0.029101,0.040216,0.027494,0.032570,"10,983","17,213,300"
"Mar 05, 2018",0.034633,0.042690,0.027081,0.029121,"4,970","20,485,600"
"Mar 04, 2018",0.034307,0.034675,0.027063,0.034632,"1,076","20,292,900"
"Mar 03, 2018",0.027499,0.034830,0.027499,0.034324,"1,969","16,265,900"
"Mar 02, 2018",0.034560,0.034776,0.027282,0.027525,"1,332","20,442,000"
"Mar 01, 2018",0.026818,0.034942,0.026584,0.034575,"2,886","15,862,600"
"Feb 28, 2018",0.034746,0.035362,0.026588,0.026787,"5,882","20,552,400"
"Feb 27, 2018",0.032921,0.035820,0.031723,0.034685,"4,556","19,472,700"
"Feb 26, 2018",0.041304,0.042304,0.032895,0.032895,"8,900","24,431,300"
"Feb 25, 2018",0.033219,0.041558,0.032993,0.041285,"1,891","19,649,000"
"Feb 24, 2018",0.033743,0.044827,0.031468,0.033314,"11,638","19,959,000"
"Feb 23, 2018",0.034235,0.039606,0.032622,0.033772,"2,440","20,249,800"
"Feb 22, 2018",0.041448,0.042975,0.032779,0.034320,"6,348","24,516,600"
"Feb 21, 2018",0.050550,0.051770,0.033914,0.041504,"49,917","29,900,500"
"Feb 20, 2018",0.038446,0.052310,0.037946,0.050599,"11,221","22,740,800"
"Feb 19, 2018",0.045778,0.046722,0.037746,0.038445,"6,213","27,077,500"
"Feb 18, 2018",0.049653,0.050123,0.042264,0.045956,439,"29,369,500"
"Feb 17, 2018",0.044912,0.053997,0.044558,0.049614,"2,265","26,565,500"
"Feb 16, 2018",0.047208,0.047844,0.039543,0.044930,"4,576","27,923,600"
"Feb 15, 2018",0.050357,0.051663,0.041316,0.047254,"19,069","29,786,100"
"Feb 14, 2018",0.042553,0.057206,0.036139,0.050356,"10,404","25,170,000"
"Feb 13, 2018",0.042998,0.044637,0.033186,0.042564,"7,078","25,433,100"
"Feb 12, 2018",0.033040,0.043861,0.033040,0.042939,791,"19,543,300"
"Feb 11, 2018",0.042472,0.043103,0.032919,0.032919,964,"25,122,100"
"Feb 10, 2018",0.043979,0.054831,0.034120,0.042535,"3,288","26,013,600"
"Feb 09, 2018",0.049443,0.049707,0.032927,0.043994,"4,278","29,245,400"
"Feb 08, 2018",0.044412,0.050470,0.036595,0.049375,"2,944","26,269,800"
"Feb 07, 2018",0.039794,0.049185,0.029070,0.044521,"5,324","23,537,800"
"Feb 06, 2018",0.036936,0.040141,0.024678,0.039835,"5,741","21,847,500"
"Feb 05, 2018",0.040641,0.046891,0.028947,0.036805,"4,194","24,039,000"
"Feb 04, 2018",0.049757,0.057793,0.034946,0.041038,"3,169","29,431,500"
"Feb 03, 2018",0.055237,0.057269,0.038988,0.049769,"4,739","32,672,600"
"Feb 02, 2018",0.061803,0.061803,0.039110,0.054975,"8,524","36,556,200"
"Feb 01, 2018",0.066635,0.068826,0.051482,0.062015,"3,231","39,414,700"
"Jan 31, 2018",0.074324,0.078858,0.054451,0.066508,"13,687","43,962,700"
"Jan 30, 2018",0.092666,0.092737,0.069759,0.074076,"5,178","54,811,800"
"Jan 29, 2018",0.064078,0.093660,0.061053,0.092630,"2,010","37,902,100"
"Jan 28, 2018",0.079224,0.086099,0.063412,0.063854,"8,330","46,860,700"
"Jan 27, 2018",0.063062,0.078021,0.062135,0.071553,"1,208","37,301,200"
"Jan 26, 2018",0.078288,0.085702,0.061747,0.063057,"14,372","46,307,700"
"Jan 25, 2018",0.073109,0.079958,0.062490,0.078558,"7,230","43,244,000"
"Jan 24, 2018",0.059996,0.072299,0.049384,0.063880,"2,608","35,487,600"
"Jan 23, 2018",0.064869,0.072349,0.052149,0.059983,"12,419","38,369,900"
"Jan 22, 2018",0.075168,0.076049,0.052945,0.065216,"14,715","44,461,600"
"Jan 21, 2018",0.080394,0.116464,0.062020,0.074804,"14,652","47,552,800"
"Jan 20, 2018",0.073677,0.100528,0.067182,0.080220,"20,282","43,579,800"
"Jan 19, 2018",0.072053,0.095825,0.070622,0.073093,"11,111","42,619,000"
"Jan 18, 2018",0.095287,0.115732,0.066332,0.092858,"23,548","56,362,500"
"Jan 17, 2018",0.068649,0.116674,0.056450,0.094189,"27,582","40,605,700"
"Jan 16, 2018",0.118008,0.122887,0.056488,0.068919,"17,827","69,802,000"
"Jan 15, 2018",0.116792,0.139341,0.102441,0.117772,"23,585","69,082,400"
"Jan 14, 2018",0.138012,0.154158,0.099821,0.116850,"55,262","81,634,100"
"Jan 13, 2018",0.163457,0.186574,0.137288,0.137882,"64,848","96,685,000"
"Jan 12, 2018",0.117006,0.163571,0.102024,0.163488,"45,844","69,209,000"
"Jan 11, 2018",0.125988,0.146132,0.106902,0.114874,"64,164","74,521,600"
"Jan 10, 2018",0.128475,0.137836,0.103673,0.126267,"52,127","75,992,700"
"Jan 09, 2018",0.090683,0.129312,0.090683,0.117784,"31,141","53,639,100"
"Jan 08, 2018",0.103132,0.123197,0.080514,0.090942,"19,345","61,002,600"
"Jan 07, 2018",0.098894,0.110772,0.076432,0.102308,"41,211","58,496,000"
"Jan 06, 2018",0.097520,0.101347,0.079870,0.098934,"13,424","57,683,000"
"Jan 05, 2018",0.094813,0.100035,0.078666,0.097103,"13,994","56,082,100"
"Jan 04, 2018",0.084165,0.096041,0.077602,0.095140,"11,022","49,783,500"
"Jan 03, 2018",0.068093,0.091266,0.068071,0.074924,"13,922","40,276,700"
"Jan 02, 2018",0.053488,0.076391,0.053488,0.072328,"7,820","31,638,100"
"Jan 01, 2018",0.057436,0.060673,0.050030,0.053364,"14,499","33,973,500"
"Dec 31, 2017",0.047415,0.057587,0.040612,0.057504,"10,015","28,045,800"
"Dec 30, 2017",0.045255,0.056356,0.040536,0.047846,"3,589","26,768,400"
"Dec 29, 2017",0.045077,0.059084,0.035533,0.045281,"20,428","26,662,900"
"Dec 28, 2017",0.030398,0.051924,0.028695,0.044706,"4,048","17,980,100"
"Dec 27, 2017",0.038360,0.042669,0.030058,0.030448,"6,435","22,690,000"
"Dec 26, 2017",0.043004,0.045162,0.029686,0.038277,"8,021","25,437,000"
"Dec 25, 2017",0.041516,0.044709,0.029381,0.042991,"4,187","24,556,900"
"Dec 24, 2017",0.035359,0.043920,0.028220,0.041298,"1,499","20,914,700"
"Dec 23, 2017",0.039465,0.048006,0.029869,0.034951,"18,934","23,343,600"
"Dec 22, 2017",0.052340,0.062786,0.032463,0.039142,"9,281","30,959,000"
"Dec 21, 2017",0.051599,0.075580,0.043168,0.052143,"21,471","30,521,100"
"Dec 20, 2017",0.063612,0.101882,0.036795,0.051509,"19,026","37,626,700"
"Dec 19, 2017",0.037175,0.078043,0.031668,0.063676,"33,125","21,988,900"
"Dec 18, 2017",0.032309,0.040462,0.026405,0.037246,"10,843","19,110,800"
"Dec 17, 2017",0.029663,0.042229,0.023509,0.032341,"22,458","17,545,500"
"Dec 16, 2017",0.027285,0.059769,0.024916,0.029602,"8,154","16,139,100"
"Dec 15, 2017",0.020961,0.027820,0.018765,0.027234,"1,761","12,398,600"
"Dec 14, 2017",0.026417,0.030102,0.020427,0.020941,"1,757","15,625,600"
"Dec 13, 2017",0.030871,0.035858,0.019467,0.026431,"5,046","18,260,400"
"Dec 12, 2017",0.025787,0.036891,0.025122,0.030850,"3,227","15,253,000"
"Dec 11, 2017",0.022174,0.034097,0.022148,0.025953,"11,107","13,116,000"
"Dec 10, 2017",0.024196,0.024196,0.017610,0.022149,"2,194","14,311,800"
"Dec 09, 2017",0.022630,0.028995,0.018492,0.024118,"1,331","13,385,400"
"Dec 08, 2017",0.025367,0.027741,0.016594,0.022630,"313,504","15,004,700"
"Dec 07, 2017",0.021179,0.026157,0.016513,0.025331,"325,337","12,527,300"
"Dec 06, 2017",0.023162,0.027192,0.017870,0.021253,"317,687","13,700,500"
"Dec 05, 2017",0.023337,0.028783,0.023151,0.023203,"3,148","13,804,100"
"Dec 04, 2017",0.027782,0.028262,0.022774,0.023325,"4,105","16,432,900"
"Dec 03, 2017",0.032039,0.033533,0.023207,0.027732,"205,972","18,950,800"
"Dec 02, 2017",0.027794,0.032884,0.022955,0.032028,"283,047","16,439,900"
"Dec 01, 2017",0.026195,0.036907,0.025156,0.027794,"73,064","15,494,600"
"Nov 30, 2017",0.029917,0.031613,0.020337,0.026261,"10,200","17,696,200"
"Nov 29, 2017",0.028051,0.033819,0.023608,0.029539,"257,277","16,591,900"
"Nov 28, 2017",0.033680,0.037824,0.023381,0.028028,"200,954","19,921,600"
"Nov 27, 2017",0.037637,0.038356,0.028275,0.033726,"257,010","22,262,500"
"Nov 26, 2017",0.041750,0.041752,0.031953,0.037647,"634,592","24,695,300"
"Nov 25, 2017",0.037520,0.042718,0.032031,0.041749,"185,933","22,193,200"
"Nov 24, 2017",0.032599,0.041958,0.031992,0.037526,"83,379","19,282,600"
"Nov 23, 2017",0.030452,0.042195,0.030069,0.032763,"157,076","18,012,300"
"Nov 22, 2017",0.032456,0.033248,0.025688,0.030382,"131,228","19,197,600"
"Nov 21, 2017",0.029512,0.036947,0.028203,0.032414,"87,704","17,456,600"
"Nov 20, 2017",0.035431,0.039711,0.029373,0.029558,"195,329","20,957,700"
"Nov 19, 2017",0.038124,0.043286,0.031366,0.035470,"207,449","22,550,400"
"Nov 18, 2017",0.036461,0.039949,0.030130,0.038223,"198,759","21,566,600"
"Nov 17, 2017",0.036340,0.036533,0.029363,0.036516,"196,155","21,495,000"
