Date,Open,High,Low,Close,Volume,Market Cap
"Mar 12, 2018",1.73,1.87,1.68,1.80,"506,133","13,352,000"
"Mar 11, 2018",1.61,1.81,1.56,1.74,"288,581","12,413,800"
"Mar 10, 2018",1.62,1.74,1.59,1.61,"196,715","4,524,000"
"Mar 09, 2018",1.51,1.65,1.45,1.62,"314,242","4,233,270"
"Mar 08, 2018",1.62,1.68,1.51,1.52,"231,088","4,539,590"
"Mar 07, 2018",1.57,1.77,1.56,1.62,"341,352","4,380,040"
"Mar 06, 2018",1.56,1.67,1.45,1.55,"294,828","4,369,740"
"Mar 05, 2018",1.30,1.60,1.28,1.57,"307,179","3,644,210"
"Mar 04, 2018",1.45,1.47,1.26,1.30,"258,700","4,061,430"
"Mar 03, 2018",1.60,1.69,1.44,1.46,"291,497","4,485,950"
"Mar 02, 2018",1.58,1.72,1.51,1.60,"450,660","4,426,510"
"Mar 01, 2018",1.70,1.89,1.59,1.60,"321,186","4,749,930"
"Feb 28, 2018",1.51,1.74,1.35,1.70,"277,058","4,229,410"
"Feb 27, 2018",1.91,2.01,1.50,1.53,"390,750","5,353,740"
"Feb 26, 2018",1.82,2.04,1.82,1.93,"347,085","5,083,220"
"Feb 25, 2018",1.88,1.99,1.81,1.87,"187,337","5,256,340"
"Feb 24, 2018",2.12,2.25,1.79,1.89,"270,589","5,935,430"
"Feb 23, 2018",1.90,2.29,1.85,2.11,"320,048","5,319,650"
"Feb 22, 2018",1.79,2.12,1.75,1.92,"271,412","4,996,550"
"Feb 21, 2018",2.23,2.35,1.62,1.79,"460,902","6,232,760"
"Feb 20, 2018",2.90,3.04,1.69,2.17,"737,401","8,104,160"
"Feb 19, 2018",2.69,3.31,2.49,2.88,"624,497","7,516,780"
"Feb 18, 2018",2.21,3.11,2.13,2.70,"467,933","6,165,910"
"Feb 17, 2018",1.79,2.36,1.75,2.17,"428,565","5,006,460"
"Feb 16, 2018",1.71,2.07,1.66,1.79,"252,242","4,777,780"
"Feb 15, 2018",1.66,1.83,1.54,1.77,"134,353","4,636,870"
"Feb 14, 2018",1.74,1.90,1.41,1.65,"131,692","4,862,140"
"Feb 13, 2018",1.79,1.88,1.70,1.73,"211,863","5,013,780"
"Feb 12, 2018",1.54,1.86,1.52,1.76,"212,856","4,319,590"
"Feb 11, 2018",1.56,1.70,1.30,1.54,"163,407","4,362,840"
"Feb 10, 2018",1.44,1.65,1.31,1.53,"135,071","4,028,950"
"Feb 09, 2018",1.24,1.56,1.10,1.46,"127,722","3,464,860"
"Feb 08, 2018",1.15,1.27,1.08,1.23,"72,919","3,209,240"
"Feb 06, 2018",1.04,1.07,0.974102,1.05,"130,974","2,918,130"
"Feb 05, 2018",1.52,1.56,1.02,1.04,"129,198","4,255,880"
"Feb 04, 2018",1.71,1.79,1.42,1.56,"108,744","4,794,280"
"Feb 03, 2018",1.54,2.01,1.39,1.67,"255,362","4,300,300"
"Feb 02, 2018",1.27,1.57,1.15,1.53,"153,434","3,542,680"
"Feb 01, 2018",1.38,1.44,1.23,1.27,"51,900","3,871,870"
"Jan 31, 2018",1.14,1.54,1.12,1.38,"122,078","3,200,420"
"Jan 30, 2018",1.26,1.32,1.12,1.17,"80,083","3,517,910"
"Jan 29, 2018",1.32,1.39,1.15,1.26,"111,301","3,690,230"
"Jan 28, 2018",1.37,1.53,1.09,1.32,"132,038","3,823,170"
"Jan 27, 2018",1.48,1.48,1.23,1.36,"68,770","4,129,770"
"Jan 26, 2018",1.56,1.66,1.31,1.48,"75,349","4,355,960"
"Jan 25, 2018",1.28,1.64,1.27,1.56,"75,860","3,592,370"
"Jan 24, 2018",1.38,1.38,1.19,1.27,"54,424","3,852,850"
"Jan 23, 2018",1.32,1.44,1.29,1.38,"39,072","3,701,010"
"Jan 22, 2018",1.48,1.50,1.47,1.50,"63,707","4,148,740"
"Jan 21, 2018",1.54,1.58,1.46,1.47,"62,540","4,306,580"
"Jan 20, 2018",1.54,1.60,1.42,1.54,"75,124","4,299,080"
"Jan 19, 2018",1.45,1.57,1.37,1.53,"45,638","4,041,440"
"Jan 18, 2018",1.44,1.61,1.23,1.45,"63,110","4,021,450"
"Jan 17, 2018",1.32,1.77,1.09,1.45,"110,329","3,680,450"
"Jan 16, 2018",1.24,1.49,1.05,1.22,"68,738","3,480,360"
"Jan 15, 2018",1.01,1.43,0.980783,1.24,"57,776","2,817,450"
"Jan 14, 2018",1.25,1.27,0.969794,1.01,"41,127","3,507,310"
"Jan 13, 2018",1.94,1.99,1.01,1.21,"164,749","5,432,680"
"Jan 12, 2018",2.64,3.22,1.80,1.94,"102,485","7,375,610"
"Jan 11, 2018",3.62,4.42,2.66,2.93,"94,012","10,129,600"
"Jan 10, 2018",3.00,3.78,2.81,3.63,"71,148","6,904,560"
"Jan 09, 2018",2.48,3.72,2.25,3.00,"105,552","5,706,160"
"Jan 08, 2018",3.19,3.32,1.95,2.48,"45,590","7,348,650"
"Jan 07, 2018",2.96,3.43,2.25,3.19,"94,848","6,807,320"
"Jan 06, 2018",1.63,3.16,1.35,2.96,"44,958","3,761,030"
"Jan 05, 2018",1.79,1.79,1.27,1.63,"30,613","4,127,990"
"Jan 04, 2018",2.65,2.71,1.33,1.79,"77,018","6,104,000"
"Jan 03, 2018",4.36,4.92,2.28,2.67,"166,840","10,031,300"
"Jan 02, 2018",5.84,5.88,3.31,4.77,"194,644","13,456,000"
"Jan 01, 2018",6.33,7.30,5.28,5.69,"216,100","14,563,200"
"Dec 31, 2017",5.03,6.94,4.95,6.61,"141,100","11,578,400"
"Dec 30, 2017",4.50,5.08,3.93,5.07,"87,912","10,502,600"
"Dec 29, 2017",3.98,4.64,3.50,4.48,"135,887","9,286,180"
"Dec 28, 2017",3.02,3.94,2.19,3.94,"155,294","6,745,280"
"Dec 27, 2017",1.16,3.05,0.925876,3.05,"197,766","2,595,660"
"Dec 26, 2017",0.620705,1.27,0.620705,1.16,"99,583","1,385,400"
"Dec 25, 2017",0.662085,0.704450,0.606300,0.621340,"69,823","1,477,410"
"Dec 24, 2017",0.642071,0.670903,0.531866,0.655280,"30,112","1,432,740"
"Dec 23, 2017",0.855983,1.00,0.523371,0.635526,"29,894","1,910,060"
"Dec 22, 2017",0.679308,1.07,0.472519,0.848079,"104,836","1,515,810"
"Dec 21, 2017",0.794728,0.801341,0.666558,0.677100,243,"1,773,340"
"Dec 20, 2017",0.723407,0.804242,0.659601,0.792947,"2,107","1,614,170"
"Dec 19, 2017",0.897480,0.899402,0.718329,0.827540,"45,478","2,002,580"
"Dec 18, 2017",0.449151,1.31,0.430551,0.896778,"32,637","1,002,200"
"Dec 17, 2017",0.745483,0.745483,0.447893,0.447893,"2,640","1,663,380"
"Dec 16, 2017",0.776778,0.779838,0.582902,0.745391,694,"1,733,060"
"Dec 15, 2017",0.526983,0.878007,0.526889,0.775703,"2,428","1,175,800"
"Dec 14, 2017",0.552072,1.02,0.469604,0.526232,"2,615","1,231,800"
"Dec 13, 2017",0.686802,1.16,0.412536,0.558371,"5,156","1,532,510"
"Dec 12, 2017",0.677148,0.712135,0.499920,0.627926,"4,080","1,511,010"
"Dec 11, 2017",0.784745,0.842396,0.599394,0.675316,"2,226","1,751,270"
"Dec 10, 2017",1.03,1.07,0.749706,0.791550,"2,634","2,291,590"
"Dec 09, 2017",1.17,1.19,0.879113,1.02,"5,506","2,611,570"
"Dec 08, 2017",1.40,1.42,1.05,1.16,"12,601","3,135,180"
"Dec 07, 2017",1.36,1.47,1.19,1.40,"17,331","3,037,880"
"Dec 06, 2017",1.16,1.45,1.14,1.36,"36,611","2,582,380"
"Dec 05, 2017",1.06,1.28,1.06,1.16,"46,624","2,353,330"
"Dec 04, 2017",0.993742,1.05,0.962395,1.05,"11,510","2,216,290"
"Dec 03, 2017",0.996705,1.08,0.934650,0.990480,"14,593","2,222,620"
"Dec 02, 2017",0.994810,1.04,0.967009,0.995827,"19,879","2,218,290"
"Dec 01, 2017",0.936852,1.04,0.897576,0.996445,"7,556","2,088,990"
"Nov 30, 2017",0.964071,1.04,0.838030,0.941472,"29,765","2,149,730"
"Nov 29, 2017",1.03,1.14,0.902289,0.949588,"61,827","2,293,560"
"Nov 28, 2017",1.06,1.09,1.03,1.03,"170,624","2,361,110"
"Nov 27, 2017",1.04,1.09,1.03,1.06,"178,881","2,283,480"
"Nov 26, 2017",0.933439,1.06,0.931633,1.03,"212,462","2,053,340"
"Nov 25, 2017",0.848516,0.953635,0.840374,0.933753,"600,213","1,866,420"
"Nov 24, 2017",0.825591,0.857172,0.818907,0.839182,"92,043","1,815,950"
"Nov 23, 2017",0.842816,0.859633,0.814702,0.826553,"317,962","1,853,830"
"Nov 22, 2017",0.810837,0.847589,0.809676,0.843437,"64,499","1,783,480"
"Nov 21, 2017",0.837284,0.891611,0.785737,0.810032,"399,550","1,841,640"
"Nov 20, 2017",0.831155,0.845598,0.807013,0.837213,"151,037","1,828,140"
"Nov 19, 2017",0.802186,0.848943,0.778812,0.831433,"385,114","1,764,410"
"Nov 18, 2017",0.716923,0.804578,0.703411,0.803667,"460,646","1,576,860"
"Nov 17, 2017",0.734280,0.760435,0.708642,0.716288,"120,270","1,615,000"
"Nov 16, 2017",0.682024,0.743904,0.662613,0.733833,"149,655","1,500,060"
"Nov 15, 2017",0.587875,0.679685,0.587875,0.678470,"300,144","1,292,970"
"Nov 14, 2017",0.572385,0.618098,0.571194,0.587473,"156,246","1,258,880"
"Nov 13, 2017",0.501952,0.585771,0.496587,0.571241,"126,546","1,053,770"
"Nov 12, 2017",0.578879,0.579959,0.487512,0.501223,"189,129","1,215,250"
"Nov 11, 2017",0.579646,0.609421,0.560844,0.580514,"220,352","1,216,850"
"Nov 10, 2017",0.612386,0.635797,0.563408,0.578507,"270,464","1,224,340"
"Nov 09, 2017",0.622782,0.643501,0.591455,0.609437,"123,100","1,245,120"
"Nov 08, 2017",0.581351,0.645062,0.578664,0.621930,"132,869","1,162,280"
"Nov 07, 2017",0.563678,0.597301,0.563678,0.583181,"43,321","1,126,940"
"Nov 06, 2017",0.596748,0.609212,0.562532,0.564582,"125,768","1,193,050"
"Nov 05, 2017",0.564289,0.626569,0.558748,0.595430,"190,657","1,128,140"
"Nov 04, 2017",0.543254,0.580235,0.533069,0.565357,"136,481","1,086,080"
"Nov 03, 2017",0.519842,0.557676,0.514078,0.544670,"81,792","1,039,260"
"Nov 02, 2017",0.541592,0.611708,0.495294,0.520520,"122,045","1,082,730"
"Nov 01, 2017",0.454290,0.555286,0.449075,0.540989,"52,823","885,460"
"Oct 31, 2017",0.444258,0.461636,0.441439,0.454622,"42,726","865,897"
"Oct 30, 2017",0.474189,0.510532,0.440381,0.445770,"98,062","924,221"
"Oct 29, 2017",0.432566,0.510230,0.432468,0.476966,"333,076","843,085"
"Oct 28, 2017",0.482660,0.491613,0.403907,0.430295,"427,250","916,573"
"Oct 27, 2017",0.502833,0.514662,0.477367,0.481351,"120,931","954,865"
"Oct 26, 2017",0.481148,0.508683,0.481148,0.502716,"258,548","913,686"
"Oct 25, 2017",0.488884,0.491311,0.457718,0.480633,"128,940","928,373"
"Oct 24, 2017",0.479260,0.497053,0.462040,0.488687,"506,489","910,095"
"Oct 23, 2017",0.479846,0.487804,0.455797,0.480314,"137,841","911,207"
"Oct 22, 2017",0.470894,0.484601,0.455955,0.483614,"137,986","894,207"
"Oct 21, 2017",0.463620,0.485645,0.452084,0.470752,"78,144","880,391"
"Oct 20, 2017",0.423566,0.468701,0.421177,0.464596,"113,767","804,319"
"Oct 19, 2017",0.407869,0.428911,0.393638,0.423448,"99,807","774,501"
"Oct 18, 2017",0.408335,0.409007,0.368411,0.407657,"44,671","775,353"
"Oct 17, 2017",0.404247,0.408956,0.384849,0.408307,"92,771","767,533"
"Oct 16, 2017",0.375491,0.404255,0.371507,0.403888,"87,357","671,619"
"Oct 15, 2017",0.351077,0.376259,0.343689,0.375329,"20,595","627,938"
"Oct 14, 2017",0.328029,0.357465,0.324959,0.350450,"1,946","586,702"
"Oct 13, 2017",0.308825,0.334375,0.306859,0.327941,"1,313","552,334"
"Oct 12, 2017",0.260587,0.307880,0.259985,0.307880,"1,110","466,053"
"Oct 11, 2017",0.256455,0.270710,0.256455,0.260377,565,"458,657"
"Oct 10, 2017",0.257844,0.265019,0.251971,0.256512,666,"461,138"
"Oct 09, 2017",0.227861,0.259334,0.226271,0.257864,"4,552","407,506"
"Oct 08, 2017",0.228826,0.233817,0.222651,0.227827,"4,929","409,226"
"Oct 07, 2017",0.231813,0.233733,0.206536,0.229425,"7,949","412,240"
"Oct 06, 2017",0.229327,0.234682,0.221080,0.231739,126,"407,811"
"Oct 05, 2017",0.218500,0.231595,0.212401,0.229328,571,"388,548"
"Oct 04, 2017",0.247518,0.247674,0.217201,0.218303,947,"440,138"
"Oct 03, 2017",0.252855,0.254288,0.233440,0.246946,695,"449,619"
"Oct 02, 2017",0.248267,0.253969,0.244605,0.252846,345,"441,449"
"Oct 01, 2017",0.238966,0.248376,0.234550,0.248376,435,"424,885"
