Date,Open,High,Low,Close,Volume,Market Cap
"Mar 24, 2018",0.895880,0.919643,0.862232,0.867737,"1,164,050","213,597,000"
"Mar 23, 2018",0.884406,0.896276,0.761835,0.883845,"1,405,460","210,862,000"
"Mar 22, 2018",0.926817,0.965001,0.820792,0.872927,"1,155,330","220,974,000"
"Mar 21, 2018",0.932144,0.996264,0.887040,0.930243,"1,525,450","222,244,000"
"Mar 20, 2018",0.924677,0.953976,0.819893,0.931744,"1,498,040","220,463,000"
"Mar 19, 2018",0.773284,0.940083,0.689886,0.915656,"2,562,030","184,368,000"
"Mar 18, 2018",0.661094,0.787840,0.514117,0.784364,"2,369,700","157,619,000"
"Mar 17, 2018",0.818288,0.818288,0.649264,0.663324,"1,475,180","195,098,000"
"Mar 16, 2018",0.790301,0.850084,0.770716,0.817029,"980,523","188,425,000"
"Mar 15, 2018",0.876784,0.905836,0.766786,0.792991,"1,858,710","209,045,000"
"Mar 14, 2018",1.04,1.09,0.838472,0.870639,"1,612,680","248,952,000"
"Mar 13, 2018",1.07,1.12,1.01,1.05,"1,168,520","254,226,000"
"Mar 12, 2018",1.13,1.18,1.03,1.06,"1,044,710","269,367,000"
"Mar 11, 2018",1.05,1.17,1.02,1.13,"1,011,800","250,542,000"
"Mar 10, 2018",1.17,1.20,1.04,1.05,"1,488,370","280,128,000"
"Mar 09, 2018",1.11,1.18,0.926473,1.17,"3,506,950","265,722,000"
"Mar 08, 2018",1.26,1.31,1.09,1.12,"2,697,660","299,851,000"
"Mar 07, 2018",1.47,1.50,1.17,1.27,"2,077,980","349,786,000"
"Mar 06, 2018",1.70,1.70,1.35,1.47,"2,901,820","405,712,000"
"Mar 05, 2018",1.67,1.76,1.61,1.71,"2,791,180","398,909,000"
"Mar 04, 2018",1.48,1.69,1.44,1.68,"2,668,780","353,500,000"
"Mar 03, 2018",1.50,1.56,1.46,1.48,"1,918,710","358,768,000"
"Mar 02, 2018",1.41,1.51,1.36,1.50,"2,508,080","335,803,000"
"Mar 01, 2018",1.20,1.45,1.20,1.42,"2,228,770","287,013,000"
"Feb 28, 2018",1.35,1.38,1.20,1.20,"2,242,620","320,681,000"
"Feb 27, 2018",1.42,1.48,1.34,1.34,"2,136,860","338,732,000"
"Feb 26, 2018",1.39,1.44,1.34,1.42,"1,412,640","330,513,000"
"Feb 25, 2018",1.34,1.41,1.29,1.39,"1,758,350","319,713,000"
"Feb 24, 2018",1.47,1.53,1.32,1.35,"1,697,040","349,586,000"
"Feb 23, 2018",1.30,1.52,1.25,1.46,"2,164,630","309,807,000"
"Feb 22, 2018",1.46,1.48,1.24,1.30,"2,666,600","347,076,000"
"Feb 21, 2018",1.54,1.65,1.38,1.45,"2,865,930","368,054,000"
"Feb 20, 2018",1.85,1.88,1.52,1.54,"4,563,910","440,093,000"
"Feb 19, 2018",1.81,1.91,1.79,1.85,"2,375,640","432,599,000"
