Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",0.021905,0.025051,0.020627,0.022756,"95,841","19,412,800"
"Mar 20, 2018",0.019342,0.022206,0.018417,0.021867,"62,611","17,141,100"
"Mar 19, 2018",0.019351,0.020467,0.018418,0.019148,"43,592","17,148,700"
"Mar 18, 2018",0.018407,0.024519,0.017672,0.019430,"79,915","16,312,900"
"Mar 17, 2018",0.019226,0.023060,0.017339,0.018394,"66,445","17,038,600"
"Mar 16, 2018",0.017113,0.019906,0.016744,0.019199,"62,777","15,165,400"
"Mar 15, 2018",0.016952,0.018503,0.016134,0.017057,"30,720","15,023,300"
"Mar 14, 2018",0.019607,0.020036,0.016606,0.017045,"48,042","17,375,600"
"Mar 13, 2018",0.019562,0.021064,0.017523,0.019614,"25,900","17,336,200"
"Mar 12, 2018",0.019124,0.020983,0.018681,0.019674,"38,015","16,948,000"
"Mar 11, 2018",0.018592,0.020033,0.017874,0.019172,"34,202","16,476,500"
"Mar 10, 2018",0.019344,0.020148,0.018286,0.018602,"22,405","17,142,700"
"Mar 09, 2018",0.019880,0.020236,0.018232,0.019349,"20,904","17,617,900"
"Mar 08, 2018",0.021543,0.021819,0.019498,0.019968,"23,229","19,091,700"
"Mar 07, 2018",0.022306,0.023004,0.020488,0.021597,"20,414","19,768,000"
"Mar 06, 2018",0.023622,0.024097,0.022177,0.022349,"22,573","20,934,100"
"Mar 05, 2018",0.023969,0.025387,0.023280,0.023677,"36,908","21,241,500"
"Mar 04, 2018",0.023834,0.024136,0.022592,0.023985,"16,866","21,121,800"
"Mar 03, 2018",0.023223,0.054719,0.023048,0.023745,"18,584","20,580,600"
"Mar 02, 2018",0.022182,0.024199,0.021987,0.023128,"26,251","19,658,100"
"Mar 01, 2018",0.019871,0.022691,0.019731,0.022145,"38,523","17,610,000"
"Feb 28, 2018",0.021233,0.029369,0.019775,0.019785,"21,308","18,817,100"
"Feb 27, 2018",0.022696,0.024342,0.020765,0.021409,"24,454","20,113,400"
"Feb 26, 2018",0.020156,0.023548,0.019353,0.022842,"25,044","17,862,400"
"Feb 25, 2018",0.021117,0.021618,0.019900,0.020091,"14,656","18,714,200"
"Feb 24, 2018",0.021324,0.023120,0.019337,0.021162,"39,197","18,897,200"
"Feb 23, 2018",0.024674,0.025950,0.019728,0.021591,"24,098","21,866,200"
"Feb 22, 2018",0.019360,0.051446,0.018062,0.024767,"24,510","17,156,700"
"Feb 21, 2018",0.022481,0.022501,0.018587,0.019194,"17,401","19,923,200"
"Feb 20, 2018",0.022257,0.023213,0.020510,0.022539,"26,427","19,724,100"
"Feb 19, 2018",0.024224,0.030095,0.020642,0.022442,"28,933","21,467,300"
"Feb 18, 2018",0.025328,0.031461,0.021134,0.024283,"19,817","22,445,700"
"Feb 17, 2018",0.022518,0.029095,0.022363,0.025624,"28,781","19,955,700"
"Feb 16, 2018",0.022913,0.023651,0.020414,0.022504,"42,591","20,305,800"
"Feb 15, 2018",0.024029,0.025496,0.022721,0.022985,"36,172","21,294,800"
"Feb 14, 2018",0.020614,0.024441,0.020444,0.023978,"53,106","18,268,700"
"Feb 13, 2018",0.021860,0.022870,0.020183,0.020657,"26,838","19,372,900"
"Feb 12, 2018",0.022306,0.025558,0.021344,0.021838,"53,726","19,768,000"
"Feb 11, 2018",0.027950,0.030104,0.017835,0.022478,"71,136","24,769,300"
"Feb 10, 2018",0.015938,0.029437,0.015468,0.028118,"58,113","14,124,400"
"Feb 09, 2018",0.014263,0.015988,0.013470,0.015956,"20,487","12,640,300"
"Feb 08, 2018",0.013181,0.014688,0.013181,0.014210,"20,213","11,681,500"
"Feb 07, 2018",0.014506,0.015610,0.013481,0.013843,"8,912","12,855,700"
"Feb 06, 2018",0.010555,0.014731,0.009952,0.014622,"16,927","9,354,090"
"Feb 05, 2018",0.012444,0.012712,0.010180,0.010519,"9,848","11,028,200"
"Feb 04, 2018",0.013331,0.013714,0.012031,0.012362,"11,897","11,813,700"
"Feb 03, 2018",0.011885,0.013493,0.011204,0.013328,"9,746","10,532,400"
"Feb 02, 2018",0.012124,0.012124,0.010570,0.011809,"20,790","10,744,500"
"Feb 01, 2018",0.013989,0.014728,0.011594,0.012200,"15,617","12,397,500"
"Jan 31, 2018",0.014312,0.014874,0.013430,0.014131,"18,637","12,683,600"
"Jan 30, 2018",0.016936,0.017830,0.013614,0.014279,"44,929","15,009,200"
"Jan 29, 2018",0.016984,0.017318,0.015020,0.016905,"49,803","15,051,100"
"Jan 28, 2018",0.017684,0.018388,0.015067,0.016907,"39,622","15,671,700"
"Jan 27, 2018",0.017150,0.017885,0.014693,0.017619,"36,823","15,198,200"
"Jan 26, 2018",0.017933,0.018549,0.015510,0.017149,"39,149","15,892,300"
"Jan 25, 2018",0.014267,0.019300,0.013649,0.017975,"62,996","12,643,600"
"Jan 24, 2018",0.012578,0.014244,0.012521,0.014228,"40,298","11,146,700"
"Jan 23, 2018",0.015406,0.016064,0.011722,0.012600,"139,773","13,653,300"
"Jan 22, 2018",0.016796,0.017137,0.011951,0.015433,"277,474","14,885,100"
"Jan 21, 2018",0.015910,0.018412,0.013591,0.016702,"229,324","14,099,900"
"Jan 20, 2018",0.013227,0.017570,0.012380,0.015895,"354,208","11,721,600"
"Jan 19, 2018",0.012074,0.015486,0.012045,0.013097,"305,936","10,699,800"
"Jan 18, 2018",0.017680,0.017692,0.010976,0.012144,"294,271","15,667,800"
"Jan 17, 2018",0.011346,0.017797,0.009628,0.017543,"336,017","10,055,000"
"Jan 16, 2018",0.014151,0.014179,0.010064,0.011381,"233,362","12,540,500"
"Jan 15, 2018",0.014690,0.014980,0.012101,0.014140,"342,900","13,018,700"
"Jan 14, 2018",0.014456,0.015405,0.011783,0.014708,"282,419","12,810,700"
"Jan 13, 2018",0.011720,0.015085,0.011326,0.014563,"279,715","10,386,700"
"Jan 12, 2018",0.013585,0.014826,0.011088,0.011727,"286,735","12,039,500"
"Jan 11, 2018",0.014719,0.014955,0.012273,0.013472,"283,894","13,044,300"
"Jan 10, 2018",0.014787,0.015829,0.012329,0.014695,"261,797","13,104,700"
"Jan 09, 2018",0.012594,0.015080,0.012246,0.014773,"277,988","11,161,100"
"Jan 08, 2018",0.015033,0.015550,0.012508,0.012622,"281,488","13,322,800"
"Jan 07, 2018",0.014856,0.017477,0.012836,0.015016,"295,222","13,165,800"
"Jan 06, 2018",0.014181,0.015189,0.012489,0.014934,"350,775","12,567,100"
"Jan 05, 2018",0.011194,0.014080,0.011166,0.013915,"298,280","9,919,960"
"Jan 04, 2018",0.013950,0.013952,0.011169,0.011194,"325,686","12,362,900"
"Jan 03, 2018",0.011153,0.014574,0.008725,0.013923,"308,868","9,883,820"
"Jan 02, 2018",0.011690,0.013389,0.010166,0.011103,"6,486,220","10,360,000"
"Jan 01, 2018",0.011817,0.012821,0.010545,0.011693,"281,241","10,472,800"
"Dec 31, 2017",0.018914,0.019839,0.010822,0.011798,"235,775","16,762,000"
"Dec 30, 2017",0.010469,0.021884,0.009840,0.019095,"256,018","9,277,380"
"Dec 29, 2017",0.012630,0.013369,0.010464,0.010464,"283,472","11,192,500"
"Dec 28, 2017",0.012848,0.013884,0.009054,0.012552,"295,272","11,385,700"
"Dec 27, 2017",0.012555,0.013191,0.008777,0.012845,"264,993","11,126,800"
"Dec 26, 2017",0.011007,0.024701,0.008706,0.012497,"319,425","9,754,280"
"Dec 25, 2017",0.010146,0.017757,0.009944,0.010983,"341,369","8,991,020"
"Dec 24, 2017",0.010436,0.010644,0.008706,0.010087,"386,806","9,248,370"
"Dec 23, 2017",0.010480,0.011655,0.009637,0.010358,"403,699","9,287,700"
"Dec 22, 2017",0.012157,0.012756,0.008545,0.010437,"411,189","10,773,300"
"Dec 21, 2017",0.011503,0.013074,0.011074,0.012145,"444,489","10,193,900"
"Dec 20, 2017",0.012489,0.012889,0.010687,0.011453,"427,223","11,067,900"
"Dec 19, 2017",0.013046,0.013437,0.011282,0.012483,"447,258","11,561,800"
"Dec 18, 2017",0.012237,0.013456,0.009726,0.013118,"450,977","10,844,800"
"Dec 17, 2017",0.012873,0.013628,0.009771,0.012151,"412,955","11,408,600"
"Dec 16, 2017",0.011730,0.013397,0.010617,0.012772,"444,309","10,394,900"
"Dec 15, 2017",0.012055,0.012491,0.008190,0.011720,"401,734","10,683,500"
"Dec 14, 2017",0.014176,0.014205,0.009546,0.012055,"411,624","12,562,600"
"Dec 13, 2017",0.016187,0.017116,0.008615,0.014146,"541,915","14,345,200"
