Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",1.77,1.78,1.57,1.69,"7,025,150","51,697,000"
"Mar 22, 2018",1.76,1.91,1.67,1.76,"6,004,740","51,440,400"
"Mar 21, 2018",1.93,1.96,1.71,1.76,"6,882,930","56,536,200"
"Mar 20, 2018",1.64,1.94,1.61,1.91,"7,188,990","48,008,700"
"Mar 19, 2018",1.40,1.65,1.40,1.63,"5,309,970","40,946,200"
"Mar 18, 2018",1.34,1.42,1.19,1.41,"3,075,380","39,228,400"
"Mar 17, 2018",1.41,1.64,1.30,1.35,"2,878,790","41,385,700"
"Mar 16, 2018",1.41,1.54,1.35,1.42,"757,525","41,205,000"
"Mar 15, 2018",1.42,1.42,1.29,1.40,"720,510","41,423,600"
"Mar 14, 2018",1.70,1.74,1.37,1.42,"995,421","49,719,300"
"Mar 13, 2018",1.69,1.75,1.66,1.70,"1,005,930","49,488,700"
"Mar 12, 2018",1.87,1.92,1.68,1.70,"853,056","54,742,000"
"Mar 11, 2018",1.70,1.93,1.64,1.88,"708,511","49,738,100"
"Mar 10, 2018",1.90,1.97,1.70,1.70,"688,847","55,565,600"
"Mar 09, 2018",1.88,1.91,1.60,1.90,"1,404,250","55,149,000"
"Mar 08, 2018",2.07,2.12,1.88,1.89,"987,542","60,427,400"
"Mar 07, 2018",2.33,2.66,2.03,2.07,"3,621,580","68,097,400"
"Mar 06, 2018",2.57,2.57,2.28,2.33,"1,491,760","75,147,400"
"Mar 05, 2018",2.52,2.61,2.51,2.57,"812,452","73,745,200"
"Mar 04, 2018",2.55,2.61,2.42,2.52,"970,842","74,615,800"
"Mar 03, 2018",2.55,2.69,2.53,2.55,"1,715,130","74,614,100"
"Mar 02, 2018",2.61,2.66,2.54,2.55,"892,582","76,375,900"
"Mar 01, 2018",2.60,2.68,2.59,2.61,"1,671,520","76,130,900"
"Feb 28, 2018",2.66,2.68,2.54,2.60,"1,664,040","77,930,900"
"Feb 27, 2018",2.72,2.82,2.64,2.67,"2,583,030","79,726,500"
"Feb 26, 2018",2.37,2.77,2.33,2.71,"4,085,390","69,490,000"
"Feb 25, 2018",2.34,2.44,2.32,2.37,"1,439,000","68,435,700"
"Feb 24, 2018",2.52,2.63,2.27,2.34,"2,230,720","73,598,100"
"Feb 23, 2018",2.39,2.63,2.21,2.51,"2,759,890","70,067,200"
"Feb 22, 2018",2.68,2.74,2.36,2.39,"2,934,600","78,486,400"
