Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.029956,0.030098,0.027474,0.029848,"2,121,500","194,709,000"
"Mar 22, 2018",0.031620,0.033043,0.028295,0.029823,"2,251,620","205,216,000"
"Mar 21, 2018",0.034396,0.034785,0.029893,0.031826,"1,658,600","222,931,000"
"Mar 20, 2018",0.035479,0.035479,0.032174,0.034423,"1,437,340","229,602,000"
"Mar 19, 2018",0.034262,0.035930,0.031934,0.035089,"1,579,380","221,405,000"
"Mar 18, 2018",0.032324,0.034407,0.022724,0.034393,"3,355,560","208,603,000"
"Mar 17, 2018",0.036132,0.036947,0.031943,0.032292,"1,201,860","232,829,000"
"Mar 16, 2018",0.037279,0.038171,0.030683,0.036131,"2,353,510","239,871,000"
"Mar 15, 2018",0.040720,0.042280,0.036929,0.037095,"1,731,270","261,635,000"
"Mar 14, 2018",0.050646,0.057277,0.039279,0.040669,"2,728,000","324,931,000"
"Mar 13, 2018",0.045506,0.054213,0.043070,0.050856,"2,403,890","291,532,000"
"Mar 12, 2018",0.051714,0.052782,0.043384,0.046582,"1,185,410","330,793,000"
"Mar 11, 2018",0.049137,0.052632,0.047188,0.051958,"832,506","313,851,000"
"Mar 10, 2018",0.051712,0.054442,0.048845,0.049097,"914,772","329,799,000"
"Mar 09, 2018",0.053060,0.053289,0.045381,0.051420,"1,942,690","337,891,000"
"Mar 08, 2018",0.057185,0.058882,0.051399,0.053123,"1,020,060","363,626,000"
"Mar 07, 2018",0.063670,0.065972,0.054290,0.056690,"1,686,280","404,251,000"
"Mar 06, 2018",0.075174,0.075174,0.061107,0.063571,"2,706,630","476,594,000"
"Mar 05, 2018",0.078247,0.078886,0.073742,0.075377,"2,895,610","495,311,000"
"Mar 04, 2018",0.074179,0.077441,0.069017,0.077409,"1,657,460","468,796,000"
"Mar 03, 2018",0.070439,0.074624,0.069735,0.074010,"1,691,550","444,484,000"
"Mar 02, 2018",0.074607,0.076107,0.048965,0.070657,"4,720,690","470,167,000"
"Mar 01, 2018",0.065323,0.075640,0.064562,0.074758,"2,357,440","411,046,000"
"Feb 28, 2018",0.078107,0.080425,0.066200,0.066200,"2,597,850","490,725,000"
"Feb 27, 2018",0.079752,0.081838,0.077170,0.078294,"2,677,500","499,967,000"
"Feb 26, 2018",0.088604,0.091663,0.076872,0.079807,"4,624,980","554,563,000"
"Feb 25, 2018",0.073651,0.125757,0.073215,0.091615,"3,815,500","460,239,000"
"Feb 24, 2018",0.075745,0.078716,0.070155,0.073718,"1,124,070","472,618,000"
"Feb 23, 2018",0.073536,0.077709,0.071171,0.075899,"1,223,380","458,112,000"
"Feb 22, 2018",0.078950,0.081856,0.071955,0.073580,"1,636,980","491,322,000"
