Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",1.55,2.01,1.55,1.72,"14,657,800","116,245,000"
"Mar 20, 2018",1.34,1.60,1.31,1.55,"7,520,340","100,418,000"
"Mar 19, 2018",1.22,1.42,1.22,1.33,"6,024,010","91,465,500"
"Mar 18, 2018",1.29,1.29,0.998135,1.22,"7,329,320","96,573,400"
"Mar 17, 2018",1.45,1.45,1.29,1.29,"5,172,530","108,787,000"
"Mar 16, 2018",1.42,1.52,1.36,1.45,"6,576,700","106,236,000"
"Mar 15, 2018",1.56,1.57,1.34,1.42,"6,952,430","116,635,000"
"Mar 14, 2018",1.85,1.88,1.51,1.56,"5,833,970","138,285,000"
"Mar 13, 2018",1.83,2.08,1.80,1.85,"5,745,450","136,649,000"
"Mar 12, 2018",1.83,1.91,1.78,1.83,"5,703,000","136,614,000"
"Mar 11, 2018",1.74,1.90,1.68,1.84,"3,206,310","130,035,000"
"Mar 10, 2018",1.90,1.99,1.72,1.74,"3,119,780","142,034,000"
"Mar 09, 2018",1.83,1.90,1.58,1.90,"4,319,840","136,622,000"
"Mar 08, 2018",2.02,2.16,1.82,1.82,"5,793,430","151,205,000"
"Mar 07, 2018",2.36,2.38,1.91,2.03,"4,448,300","176,571,000"
"Mar 06, 2018",2.63,2.63,2.25,2.36,"5,120,400","196,510,000"
"Mar 05, 2018",2.63,2.67,2.59,2.63,"4,600,950","196,616,000"
"Mar 04, 2018",2.72,2.72,2.53,2.63,"5,846,460","203,271,000"
"Mar 03, 2018",2.66,2.95,2.66,2.72,"9,408,410","199,400,000"
"Mar 02, 2018",2.61,2.72,2.53,2.66,"7,905,160","194,955,000"
"Mar 01, 2018",2.49,2.63,2.45,2.60,"4,226,260","186,102,000"
"Feb 28, 2018",2.61,2.77,2.49,2.49,"4,719,760","195,276,000"
"Feb 27, 2018",2.59,2.70,2.54,2.61,"4,646,280","193,753,000"
"Feb 26, 2018",2.54,2.63,2.42,2.58,"4,390,200","189,865,000"
"Feb 25, 2018",2.44,2.60,2.33,2.52,"4,023,060","182,908,000"
"Feb 24, 2018",2.55,2.61,2.36,2.45,"4,215,970","190,996,000"
"Feb 23, 2018",2.37,2.64,2.33,2.55,"3,392,260","177,542,000"
"Feb 22, 2018",2.60,2.82,2.31,2.37,"6,241,120","194,889,000"
"Feb 21, 2018",2.70,3.04,2.56,2.62,"7,189,080","202,044,000"
"Feb 20, 2018",3.18,3.22,2.65,2.70,"4,055,910","237,809,000"
"Feb 19, 2018",2.98,3.23,2.98,3.15,"2,874,080","223,188,000"
"Feb 18, 2018",3.40,3.41,2.99,3.03,"3,798,370","254,267,000"
"Feb 17, 2018",3.38,3.50,3.32,3.40,"4,157,300","252,838,000"
"Feb 16, 2018",3.24,3.37,3.15,3.37,"4,065,600","242,323,000"
"Feb 15, 2018",3.14,3.27,3.06,3.26,"4,425,130","234,748,000"
"Feb 14, 2018",2.98,3.17,2.96,3.15,"5,094,110","222,870,000"
"Feb 13, 2018",3.24,3.24,2.90,2.98,"6,575,480","242,530,000"
"Feb 12, 2018",2.66,3.42,2.65,3.26,"15,032,700","198,934,000"
"Feb 11, 2018",2.84,2.98,2.39,2.65,"8,929,350","212,362,000"
"Feb 10, 2018",3.23,3.38,2.60,2.85,"11,200,300","241,582,000"
"Feb 09, 2018",2.47,3.33,2.32,3.27,"3,337,620","184,740,000"
"Feb 08, 2018",2.16,2.54,2.16,2.45,"6,112,810","161,473,000"
"Feb 07, 2018",2.42,2.67,2.07,2.17,"5,771,070","180,819,000"
"Feb 06, 2018",1.88,2.44,1.41,2.41,"9,275,750","140,726,000"
"Feb 05, 2018",2.50,2.53,1.64,1.87,"4,253,980","187,226,000"
"Feb 04, 2018",2.99,2.99,2.32,2.51,"2,797,820","223,832,000"
"Feb 03, 2018",2.73,3.19,2.54,3.00,"4,112,040","204,342,000"
"Feb 02, 2018",2.89,2.92,2.08,2.71,"6,575,650","216,480,000"
"Feb 01, 2018",3.34,3.48,2.67,2.90,"6,158,750","249,854,000"
"Jan 31, 2018",3.38,3.53,3.15,3.33,"4,743,010","253,039,000"
"Jan 30, 2018",4.08,4.13,3.24,3.37,"5,346,950","305,371,000"
"Jan 29, 2018",4.38,4.47,3.92,4.07,"6,103,070","328,050,000"
"Jan 28, 2018",4.39,4.80,4.29,4.39,"7,786,220","328,807,000"
"Jan 27, 2018",4.07,4.66,3.90,4.36,"7,466,920","304,765,000"
"Jan 26, 2018",4.17,4.42,3.60,4.08,"9,489,600","311,996,000"
"Jan 25, 2018",4.41,4.58,4.11,4.17,"5,100,210","329,757,000"
"Jan 24, 2018",4.34,4.53,4.10,4.34,"6,602,370","324,725,000"
"Jan 23, 2018",3.99,4.52,3.63,4.36,"7,895,340","298,383,000"
"Jan 22, 2018",4.46,4.68,3.59,3.99,"8,208,330","333,862,000"
"Jan 21, 2018",5.15,5.20,4.21,4.37,"10,891,200","385,699,000"
"Jan 20, 2018",5.08,5.56,4.94,5.12,"12,509,100","379,892,000"
"Jan 19, 2018",4.67,5.46,4.40,5.02,"11,624,800","349,822,000"
"Jan 18, 2018",4.36,5.28,4.02,4.75,"15,965,900","326,277,000"
"Jan 17, 2018",3.88,4.69,2.64,4.32,"18,326,600","290,242,000"
"Jan 16, 2018",5.41,5.55,2.75,3.91,"20,183,700","404,944,000"
"Jan 15, 2018",6.15,6.46,5.39,5.40,"14,319,000","460,014,000"
"Jan 14, 2018",6.49,6.58,5.62,6.18,"13,073,500","486,040,000"
"Jan 13, 2018",6.81,6.96,6.37,6.48,"16,285,800","509,618,000"
"Jan 12, 2018",6.63,7.25,6.38,6.83,"19,558,800","495,893,000"
"Jan 11, 2018",7.91,8.17,6.15,6.56,"32,482,200","591,945,000"
"Jan 10, 2018",7.18,8.30,6.22,7.95,"64,134,900","537,295,000"
"Jan 09, 2018",6.77,7.98,5.94,7.16,"50,618,900","506,626,000"
"Jan 08, 2018",5.88,7.39,5.31,6.83,"54,533,300","439,826,000"
"Jan 07, 2018",5.60,6.42,5.53,5.91,"30,076,400","418,844,000"
"Jan 06, 2018",4.96,6.75,4.96,5.58,"48,628,300","371,119,000"
"Jan 05, 2018",5.41,5.67,4.46,4.97,"37,116,100","404,518,000"
"Jan 04, 2018",5.77,6.34,5.37,5.42,"37,364,700","431,947,000"
"Jan 03, 2018",5.16,7.20,5.16,5.67,"108,417,000","385,888,000"
"Jan 02, 2018",3.25,5.32,3.23,5.10,"91,834,300","242,929,000"
"Jan 01, 2018",2.62,3.25,2.41,3.25,"13,279,100","196,044,000"
"Dec 31, 2017",2.64,2.75,2.33,2.61,"14,850,300","197,360,000"
"Dec 30, 2017",2.57,2.69,2.07,2.65,"17,530,200","192,274,000"
"Dec 29, 2017",2.60,2.80,2.43,2.58,"17,141,900","194,718,000"
"Dec 28, 2017",2.73,3.05,2.43,2.61,"20,132,100","204,550,000"
"Dec 27, 2017",2.56,3.07,2.12,2.74,"33,816,500","191,864,000"
"Dec 26, 2017",2.60,2.80,1.90,2.58,"41,919,400","194,342,000"
"Dec 25, 2017",1.49,3.50,1.39,2.57,"88,637,600","111,335,000"
"Dec 24, 2017",1.24,1.47,1.10,1.47,"11,195,000","92,477,000"
"Dec 23, 2017",0.966969,1.37,0.954758,1.23,"6,759,820","72,364,300"
"Dec 22, 2017",1.16,1.17,0.679491,0.955371,"5,956,420","86,524,900"
"Dec 21, 2017",1.16,1.37,1.02,1.11,"11,456,100","87,003,200"
"Dec 20, 2017",0.971067,1.22,0.860131,1.15,"11,828,200","72,670,900"
"Dec 19, 2017",1.01,1.13,0.911210,0.975888,"8,435,550","75,668,500"
"Dec 18, 2017",0.900977,0.985966,0.791058,0.985966,"10,457,900","67,425,700"
"Dec 17, 2017",0.700397,0.925325,0.688124,0.899175,"12,133,800","52,415,000"
"Dec 16, 2017",0.650271,0.734465,0.631490,0.701274,"5,640,070","48,663,800"
"Dec 15, 2017",0.660690,0.668991,0.574954,0.649101,"5,382,250","49,443,500"
"Dec 14, 2017",0.652533,0.705646,0.627888,0.664173,"6,847,120","48,833,100"
"Dec 13, 2017",0.633000,0.709504,0.598723,0.654876,"5,519,910","47,371,300"
"Dec 12, 2017",0.668428,0.699746,0.615672,0.634308,"5,575,090","50,022,600"
"Dec 11, 2017",0.520305,0.709137,0.519129,0.672546,"6,836,440","38,937,600"
"Dec 10, 2017",0.602162,0.602578,0.493623,0.521482,"2,502,300","45,063,500"
"Dec 09, 2017",0.576689,0.626120,0.543484,0.592089,"3,125,670","43,157,200"
"Dec 08, 2017",0.535004,0.638457,0.510171,0.575238,"3,972,340","40,037,700"
"Dec 07, 2017",0.628542,0.667140,0.493653,0.531633,"5,874,310","47,037,700"
"Dec 06, 2017",0.653744,0.706572,0.612361,0.630052,"5,368,990","48,923,700"
"Dec 05, 2017",0.724417,0.724454,0.615379,0.655553,"4,063,970","54,212,600"
"Dec 04, 2017",0.574955,0.739891,0.566548,0.715570,"8,616,410","43,027,400"
"Dec 03, 2017",0.592058,0.630077,0.555287,0.581075,"3,020,670","44,307,400"
"Dec 02, 2017",0.639959,0.665703,0.582989,0.591479,"3,742,930","47,892,100"
"Dec 01, 2017",0.709589,0.739393,0.578990,0.643240,"6,898,250","53,102,900"
"Nov 30, 2017",0.631390,0.892522,0.520377,0.697365,"28,777,400","47,250,800"
"Nov 29, 2017",0.467176,0.528496,0.429420,0.485927,"1,029,850","34,961,700"
"Nov 28, 2017",0.484925,0.497438,0.459804,0.467002,"741,542","36,289,900"
"Nov 27, 2017",0.476237,0.518643,0.455932,0.484488,"849,689","35,639,800"
"Nov 26, 2017",0.489887,0.549238,0.462589,0.473232,"994,404","36,661,300"
"Nov 25, 2017",0.520793,0.520793,0.474119,0.489942,"995,884","38,974,200"
"Nov 24, 2017",0.529673,0.548537,0.443390,0.522742,"1,381,400","39,638,700"
"Nov 23, 2017",0.579744,0.579744,0.465801,0.524964,"1,625,850","43,385,800"
"Nov 22, 2017",0.440222,0.624790,0.393622,0.567751,"4,851,130","32,944,500"
"Nov 21, 2017",0.389012,0.443800,0.364245,0.440379,"1,071,540","29,112,200"
"Nov 20, 2017",0.392141,0.403780,0.378588,0.386360,"938,760","29,346,300"
"Nov 19, 2017",0.401733,0.420339,0.388283,0.392375,"929,114","30,064,200"
