Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",19.69,19.69,18.15,19.04,"196,326,000","1,982,260,000"
"Mar 22, 2018",19.79,20.73,18.55,19.67,"242,384,000","1,992,000,000"
"Mar 21, 2018",20.29,21.52,19.29,19.80,"295,532,000","2,041,930,000"
"Mar 20, 2018",19.61,21.07,18.01,20.21,"432,819,000","1,973,450,000"
"Mar 19, 2018",16.91,19.65,16.33,19.65,"315,268,000","1,701,120,000"
"Mar 18, 2018",16.25,16.91,14.48,16.79,"233,157,000","1,634,110,000"
"Mar 17, 2018",17.76,17.97,16.09,16.32,"154,703,000","1,785,600,000"
"Mar 16, 2018",18.50,18.51,17.33,17.78,"201,541,000","1,859,700,000"
"Mar 15, 2018",17.19,19.31,15.94,18.41,"368,178,000","1,727,880,000"
"Mar 14, 2018",19.95,20.22,16.25,17.15,"201,571,000","2,004,500,000"
"Mar 13, 2018",20.46,20.84,19.74,19.92,"178,296,000","2,055,300,000"
"Mar 12, 2018",21.57,21.79,20.14,20.50,"222,694,000","2,166,290,000"
"Mar 11, 2018",20.88,21.85,19.97,21.58,"278,368,000","2,096,350,000"
"Mar 10, 2018",22.51,22.93,20.78,20.91,"262,771,000","2,260,360,000"
"Mar 09, 2018",22.71,23.26,20.51,22.48,"499,609,000","2,279,350,000"
"Mar 08, 2018",22.19,25.17,21.18,22.67,"619,477,000","2,226,360,000"
"Mar 07, 2018",25.06,25.48,21.05,22.12,"417,289,000","2,514,490,000"
"Mar 06, 2018",26.82,27.29,24.91,25.10,"387,811,000","2,690,760,000"
"Mar 05, 2018",29.65,30.25,26.51,26.84,"637,222,000","2,973,110,000"
"Mar 04, 2018",29.16,31.35,28.78,29.69,"647,562,000","2,923,270,000"
"Mar 03, 2018",30.79,32.00,28.62,29.19,"699,657,000","3,086,730,000"
"Mar 02, 2018",33.75,34.02,30.43,30.77,"556,804,000","3,382,540,000"
"Mar 01, 2018",33.64,34.80,32.11,33.76,"514,648,000","3,370,090,000"
"Feb 28, 2018",36.00,36.42,33.41,33.69,"501,651,000","3,606,200,000"
"Feb 27, 2018",36.24,37.47,35.51,36.25,"513,290,000","3,628,860,000"
"Feb 26, 2018",36.85,37.11,34.67,36.08,"622,099,000","3,689,630,000"
"Feb 25, 2018",38.57,38.77,34.88,36.41,"685,424,000","3,861,100,000"
"Feb 24, 2018",37.83,40.71,36.92,38.84,"1,324,420,000","3,785,310,000"
"Feb 23, 2018",32.50,38.11,31.32,38.04,"1,132,690,000","3,251,620,000"
"Feb 22, 2018",36.46,37.63,31.93,32.81,"711,134,000","3,646,740,000"
