Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",539.86,540.49,512.13,539.62,"1,596,350,000","53,098,100,000"
"Mar 22, 2018",562.10,577.57,523.09,539.70,"1,523,460,000","55,273,800,000"
"Mar 21, 2018",559.10,589.61,550.57,561.73,"1,781,270,000","54,967,300,000"
"Mar 20, 2018",556.72,567.09,521.20,557.17,"1,833,680,000","54,722,100,000"
"Mar 19, 2018",546.63,558.10,519.12,556.73,"2,046,790,000","53,718,600,000"
"Mar 18, 2018",551.64,551.64,460.09,538.64,"2,685,500,000","54,200,100,000"
"Mar 17, 2018",601.68,609.15,549.10,552.78,"1,267,810,000","59,104,200,000"
"Mar 16, 2018",611.78,623.17,587.86,601.67,"1,417,350,000","60,083,700,000"
"Mar 15, 2018",614.84,620.62,579.50,611.30,"1,770,460,000","60,371,800,000"
"Mar 14, 2018",691.22,702.78,594.10,614.29,"1,810,560,000","67,857,600,000"
"Mar 13, 2018",698.15,713.74,682.35,690.83,"1,425,960,000","68,524,000,000"
"Mar 12, 2018",724.41,742.51,683.27,699.83,"1,765,000,000","71,086,000,000"
"Mar 11, 2018",685.31,735.83,668.12,723.34,"1,562,680,000","67,235,700,000"
"Mar 10, 2018",730.16,748.03,682.70,686.89,"1,532,960,000","71,620,700,000"
"Mar 09, 2018",702.20,729.16,648.11,728.92,"2,233,020,000","68,863,600,000"
"Mar 08, 2018",752.57,773.77,696.17,704.60,"1,891,640,000","73,788,400,000"
"Mar 07, 2018",816.27,825.61,726.55,752.83,"2,175,420,000","80,017,300,000"
"Mar 06, 2018",853.82,853.82,809.93,816.95,"1,943,070,000","83,680,400,000"
"Mar 05, 2018",866.85,869.92,853.52,853.68,"1,898,490,000","84,939,700,000"
"Mar 04, 2018",856.19,867.95,840.28,866.68,"1,697,940,000","83,877,800,000"
"Mar 03, 2018",856.71,868.45,855.21,857.23,"1,699,370,000","83,911,700,000"
"Mar 02, 2018",871.76,876.38,852.42,856.85,"1,894,420,000","85,368,100,000"
"Mar 01, 2018",856.01,880.30,851.92,872.20,"1,868,520,000","83,808,200,000"
"Feb 28, 2018",877.93,890.11,855.12,855.20,"1,963,980,000","85,936,400,000"
"Feb 27, 2018",870.37,896.26,867.10,878.26,"2,053,980,000","85,177,800,000"
"Feb 26, 2018",845.28,880.39,842.32,869.32,"2,044,480,000","82,705,400,000"
"Feb 25, 2018",839.46,853.15,822.38,844.81,"1,646,960,000","82,119,100,000"
"Feb 24, 2018",861.59,879.53,818.55,840.51,"1,926,580,000","84,266,700,000"
"Feb 23, 2018",811.59,886.32,794.79,864.19,"2,334,820,000","79,358,900,000"
"Feb 22, 2018",849.26,875.93,802.67,812.85,"2,150,370,000","83,025,800,000"
