Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",1.20,1.31,1.14,1.22,"53,705","8,393,130"
"Mar 22, 2018",1.22,1.26,1.10,1.20,"15,553","8,554,480"
"Mar 21, 2018",1.20,1.31,1.20,1.22,"29,338","8,422,000"
"Mar 20, 2018",1.29,1.32,1.16,1.19,"21,771","9,005,420"
"Mar 19, 2018",1.25,1.30,1.20,1.27,"64,918","8,756,650"
"Mar 18, 2018",1.33,1.34,1.07,1.25,"28,264","9,340,260"
"Mar 17, 2018",1.53,1.53,1.32,1.33,"20,139","10,707,100"
"Mar 16, 2018",1.40,1.58,1.40,1.53,"66,884","9,818,350"
"Mar 15, 2018",1.36,1.44,1.24,1.40,"24,037","9,503,320"
"Mar 14, 2018",1.72,1.76,1.31,1.36,"6,318","12,049,400"
"Mar 13, 2018",1.80,1.82,1.68,1.72,"3,390","12,629,300"
"Mar 12, 2018",1.92,1.99,1.79,1.81,"10,929","13,465,400"
"Mar 11, 2018",1.72,1.93,1.68,1.93,"12,634","12,041,600"
"Mar 10, 2018",2.08,2.13,1.72,1.73,"38,940","14,593,900"
"Mar 09, 2018",1.98,2.09,1.84,2.09,"61,155","13,856,900"
"Mar 08, 2018",2.00,2.08,1.93,1.96,"46,989","13,990,500"
"Mar 07, 2018",2.16,2.24,1.96,2.01,"84,516","15,137,100"
"Mar 06, 2018",2.10,2.21,2.06,2.20,"24,189","14,723,900"
"Mar 05, 2018",2.18,2.39,2.06,2.10,"34,113","15,231,000"
"Mar 04, 2018",2.28,2.37,2.14,2.17,"48,334","15,993,100"
"Mar 03, 2018",2.43,2.86,2.19,2.32,"21,044","17,046,300"
"Mar 02, 2018",2.52,2.55,2.39,2.44,"3,363","17,635,300"
"Mar 01, 2018",2.42,2.54,2.38,2.52,"15,431","16,963,400"
"Feb 28, 2018",2.79,2.79,2.34,2.43,"57,839","19,556,500"
"Feb 27, 2018",2.41,2.96,2.31,2.79,"75,011","16,894,900"
"Feb 26, 2018",1.93,2.59,1.93,2.35,"88,302","13,488,900"
"Feb 25, 2018",2.03,2.11,1.93,1.93,"67,110","14,179,200"
"Feb 24, 2018",1.96,2.13,1.83,2.03,"80,917","13,704,900"
"Feb 23, 2018",1.79,1.96,1.75,1.96,"89,741","12,534,900"
"Feb 22, 2018",1.88,1.96,1.75,1.79,"95,819","13,168,700"
