Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.178753,0.179290,0.161245,0.171824,"483,076","10,581,900"
"Mar 22, 2018",0.204338,0.204338,0.168470,0.178736,"568,112","12,095,000"
"Mar 21, 2018",0.183043,0.211998,0.183043,0.201712,"583,416","10,834,100"
"Mar 20, 2018",0.173661,0.182524,0.164316,0.181211,"109,197","10,277,600"
"Mar 19, 2018",0.172823,0.177937,0.134590,0.170021,"429,784","10,227,700"
"Mar 18, 2018",0.165079,0.178079,0.149561,0.173554,"423,159","9,769,040"
"Mar 17, 2018",0.166003,0.209895,0.159616,0.165943,"388,990","9,814,180"
"Mar 16, 2018",0.151749,0.175625,0.145452,0.165718,"72,404","8,952,570"
"Mar 15, 2018",0.187466,0.188492,0.146742,0.154856,"752,116","11,057,400"
"Mar 14, 2018",0.229369,0.231578,0.175348,0.187801,"934,000","12,382,100"
"Mar 13, 2018",0.229059,0.246052,0.216344,0.229561,"903,522","12,227,200"
"Mar 12, 2018",0.248545,0.263104,0.218502,0.230181,"1,033,190","13,253,500"
"Mar 11, 2018",0.253296,0.253296,0.219627,0.249253,"1,026,030","13,464,300"
"Mar 10, 2018",0.270747,0.285113,0.246564,0.254506,"493,988","14,380,900"
"Mar 09, 2018",0.299585,0.330791,0.251586,0.275788,"1,034,070","15,905,800"
"Mar 08, 2018",0.399596,0.405668,0.277876,0.296976,"859,263","21,213,800"
"Mar 07, 2018",0.469500,0.478917,0.353202,0.398980,"556,412","24,666,600"
"Mar 06, 2018",0.553206,0.553206,0.452201,0.470111,"669,672","28,928,100"
"Mar 05, 2018",0.517801,0.556179,0.428476,0.554746,"667,542","25,690,800"
"Mar 04, 2018",0.421612,0.521792,0.386343,0.487248,"425,373","20,908,800"
"Mar 03, 2018",0.408724,0.426407,0.394251,0.422341,"415,968","20,269,200"
"Mar 02, 2018",0.403725,0.432728,0.380010,0.409217,"415,938","19,550,700"
"Mar 01, 2018",0.276586,0.418999,0.274431,0.405082,"362,879","10,627,000"
"Feb 28, 2018",0.269899,0.297454,0.265196,0.276179,"354,694","10,348,500"
"Feb 27, 2018",0.296533,0.315270,0.255683,0.270217,"117,141","11,360,200"
"Feb 26, 2018",0.256109,0.301504,0.255290,0.295678,"200,975","9,798,160"
"Feb 25, 2018",0.277567,0.282663,0.247038,0.255782,"198,769","10,618,100"
"Feb 24, 2018",0.280712,0.301658,0.262859,0.277914,"244,577","10,722,000"
"Feb 23, 2018",0.291663,0.293090,0.258362,0.281068,"222,178","11,139,800"
"Feb 22, 2018",0.320577,0.350790,0.268611,0.291936,"142,811","11,230,100"
