Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",6.01,6.53,6.00,6.33,"276,387","12,020,200"
"Mar 22, 2018",6.51,6.83,6.01,6.01,"239,994","13,018,700"
"Mar 21, 2018",6.33,7.52,6.31,6.51,"919,696","12,650,400"
"Mar 20, 2018",5.93,6.62,5.91,6.33,"511,145","11,861,000"
"Mar 19, 2018",5.49,6.42,5.49,5.92,"752,793","10,979,400"
"Mar 18, 2018",5.56,5.89,5.37,5.51,"379,398","11,113,000"
"Mar 17, 2018",5.61,6.10,5.53,5.56,"216,513","11,225,000"
"Mar 16, 2018",5.96,6.11,5.61,5.61,"280,178","11,925,900"
"Mar 15, 2018",5.83,6.28,5.48,5.96,"396,297","11,667,100"
"Mar 14, 2018",6.21,6.37,5.83,5.84,"323,357","12,428,300"
"Mar 13, 2018",6.33,6.49,6.18,6.21,"199,581","12,668,700"
"Mar 12, 2018",6.32,6.93,6.32,6.34,"430,470","12,648,900"
"Mar 11, 2018",6.14,6.54,6.09,6.32,"284,994","12,280,700"
"Mar 10, 2018",6.50,6.87,6.13,6.15,"185,511","13,001,700"
"Mar 09, 2018",6.47,6.52,5.92,6.50,"1,378,930","12,944,900"
"Mar 08, 2018",6.86,6.99,6.30,6.47,"401,012","13,710,900"
"Mar 07, 2018",7.37,7.56,6.64,6.86,"556,115","14,732,200"
"Mar 06, 2018",7.22,7.87,7.21,7.37,"1,437,400","14,449,700"
"Mar 05, 2018",7.09,7.70,6.96,7.23,"599,988","14,173,800"
"Mar 04, 2018",6.46,8.96,6.41,7.09,"3,729,640","12,910,600"
"Mar 03, 2018",6.48,6.99,6.32,6.46,"356,996","12,963,200"
"Mar 02, 2018",6.70,6.93,6.37,6.37,"344,437","13,407,100"
"Mar 01, 2018",6.79,7.13,6.37,6.71,"439,445","13,570,600"
"Feb 28, 2018",7.13,7.33,6.78,6.78,"475,110","14,262,500"
"Feb 27, 2018",6.37,7.72,6.37,7.01,"1,349,950","12,733,200"
"Feb 26, 2018",6.19,7.20,6.19,6.36,"1,315,750","12,377,900"
"Feb 25, 2018",6.21,6.70,6.09,6.19,"461,855","12,417,500"
"Feb 24, 2018",7.18,7.21,6.21,6.21,"1,303,530","14,356,100"
"Feb 23, 2018",6.25,9.05,6.11,7.15,"2,947,970","12,493,400"
"Feb 22, 2018",6.25,6.52,6.06,6.25,"598,153","12,504,700"
