Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.000266,0.000313,0.000246,0.000313,"204,833","58,755,600"
"Mar 22, 2018",0.000326,0.000337,0.000259,0.000265,"103,076","71,844,700"
"Mar 21, 2018",0.000295,0.000338,0.000267,0.000324,"439,094","64,927,400"
"Mar 20, 2018",0.000268,0.000343,0.000266,0.000306,"214,573","59,047,100"
"Mar 19, 2018",0.000249,0.000310,0.000247,0.000269,"179,662","54,896,300"
"Mar 18, 2018",0.000240,0.000297,0.000219,0.000250,"169,342","52,847,900"
"Mar 17, 2018",0.000250,0.000311,0.000186,0.000239,"207,322","54,966,200"
"Mar 16, 2018",0.000247,0.000321,0.000238,0.000250,"553,640","54,300,900"
"Mar 15, 2018",0.000244,0.000250,0.000190,0.000247,"171,013","53,674,700"
"Mar 14, 2018",0.000265,0.000275,0.000193,0.000244,"220,013","58,254,100"
"Mar 13, 2018",0.000274,0.000281,0.000209,0.000266,"237,069","60,047,500"
"Mar 12, 2018",0.000286,0.000296,0.000207,0.000276,"421,871","62,634,600"
"Mar 11, 2018",0.000269,0.000318,0.000190,0.000286,"465,169","58,863,500"
"Mar 10, 2018",0.000281,0.000356,0.000217,0.000269,"182,056","61,500,300"
"Mar 09, 2018",0.000288,0.000356,0.000211,0.000281,"433,663","62,799,600"
"Mar 08, 2018",0.000356,0.000388,0.000285,0.000290,"396,751","77,456,200"
"Mar 07, 2018",0.000329,0.000385,0.000298,0.000356,"273,524","71,564,700"
"Mar 06, 2018",0.000347,0.000425,0.000324,0.000329,"277,434","75,421,000"
"Mar 05, 2018",0.000350,0.000446,0.000345,0.000347,"686,905","75,893,500"
"Mar 04, 2018",0.000447,0.000447,0.000340,0.000351,"647,255","96,906,800"
"Mar 03, 2018",0.000440,0.000526,0.000361,0.000447,"350,159","95,370,300"
"Mar 02, 2018",0.000449,0.000543,0.000432,0.000440,"613,759","97,326,700"
"Mar 01, 2018",0.000415,0.000540,0.000412,0.000449,"588,604","89,944,100"
"Feb 28, 2018",0.000525,0.000545,0.000328,0.000415,"1,275,230","113,609,000"
"Feb 27, 2018",0.000595,0.000612,0.000415,0.000448,"886,827","128,576,000"
"Feb 26, 2018",0.000512,0.000610,0.000436,0.000516,"1,081,180","110,542,000"
"Feb 25, 2018",0.000589,0.000651,0.000498,0.000571,"376,591","127,254,000"
"Feb 24, 2018",0.000687,0.000707,0.000549,0.000590,"461,857","148,174,000"
"Feb 23, 2018",0.000597,0.000714,0.000519,0.000689,"618,729","128,590,000"
"Feb 22, 2018",0.000719,0.000746,0.000538,0.000598,"709,226","154,895,000"
