Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",0.039164,0.113119,0.035000,0.077800,"82,869","5,968,230"
"Mar 20, 2018",0.045325,0.083899,0.031405,0.038935,"127,029","6,907,200"
"Mar 19, 2018",0.030421,0.056938,0.030421,0.044964,"88,002","4,636,410"
"Mar 18, 2018",0.044875,0.059435,0.030217,0.030543,"78,393","6,838,130"
"Mar 17, 2018",0.040995,0.055224,0.040126,0.044916,"72,582","6,223,150"
"Mar 16, 2018",0.046876,0.053499,0.040932,0.040964,"108,891","7,116,900"
"Mar 15, 2018",0.048676,0.055933,0.040424,0.046929,"110,696","7,118,120"
"Mar 14, 2018",0.057037,0.091607,0.041973,0.043662,"86,153","8,360,860"
"Mar 13, 2018",0.040640,0.097581,0.040431,0.057015,"85,825","5,957,930"
"Mar 12, 2018",0.056518,0.101353,0.030108,0.040686,"112,703","8,295,380"
"Mar 11, 2018",0.055114,0.096522,0.050872,0.056588,"76,350","8,079,970"
"Mar 10, 2018",0.070970,0.080854,0.042239,0.055279,"58,142","9,635,080"
"Mar 09, 2018",0.055671,0.080027,0.055671,0.071008,"61,996","7,559,580"
"Mar 08, 2018",0.042858,0.068296,0.040840,0.055775,"32,044","5,820,910"
"Mar 07, 2018",0.060316,0.083406,0.042333,0.042924,"38,360","8,218,020"
"Mar 06, 2018",0.054075,0.062274,0.047151,0.060325,"32,861","7,369,890"
"Mar 05, 2018",0.044841,0.054469,0.044536,0.054225,"36,638","6,111,360"
"Mar 04, 2018",0.050335,0.050376,0.044218,0.044873,"39,259","6,860,410"
"Mar 03, 2018",0.048485,0.051717,0.048485,0.050422,661,"6,608,280"
"Mar 02, 2018",0.057789,0.058242,0.047541,0.048545,"31,413","7,876,360"
"Mar 01, 2018",0.047495,0.058636,0.047125,0.057938,"2,015","6,473,290"
"Feb 28, 2018",0.052256,0.062492,0.045871,0.047425,"13,997","7,121,520"
"Feb 27, 2018",0.037122,0.058279,0.032579,0.052317,"35,263","5,059,180"
"Feb 26, 2018",0.041222,0.045274,0.035425,0.037015,"10,837","5,617,960"
"Feb 25, 2018",0.040723,0.041802,0.040060,0.041169,95,"5,547,360"
"Feb 24, 2018",0.039572,0.041117,0.036402,0.040785,857,"5,387,600"
"Feb 23, 2018",0.039380,0.042590,0.038408,0.039622,"8,262","5,358,740"
"Feb 22, 2018",0.041866,0.045811,0.039279,0.039416,"5,590","5,694,050"
"Feb 21, 2018",0.049353,0.065340,0.041175,0.041908,"13,126","6,708,750"
"Feb 20, 2018",0.040217,0.050551,0.039341,0.049414,"12,450","5,466,940"
"Feb 19, 2018",0.033241,0.040316,0.033138,0.040181,"12,027","4,517,840"
"Feb 18, 2018",0.044374,0.045083,0.032681,0.033394,"1,253","6,030,990"
"Feb 17, 2018",0.036697,0.044310,0.031588,0.044238,"2,374","4,987,440"
"Feb 16, 2018",0.035317,0.037761,0.029357,0.036705,"1,855","4,799,780"
"Feb 15, 2018",0.037900,0.040810,0.033894,0.035468,"3,120","5,147,660"
"Feb 14, 2018",0.032337,0.037975,0.032337,0.037879,"15,777","4,392,060"
"Feb 13, 2018",0.035590,0.035752,0.031890,0.032434,"13,322","4,825,700"
"Feb 12, 2018",0.030804,0.035598,0.030804,0.035526,222,"4,177,160"
"Feb 11, 2018",0.034199,0.034760,0.029524,0.030609,996,"4,637,220"
"Feb 10, 2018",0.033047,0.038488,0.032614,0.034228,290,"4,480,900"
"Feb 09, 2018",0.037914,0.037914,0.029967,0.033023,"1,381","5,141,370"
"Feb 08, 2018",0.036893,0.039652,0.033933,0.037860,"17,690","5,002,800"
"Feb 07, 2018",0.033007,0.041204,0.030393,0.036990,"14,813","4,475,670"
"Feb 06, 2018",0.036833,0.037691,0.024122,0.033116,"19,405","4,994,600"
"Feb 05, 2018",0.035580,0.039799,0.026153,0.036704,"13,834","4,825,990"
"Feb 04, 2018",0.047849,0.047849,0.033114,0.035928,"2,344","6,490,620"
"Feb 03, 2018",0.050582,0.052867,0.033756,0.047838,"2,733","6,861,010"
"Feb 02, 2018",0.046978,0.053459,0.032898,0.050343,"16,161","6,372,110"
"Feb 01, 2018",0.052102,0.057505,0.041640,0.047098,"10,684","7,067,640"
"Jan 31, 2018",0.057618,0.059017,0.047293,0.051993,"6,360","7,813,760"
"Jan 30, 2018",0.049071,0.063373,0.038782,0.057422,"19,375","6,654,340"
"Jan 29, 2018",0.052570,0.055765,0.048392,0.049055,"18,054","7,132,650"
"Jan 28, 2018",0.055528,0.064990,0.052622,0.052622,"3,498","7,532,040"
"Jan 27, 2018",0.050779,0.060047,0.042798,0.055212,"9,280","6,886,780"
"Jan 26, 2018",0.049558,0.053448,0.046328,0.050786,"21,637","6,445,420"
"Jan 25, 2018",0.059050,0.070918,0.045508,0.049693,"29,715","7,707,570"
"Jan 24, 2018",0.061443,0.071194,0.057609,0.064913,"2,066","8,019,920"
"Jan 23, 2018",0.055574,0.062090,0.050852,0.061468,"2,449","7,328,260"
"Jan 22, 2018",0.065472,0.072872,0.051854,0.055704,"4,551","8,633,400"
"Jan 21, 2018",0.074487,0.076575,0.062297,0.064680,"3,107","9,822,210"
"Jan 20, 2018",0.066515,0.076271,0.060713,0.074322,"4,554","8,770,930"
"Jan 19, 2018",0.065018,0.076339,0.060173,0.065908,"4,351","8,573,530"
"Jan 18, 2018",0.077993,0.078009,0.056841,0.065523,"43,640","10,284,500"
"Jan 17, 2018",0.053098,0.083252,0.050615,0.077540,"9,882","7,001,720"
"Jan 16, 2018",0.073527,0.086539,0.050586,0.053353,"11,227","9,695,570"
"Jan 15, 2018",0.085444,0.090842,0.073398,0.073398,"14,050","11,280,500"
"Jan 14, 2018",0.089851,0.097681,0.075299,0.085992,"22,351","11,862,300"
"Jan 13, 2018",0.087488,0.105163,0.087488,0.089786,"8,213","11,550,400"
"Jan 12, 2018",0.094262,0.113090,0.074292,0.087514,"46,918","12,443,800"
"Jan 11, 2018",0.109966,0.115100,0.074888,0.093298,"68,277","14,509,300"
"Jan 10, 2018",0.107428,0.117401,0.100922,0.110197,"74,697","14,174,500"
"Jan 09, 2018",0.079760,0.109717,0.079606,0.106654,"96,096","10,523,900"
"Jan 08, 2018",0.069790,0.085130,0.062767,0.079446,"88,961","9,208,360"
"Jan 07, 2018",0.107279,0.107279,0.050634,0.067061,"48,760","14,154,800"
"Jan 06, 2018",0.120783,0.120783,0.089313,0.107349,"28,639","15,935,700"
"Jan 05, 2018",0.156851,0.156851,0.101895,0.120414,"127,324","20,694,400"
"Jan 04, 2018",0.108136,0.176913,0.096693,0.156942,"250,940","14,268,700"
"Jan 03, 2018",0.073747,0.109539,0.066181,0.107692,"75,323","9,723,620"
"Jan 02, 2018",0.070586,0.083299,0.057625,0.073744,"27,397","9,298,570"
"Jan 01, 2018",0.075375,0.084075,0.065465,0.070568,"8,904","9,929,420"
"Dec 31, 2017",0.066696,0.078353,0.046733,0.075144,"8,919","8,786,050"
"Dec 30, 2017",0.072087,0.080026,0.063873,0.067365,"8,012","9,494,360"
"Dec 29, 2017",0.079357,0.081288,0.068120,0.072169,"19,731","10,271,100"
"Dec 28, 2017",0.075117,0.078888,0.067712,0.078859,"17,550","9,722,330"
"Dec 27, 2017",0.060846,0.082852,0.060589,0.075224,"21,744","7,875,170"
"Dec 26, 2017",0.065064,0.080997,0.059656,0.060204,"8,716","8,221,620"
"Dec 25, 2017",0.070131,0.077594,0.058358,0.065122,"6,711","8,861,900"
"Dec 24, 2017",0.075740,0.075740,0.053467,0.069502,"14,569","9,570,710"
"Dec 23, 2017",0.119379,0.127440,0.058134,0.074893,"10,354","15,084,900"
"Dec 22, 2017",0.072093,0.138194,0.052208,0.118407,"25,650","9,109,850"
"Dec 21, 2017",0.081646,0.086436,0.060293,0.071835,"37,050","10,316,900"
"Dec 20, 2017",0.084153,0.092246,0.059885,0.081534,"23,158","10,633,800"
"Dec 19, 2017",0.099889,0.103773,0.080394,0.084244,"59,969",-
"Dec 18, 2017",0.081003,0.100715,0.072579,0.100147,"46,063",-
"Dec 17, 2017",0.081859,0.091171,0.061575,0.080920,"12,387",-
"Dec 16, 2017",0.098010,0.103217,0.057105,0.081762,"4,789",-
"Dec 15, 2017",0.111269,0.111344,0.083583,0.097831,"38,062",-
