Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.085478,0.097551,0.081717,0.097186,"42,629","8,975,240"
"Mar 22, 2018",0.079875,0.096033,0.079875,0.085479,"23,242","8,386,900"
"Mar 21, 2018",0.083215,0.106361,0.073532,0.079474,"35,904","8,737,610"
"Mar 20, 2018",0.096723,0.105013,0.082588,0.082866,"82,304","10,156,000"
"Mar 19, 2018",0.098600,0.107344,0.091811,0.094982,"42,980","10,353,000"
"Mar 18, 2018",0.098310,0.100765,0.082978,0.098988,"96,712","10,322,500"
"Mar 17, 2018",0.095965,0.111525,0.094321,0.098503,"92,055","10,076,300"
"Mar 16, 2018",0.110059,0.117160,0.094994,0.095870,"54,713","11,556,200"
"Mar 15, 2018",0.106329,0.120203,0.101917,0.110167,"88,173","11,164,600"
"Mar 14, 2018",0.125295,0.147408,0.097958,0.106330,"90,347","13,156,000"
"Mar 13, 2018",0.132579,0.158397,0.124605,0.125258,"64,498","13,920,800"
"Mar 12, 2018",0.145698,0.149817,0.117484,0.132961,"73,888","15,298,300"
"Mar 11, 2018",0.134361,0.148438,0.070198,0.145963,"104,160","14,107,900"
"Mar 10, 2018",0.119884,0.141006,0.116738,0.134720,"41,398","12,587,800"
"Mar 09, 2018",0.101992,0.121067,0.098550,0.119906,"64,464","10,709,200"
"Mar 08, 2018",0.123968,0.134044,0.102073,0.102331,"52,328","13,016,600"
"Mar 07, 2018",0.141871,0.142889,0.113883,0.124168,"40,580","14,896,400"
"Mar 06, 2018",0.144986,0.153338,0.121754,0.141737,"26,159",-
"Mar 05, 2018",0.157355,0.162898,0.145167,0.145167,"28,275",-
"Mar 04, 2018",0.135418,0.167464,0.135201,0.157516,"33,757",-
"Mar 03, 2018",0.167490,0.171136,0.135490,0.135541,"36,069",-
"Mar 02, 2018",0.160630,0.187829,0.160630,0.167496,"44,349",-
"Mar 01, 2018",0.138903,0.162602,0.134111,0.160869,"35,326",-
"Feb 28, 2018",0.147946,0.188230,0.113526,0.138814,"18,055",-
"Feb 27, 2018",0.177808,0.188574,0.136149,0.147681,"12,602",-
"Feb 26, 2018",0.172104,0.201057,0.156750,0.177410,"5,130",-
"Feb 25, 2018",0.147682,0.205557,0.119950,0.172030,"13,427",-
"Feb 24, 2018",0.202020,0.205686,0.136518,0.148087,"2,819",-
"Feb 23, 2018",0.181898,0.202640,0.114982,0.202192,"7,756",-
"Feb 22, 2018",0.178905,0.205215,0.176964,0.182113,"2,409",-
