Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.024858,0.025814,0.022693,0.024118,"2,556","22,372,000"
"Mar 22, 2018",0.026325,0.026939,0.024233,0.024858,"9,583","23,692,800"
"Mar 21, 2018",0.024907,0.029442,0.024886,0.026374,"21,024","22,415,900"
"Mar 20, 2018",0.022515,0.024677,0.021614,0.024418,"19,726","20,263,200"
"Mar 19, 2018",0.019978,0.022992,0.019389,0.022266,"10,562","17,979,900"
"Mar 18, 2018",0.019313,0.021124,0.014194,0.020062,"67,414","17,381,500"
"Mar 17, 2018",0.023247,0.023247,0.016700,0.020142,"40,190","20,921,900"
"Mar 16, 2018",0.025323,0.026506,0.021957,0.024193,"16,167","22,790,800"
"Mar 15, 2018",0.025828,0.025990,0.023017,0.025337,"21,486","23,245,200"
"Mar 14, 2018",0.027859,0.028670,0.024351,0.026149,"28,633","25,072,700"
"Mar 13, 2018",0.033051,0.033349,0.027168,0.027854,"49,278","29,745,800"
"Mar 12, 2018",0.033682,0.038176,0.031923,0.031923,"17,503","30,314,100"
"Mar 11, 2018",0.031064,0.036589,0.028972,0.033789,"13,475","27,957,900"
"Mar 10, 2018",0.035458,0.036464,0.029390,0.031172,"57,168","31,912,600"
"Mar 09, 2018",0.040046,0.041528,0.031714,0.034165,"37,743","36,041,900"
"Mar 08, 2018",0.040576,0.045392,0.038675,0.040302,"55,178","36,518,300"
"Mar 07, 2018",0.044246,0.048603,0.037380,0.040634,"112,296","39,821,500"
"Mar 06, 2018",0.047056,0.050968,0.041117,0.044410,"62,402","42,350,800"
"Mar 05, 2018",0.045933,0.050451,0.045654,0.047187,"71,344","41,339,400"
"Mar 04, 2018",0.038747,0.046995,0.038167,0.045966,"134,522","34,871,900"
"Mar 03, 2018",0.034096,0.040483,0.034096,0.038814,"26,650","30,686,100"
"Mar 02, 2018",0.035531,0.040062,0.034094,0.034138,"48,688","31,978,100"
"Mar 01, 2018",0.029343,0.036796,0.029115,0.035431,"51,936","26,408,800"
"Feb 28, 2018",0.036280,0.036280,0.029553,0.029995,"34,007","32,652,200"
"Feb 27, 2018",0.034594,0.038291,0.031766,0.036323,"34,455","31,134,300"
"Feb 26, 2018",0.030872,0.035996,0.028917,0.034494,"29,920","27,784,600"
"Feb 25, 2018",0.034240,0.036247,0.028731,0.030832,"39,038","30,815,700"
"Feb 24, 2018",0.032121,0.034452,0.030475,0.034292,"22,835","28,908,700"
"Feb 23, 2018",0.031595,0.033606,0.026800,0.032162,"26,381","28,435,200"
"Feb 22, 2018",0.031705,0.036937,0.029250,0.031624,"17,350","28,534,800"
