Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",0.011064,0.011289,0.009828,0.010186,"34,223","6,370,120"
"Mar 29, 2018",0.013541,0.013716,0.010907,0.011120,"81,953","7,796,730"
"Mar 28, 2018",0.013909,0.014205,0.013400,0.013523,"22,590","8,008,010"
"Mar 27, 2018",0.014786,0.014786,0.013680,0.013755,"27,361","8,513,250"
"Mar 26, 2018",0.015254,0.015481,0.013799,0.014808,"44,721","8,782,520"
"Mar 25, 2018",0.014966,0.015714,0.014795,0.015265,"27,579","8,617,000"
"Mar 24, 2018",0.016486,0.017133,0.015175,0.015175,"49,310","9,492,060"
"Mar 23, 2018",0.016083,0.016338,0.015086,0.016338,"9,904","9,260,190"
"Mar 22, 2018",0.017168,0.017687,0.015313,0.016084,"44,658","9,884,930"
"Mar 21, 2018",0.016733,0.017884,0.016620,0.017165,"42,893","9,634,420"
"Mar 20, 2018",0.015653,0.016893,0.015108,0.016511,"28,501","9,012,500"
"Mar 19, 2018",0.013484,0.015520,0.013232,0.015437,"41,269","7,763,380"
"Mar 18, 2018",0.013256,0.013586,0.011330,0.013510,"58,171","7,632,480"
"Mar 17, 2018",0.015275,0.015282,0.012994,0.013246,"36,051","8,794,570"
"Mar 16, 2018",0.015831,0.016003,0.015049,0.015049,"21,941","9,114,770"
"Mar 15, 2018",0.015969,0.016070,0.014499,0.015840,"28,761","9,194,170"
"Mar 14, 2018",0.018296,0.018614,0.015639,0.015976,"63,612","10,534,300"
"Mar 13, 2018",0.018801,0.019844,0.017882,0.018294,"45,318","10,824,600"
"Mar 12, 2018",0.020080,0.020738,0.018247,0.018987,"24,479","11,561,400"
"Mar 11, 2018",0.018306,0.020496,0.017568,0.020144,"15,895","10,539,900"
"Mar 10, 2018",0.019417,0.021564,0.018143,0.018370,"38,638","11,179,500"
"Mar 09, 2018",0.020272,0.020774,0.017750,0.019408,"29,398","11,672,100"
"Mar 08, 2018",0.022918,0.022954,0.019879,0.020402,"38,555","13,195,200"
"Mar 07, 2018",0.023109,0.024676,0.020855,0.022950,"118,808","13,305,400"
"Mar 06, 2018",0.026177,0.026177,0.022423,0.023138,"43,413","15,071,700"
