Date,Open,High,Low,Close,Volume,Market Cap
"Mar 24, 2018",0.052719,0.052778,0.046034,0.046041,"885,881","21,074,100"
"Mar 23, 2018",0.051152,0.052589,0.044921,0.051973,"848,131","20,447,800"
"Mar 22, 2018",0.054721,0.058670,0.047710,0.051154,"896,957","21,874,400"
"Mar 21, 2018",0.048332,0.061267,0.048218,0.054804,"954,728","19,301,200"
"Mar 20, 2018",0.045267,0.053722,0.035969,0.050422,"934,351","18,077,100"
"Mar 19, 2018",0.038731,0.044891,0.038083,0.044772,"830,435","15,466,800"
"Mar 18, 2018",0.041791,0.042557,0.031169,0.038129,"904,098","16,688,900"
"Mar 17, 2018",0.039253,0.043423,0.038258,0.041889,"897,670","15,675,600"
"Mar 16, 2018",0.038141,0.042960,0.035785,0.039158,"870,407",-
"Mar 15, 2018",0.041901,0.093173,0.037798,0.038164,"511,027",-
"Mar 14, 2018",0.049449,0.052300,0.041690,0.041765,"465,835",-
"Mar 13, 2018",0.048517,0.052824,0.046888,0.049440,"144,888",-
"Mar 12, 2018",0.051165,0.054378,0.047030,0.048997,"356,204",-
"Mar 11, 2018",0.047274,0.052492,0.044905,0.051318,"421,967",-
"Mar 10, 2018",0.045718,0.055648,0.045718,0.047436,"662,045",-
"Mar 09, 2018",0.047462,0.048132,0.036250,0.045704,"1,029,350",-
"Mar 08, 2018",0.048105,0.049582,0.043882,0.047070,"336,600",-
"Mar 07, 2018",0.053707,0.056163,0.041863,0.048170,"115,449",-
"Mar 06, 2018",0.059021,0.060321,0.051998,0.053701,"118,298",-
"Mar 05, 2018",0.057636,0.062882,0.056113,0.059065,"100,413",-
"Mar 04, 2018",0.057941,0.061589,0.055636,0.057647,"113,383",-
"Mar 03, 2018",0.061057,0.069971,0.057749,0.058231,"139,167",-
"Mar 02, 2018",0.062564,0.069265,0.054416,0.061791,"183,333",-
"Mar 01, 2018",0.066266,0.070441,0.061306,0.062632,"128,897",-
"Feb 28, 2018",0.068011,0.073594,0.064898,0.067255,"102,128",-
"Feb 27, 2018",0.071538,0.073205,0.066672,0.066672,"73,623",-
"Feb 26, 2018",0.071169,0.074681,0.063603,0.071344,"190,887",-
"Feb 25, 2018",0.073238,0.078228,0.069279,0.071111,"107,114",-
"Feb 24, 2018",0.076323,0.084567,0.071151,0.073369,"156,372",-
"Feb 23, 2018",0.075245,0.079018,0.072111,0.076912,"116,640",-
"Feb 22, 2018",0.079847,0.086415,0.071543,0.075315,"838,281",-
"Feb 21, 2018",0.087821,0.094569,0.072213,0.079908,"1,102,720",-
"Feb 20, 2018",0.107778,0.110916,0.087162,0.087297,"261,031",-
"Feb 19, 2018",0.105235,0.110908,0.104879,0.109570,"707,839",-
"Feb 18, 2018",0.116154,0.117211,0.105894,0.105894,"1,472,750",-
"Feb 17, 2018",0.099814,0.123358,0.097793,0.116170,"1,332,480",-
"Feb 16, 2018",0.093253,0.103459,0.092157,0.100192,"3,209,890",-
"Feb 15, 2018",0.097864,0.097871,0.090461,0.093347,"790,824",-
"Feb 14, 2018",0.078970,0.097859,0.078933,0.097812,"1,827,010",-
"Feb 13, 2018",0.089874,0.093814,0.077262,0.079376,"957,016",-
"Feb 12, 2018",0.076683,0.105990,0.076683,0.089638,"2,597,950",-
"Feb 11, 2018",0.084570,0.090349,0.076211,0.076211,"2,759,850",-
"Feb 10, 2018",0.093934,0.097498,0.077194,0.083018,"1,534,760",-
"Feb 09, 2018",0.088841,0.095714,0.070711,0.093896,"962,466",-
"Feb 08, 2018",0.089264,0.098486,0.080367,0.090983,"6,279,400",-
"Feb 07, 2018",0.100248,0.103478,0.073801,0.089845,"2,937,130",-
"Feb 06, 2018",0.080528,0.101380,0.058249,0.100142,"941,255",-
"Feb 05, 2018",0.092972,0.095666,0.071833,0.080277,"749,094",-
"Feb 04, 2018",0.110833,0.111429,0.089897,0.093940,"750,882",-
"Feb 03, 2018",0.106243,0.114310,0.094911,0.111131,"1,702,580",-
"Feb 02, 2018",0.120000,0.122327,0.095940,0.105867,"2,436,470",-
"Feb 01, 2018",0.138706,0.146694,0.115726,0.120893,"5,046,970",-
"Jan 31, 2018",0.142118,0.152279,0.130814,0.138310,"3,354,180",-
"Jan 30, 2018",0.162613,0.184456,0.132779,0.140883,"4,525,580",-
"Jan 29, 2018",0.175121,0.183425,0.145974,0.159817,"7,608,190",-
"Jan 28, 2018",0.195560,0.214569,0.174649,0.174718,"4,032,450",-
"Jan 27, 2018",0.207582,0.211325,0.190462,0.195770,"2,933,400",-
"Jan 26, 2018",0.214134,0.233672,0.189425,0.207182,"4,547,580",-
