Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.039386,0.041613,0.037106,0.040753,"2,115,910","181,374,000"
"Mar 22, 2018",0.040773,0.042822,0.037922,0.039460,"1,453,160","187,764,000"
"Mar 21, 2018",0.040354,0.044184,0.039825,0.040801,"2,372,900","185,832,000"
"Mar 20, 2018",0.039108,0.040957,0.036004,0.040244,"2,009,550","180,094,000"
"Mar 19, 2018",0.035306,0.039267,0.035036,0.038860,"1,758,780","162,587,000"
"Mar 18, 2018",0.035182,0.035650,0.028541,0.035499,"1,508,220","162,016,000"
"Mar 17, 2018",0.038106,0.039568,0.034690,0.035268,"785,848","175,482,000"
"Mar 16, 2018",0.038334,0.040179,0.036334,0.038152,"725,472","176,530,000"
"Mar 15, 2018",0.037421,0.040029,0.034643,0.038172,"1,558,430","172,327,000"
"Mar 14, 2018",0.044501,0.045777,0.035531,0.037458,"1,318,880","204,931,000"
"Mar 13, 2018",0.044888,0.048258,0.043340,0.044507,"1,073,370","206,713,000"
"Mar 12, 2018",0.048140,0.049912,0.043656,0.045310,"867,750","221,689,000"
"Mar 11, 2018",0.043146,0.048406,0.041685,0.048406,"730,071","198,689,000"
"Mar 10, 2018",0.045709,0.049113,0.042892,0.043396,"1,151,800","210,492,000"
"Mar 09, 2018",0.043035,0.045645,0.038233,0.045426,"1,851,270","198,177,000"
"Mar 08, 2018",0.048795,0.049854,0.041898,0.043307,"1,695,910","224,704,000"
"Mar 07, 2018",0.055008,0.056088,0.043558,0.048762,"3,166,000","253,317,000"
"Mar 06, 2018",0.062550,0.063614,0.054194,0.054853,"2,643,570","288,047,000"
"Mar 05, 2018",0.059447,0.065083,0.058700,0.062710,"3,025,240","273,760,000"
"Mar 04, 2018",0.063677,0.064258,0.059320,0.060104,"2,485,120","293,239,000"
"Mar 03, 2018",0.069738,0.073733,0.061359,0.063579,"12,954,800","314,076,000"
"Mar 02, 2018",0.057003,0.067909,0.057003,0.067576,"12,472,000","256,726,000"
"Mar 01, 2018",0.053167,0.064486,0.051370,0.057569,"8,964,310","239,446,000"
"Feb 28, 2018",0.052219,0.053393,0.049704,0.051556,"1,950,090","235,179,000"
"Feb 27, 2018",0.052260,0.053535,0.051503,0.052306,"1,258,330","235,360,000"
"Feb 26, 2018",0.051502,0.053049,0.049401,0.052285,"1,775,610","231,948,000"
"Feb 25, 2018",0.050943,0.054439,0.049654,0.051405,"1,964,860","229,433,000"
"Feb 24, 2018",0.052193,0.054015,0.049145,0.051299,"3,225,860","235,061,000"
"Feb 23, 2018",0.048930,0.057524,0.047061,0.052368,"5,042,860","220,366,000"
"Feb 22, 2018",0.051405,0.054866,0.046091,0.048949,"2,093,410","231,511,000"
