Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",1.50,1.51,1.31,1.36,"710,969","96,224,000"
"Mar 22, 2018",1.50,1.64,1.45,1.50,"525,719","96,435,300"
"Mar 21, 2018",1.33,1.51,1.25,1.50,"925,048","85,512,800"
"Mar 20, 2018",1.42,1.44,1.33,1.33,"991,118","91,527,800"
"Mar 19, 2018",1.21,1.42,1.21,1.41,"895,348","78,082,700"
"Mar 18, 2018",1.23,1.24,1.07,1.21,"567,404","79,253,800"
"Mar 17, 2018",1.31,1.33,1.19,1.23,"610,429","84,388,900"
"Mar 16, 2018",1.29,1.34,1.23,1.30,"584,067","82,857,900"
"Mar 15, 2018",1.36,1.38,1.23,1.31,"959,180","87,581,900"
"Mar 14, 2018",1.55,1.57,1.32,1.36,"689,853","99,738,500"
"Mar 13, 2018",1.62,1.67,1.48,1.55,"928,627","104,059,000"
"Mar 12, 2018",1.68,1.72,1.59,1.62,"677,020","107,980,000"
"Mar 11, 2018",1.64,1.72,1.56,1.68,"588,020","105,221,000"
"Mar 10, 2018",1.74,1.84,1.61,1.64,"864,414","112,052,000"
"Mar 09, 2018",1.83,1.83,1.59,1.75,"1,281,230","118,016,000"
"Mar 08, 2018",2.00,2.09,1.84,1.86,"3,555,590","128,697,000"
"Mar 07, 2018",2.20,2.48,1.92,2.02,"3,362,920","141,477,000"
"Mar 06, 2018",2.28,2.30,2.13,2.19,"1,499,340","146,496,000"
"Mar 05, 2018",2.20,2.34,2.18,2.31,"1,594,750","141,852,000"
"Mar 04, 2018",2.24,2.27,2.11,2.22,"2,350,600","144,287,000"
"Mar 03, 2018",2.30,2.33,2.16,2.24,"3,049,940","148,162,000"
"Mar 02, 2018",2.44,2.48,2.23,2.30,"5,306,130","157,175,000"
"Mar 01, 2018",2.50,2.63,2.33,2.45,"8,431,660","161,068,000"
"Feb 28, 2018",2.18,2.58,1.99,2.48,"4,433,920","140,168,000"
"Feb 27, 2018",2.20,2.27,2.08,2.18,"1,850,940","141,762,000"
"Feb 26, 2018",2.05,2.22,2.01,2.19,"2,795,330","131,911,000"
"Feb 25, 2018",2.33,2.35,1.89,2.05,"3,264,730","149,776,000"
"Feb 24, 2018",2.57,2.60,2.24,2.31,"1,487,800","165,602,000"
"Feb 23, 2018",2.46,2.66,2.36,2.58,"1,275,070","158,011,000"
"Feb 22, 2018",2.53,2.71,2.40,2.46,"1,020,070","163,032,000"
