Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",24.15,26.61,23.30,23.51,"6,775,290","240,144,000"
"Mar 20, 2018",21.10,25.99,20.35,24.05,"8,251,900","209,608,000"
"Mar 19, 2018",18.19,20.89,18.19,20.71,"5,080,920","180,627,000"
"Mar 18, 2018",18.22,19.06,14.82,18.29,"5,580,910","180,848,000"
"Mar 17, 2018",20.60,20.73,17.66,18.28,"4,223,540","204,352,000"
"Mar 16, 2018",20.23,21.51,19.32,20.57,"5,124,390","200,569,000"
"Mar 15, 2018",20.43,20.88,18.16,20.26,"5,411,790","202,456,000"
"Mar 14, 2018",23.38,24.58,19.91,20.23,"5,591,680","231,540,000"
"Mar 13, 2018",24.42,25.31,23.41,23.47,"2,717,480","241,737,000"
"Mar 12, 2018",26.77,27.78,23.88,24.54,"6,817,230","264,827,000"
"Mar 11, 2018",25.19,27.08,24.25,26.87,"2,407,380","249,059,000"
"Mar 10, 2018",26.41,27.98,24.20,25.12,"3,289,970","259,896,000"
"Mar 09, 2018",25.14,28.36,21.74,26.17,"6,063,920","247,316,000"
"Mar 08, 2018",27.32,28.42,24.80,25.29,"3,129,480","268,745,000"
"Mar 07, 2018",31.07,34.93,22.03,27.42,"8,314,560","305,522,000"
"Mar 06, 2018",33.41,33.85,29.87,31.12,"3,355,610","329,272,000"
"Mar 05, 2018",35.05,35.41,33.50,33.59,"3,890,440","345,195,000"
"Mar 04, 2018",37.09,37.17,35.05,35.09,"3,013,210","364,987,000"
"Mar 03, 2018",38.49,39.57,36.39,37.09,"2,913,120","378,631,000"
"Mar 02, 2018",39.69,40.35,37.47,38.52,"3,098,330","390,210,000"
"Mar 01, 2018",37.57,40.75,37.54,39.91,"3,939,470","369,035,000"
"Feb 28, 2018",42.70,43.10,37.24,37.46,"4,570,520","418,779,000"
"Feb 27, 2018",42.15,45.66,40.59,42.74,"5,689,080","413,037,000"
"Feb 26, 2018",37.10,43.97,36.42,42.15,"7,714,540","363,370,000"
"Feb 25, 2018",37.25,37.54,35.81,37.11,"3,076,440","364,645,000"
"Feb 24, 2018",38.83,39.97,36.01,37.32,"2,926,860","379,876,000"
