Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.000031,0.000032,0.000019,0.000031,"3,648","4,714,760"
"Mar 22, 2018",0.000043,0.000049,0.000028,0.000031,"5,615","6,628,830"
"Mar 21, 2018",0.000048,0.000049,0.000039,0.000043,"3,738","7,376,130"
"Mar 20, 2018",0.000066,0.000070,0.000048,0.000048,"7,729","10,116,700"
"Mar 19, 2018",0.000015,0.000069,0.000015,0.000065,"4,190","2,332,420"
"Mar 18, 2018",0.000015,0.000018,0.000010,0.000015,"4,249","2,302,460"
"Mar 17, 2018",0.000027,0.000033,0.000015,0.000015,"1,854","4,143,200"
"Mar 16, 2018",0.000030,0.000044,0.000026,0.000027,"1,164","4,661,060"
"Mar 15, 2018",0.000039,0.000041,0.000022,0.000030,"1,920","5,952,450"
"Mar 14, 2018",0.000032,0.000043,0.000030,0.000039,"2,256","4,894,510"
"Mar 13, 2018",0.000034,0.000036,0.000021,0.000032,"3,076","5,185,600"
"Mar 12, 2018",0.000061,0.000065,0.000031,0.000034,"3,647","9,384,840"
"Mar 11, 2018",0.000051,0.000068,0.000048,0.000062,"4,259","7,810,240"
"Mar 10, 2018",0.000026,0.000052,0.000021,0.000051,"2,760","3,989,710"
"Mar 09, 2018",0.000034,0.000040,0.000026,0.000026,"3,312","5,234,200"
"Mar 08, 2018",0.000021,0.000036,0.000018,0.000034,"8,793","3,171,380"
"Mar 07, 2018",0.000033,0.000033,0.000014,0.000021,"32,504","4,999,220"
"Mar 06, 2018",0.000035,0.000050,0.000031,0.000033,"3,762","5,357,450"
"Mar 05, 2018",0.000061,0.000064,0.000031,0.000035,"3,789","9,252,070"
"Mar 04, 2018",0.000061,0.000075,0.000045,0.000062,"6,497","9,278,450"
"Mar 03, 2018",0.000048,0.000061,0.000046,0.000061,"2,211","7,363,130"
"Mar 02, 2018",0.000035,0.000062,0.000028,0.000048,"2,743","5,309,020"
"Mar 01, 2018",0.000028,0.000041,0.000023,0.000035,"3,265","4,271,950"
"Feb 28, 2018",0.000051,0.000065,0.000026,0.000028,"4,152","7,810,770"
"Feb 27, 2018",0.000045,0.000063,0.000045,0.000051,"4,508","6,883,520"
"Feb 26, 2018",0.000045,0.000046,0.000034,0.000045,"6,580","6,835,010"
"Feb 25, 2018",0.000040,0.000053,0.000040,0.000045,"4,509","6,088,340"
"Feb 24, 2018",0.000042,0.000047,0.000039,0.000040,"3,570","6,345,110"
"Feb 23, 2018",0.000034,0.000042,0.000032,0.000042,"4,362","5,169,660"
"Feb 22, 2018",0.000060,0.000062,0.000033,0.000034,"7,939","9,141,140"
