Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.156775,0.158868,0.128305,0.131257,"71,506","16,286,300"
"Mar 05, 2018",0.145528,0.168518,0.141010,0.157320,"106,047","15,117,400"
"Mar 04, 2018",0.147666,0.156538,0.143318,0.145634,"166,583","15,339,100"
"Mar 03, 2018",0.131065,0.163095,0.131065,0.151308,"164,941","13,614,300"
"Mar 02, 2018",0.128513,0.134991,0.124176,0.131225,"73,742","13,348,800"
"Mar 01, 2018",0.121658,0.129058,0.118857,0.128928,"39,623","12,636,500"
"Feb 28, 2018",0.127521,0.133143,0.121371,0.121479,"31,827","13,245,000"
"Feb 27, 2018",0.126874,0.131215,0.125348,0.127672,"30,865","13,177,400"
"Feb 26, 2018",0.118021,0.129638,0.113912,0.127885,"30,488","12,257,400"
"Feb 25, 2018",0.117194,0.120389,0.111818,0.117804,"17,273","12,171,100"
"Feb 24, 2018",0.124134,0.129354,0.113712,0.117372,"26,568","12,891,300"
"Feb 23, 2018",0.118025,0.126906,0.113158,0.124291,"50,199","12,256,400"
"Feb 22, 2018",0.126438,0.133858,0.114784,0.118135,"37,224","13,129,500"
"Feb 21, 2018",0.127890,0.133945,0.119468,0.128285,"62,424","13,279,700"
"Feb 20, 2018",0.135737,0.142234,0.126682,0.128051,"51,004","14,093,800"
"Feb 19, 2018",0.126168,0.138880,0.124021,0.136171,"33,101","13,095,300"
"Feb 18, 2018",0.141671,0.141671,0.123341,0.126854,"44,672","14,703,800"
"Feb 17, 2018",0.123965,0.142913,0.123321,0.140397,"62,313","12,865,400"
"Feb 16, 2018",0.125280,0.129224,0.121383,0.123993,"45,446","13,000,700"
"Feb 15, 2018",0.140167,0.140167,0.120008,0.125783,"100,983","14,544,600"
"Feb 14, 2018",0.110820,0.136973,0.107759,0.136973,"182,512","11,498,100"
"Feb 13, 2018",0.123917,0.124308,0.110991,0.111233,"35,545","12,855,800"
"Feb 12, 2018",0.114012,0.129131,0.114012,0.123606,"73,566","11,826,700"
"Feb 11, 2018",0.115437,0.124248,0.107735,0.113290,"128,571","11,972,800"
"Feb 10, 2018",0.122354,0.135969,0.110525,0.115535,"95,896","12,688,000"
"Feb 09, 2018",0.111590,0.122297,0.104089,0.122265,"53,558","11,571,500"
"Feb 08, 2018",0.112717,0.124345,0.110918,0.115216,"26,185","11,688,100"
"Feb 07, 2018",0.102288,0.129840,0.097641,0.113170,"78,807","10,606,300"
"Feb 06, 2018",0.087251,0.111172,0.067527,0.104334,"176,680","9,046,790"
"Feb 05, 2018",0.117287,0.120948,0.085767,0.085895,"67,239","12,160,400"
"Feb 04, 2018",0.130529,0.132655,0.113430,0.118436,"27,089","13,532,700"
"Feb 03, 2018",0.129130,0.138011,0.112476,0.130462,"66,775","13,387,300"
"Feb 02, 2018",0.128915,0.139028,0.110911,0.128779,"84,177","13,364,600"
"Feb 01, 2018",0.152296,0.157900,0.122759,0.128464,"73,668","15,788,200"
"Jan 31, 2018",0.157600,0.159236,0.148961,0.151944,"77,738","16,337,600"
"Jan 30, 2018",0.184229,0.184552,0.154359,0.160046,"113,743","19,097,600"
"Jan 29, 2018",0.193886,0.203165,0.178794,0.184502,"135,422","20,098,100"
"Jan 28, 2018",0.194055,0.205448,0.183991,0.194416,"145,566","20,115,100"
"Jan 27, 2018",0.187309,0.201113,0.179655,0.193067,"109,434","19,415,300"
"Jan 26, 2018",0.191276,0.204102,0.173443,0.187434,"101,011","19,825,900"
"Jan 25, 2018",0.202584,0.204771,0.183668,0.191786,"114,875","20,997,400"
"Jan 24, 2018",0.196497,0.212464,0.182922,0.199305,"167,660","20,366,000"
"Jan 23, 2018",0.176178,0.206069,0.165940,0.196612,"221,623","18,259,400"
"Jan 22, 2018",0.196819,0.219629,0.166837,0.176645,"447,672","20,398,100"
"Jan 21, 2018",0.233273,0.235136,0.194019,0.194165,"147,408","24,175,600"
"Jan 20, 2018",0.223504,0.250687,0.223504,0.231972,"217,516","23,162,400"
"Jan 19, 2018",0.218282,0.234010,0.208794,0.221101,"195,774","22,620,600"
"Jan 18, 2018",0.205591,0.245411,0.201076,0.218433,"198,112","21,304,700"
"Jan 17, 2018",0.195072,0.219781,0.156048,0.204800,"301,770","20,214,000"
"Jan 16, 2018",0.321005,0.321005,0.164258,0.195838,"685,993","33,262,700"
"Jan 15, 2018",0.321728,0.330405,0.300380,0.303894,"350,276","33,336,300"
"Jan 14, 2018",0.344551,0.358192,0.311113,0.324629,"499,990","35,699,600"
"Jan 13, 2018",0.336552,0.363362,0.323495,0.345887,"659,393","34,869,600"
"Jan 12, 2018",0.302658,0.342472,0.293996,0.331542,"337,732","31,356,600"
"Jan 11, 2018",0.354771,0.360667,0.290553,0.300530,"857,297","36,753,900"
"Jan 10, 2018",0.387117,0.392793,0.346279,0.353974,"803,707","40,103,600"
"Jan 09, 2018",0.396300,0.435301,0.381595,0.386610,"1,154,610","41,053,700"
"Jan 08, 2018",0.412415,0.422429,0.343480,0.395431,"1,613,710","42,721,900"
"Jan 07, 2018",0.392265,0.447939,0.381248,0.408928,"1,693,180","40,632,700"
"Jan 06, 2018",0.355986,0.416968,0.353004,0.392210,"1,741,290","36,873,700"
"Jan 05, 2018",0.433196,0.452293,0.344277,0.344530,"3,784,810","44,869,900"
"Jan 04, 2018",0.415274,0.499259,0.389596,0.435079,"6,167,350","43,012,500"
"Jan 03, 2018",0.347350,0.460022,0.318122,0.413012,"4,201,000","35,976,000"
"Jan 02, 2018",0.401271,0.429530,0.317316,0.349181,"5,791,350","41,559,500"
"Jan 01, 2018",0.274597,0.451987,0.264193,0.400898,"5,828,970","28,439,100"
"Dec 31, 2017",0.228500,0.294373,0.221870,0.273538,"1,753,040","23,664,300"
"Dec 30, 2017",0.263567,0.263908,0.210576,0.230867,"1,025,950","27,295,100"
"Dec 29, 2017",0.246289,0.272026,0.235789,0.264376,"758,942","25,504,900"
"Dec 28, 2017",0.246672,0.255623,0.218530,0.242052,"949,780","25,543,700"
"Dec 27, 2017",0.259045,0.290838,0.232935,0.247345,"939,636","26,824,200"
"Dec 26, 2017",0.272853,0.288715,0.236813,0.258700,"1,221,360","28,253,100"
"Dec 25, 2017",0.245275,0.286356,0.240022,0.273132,"1,582,200","25,396,800"
"Dec 24, 2017",0.228758,0.246356,0.205802,0.240670,"728,570","23,685,900"
"Dec 23, 2017",0.206294,0.261341,0.205406,0.226693,"1,315,470","21,359,400"
"Dec 22, 2017",0.273287,0.275979,0.156228,0.203954,"741,774","28,295,000"
"Dec 21, 2017",0.234051,0.313518,0.232727,0.272343,"2,449,710","24,231,900"
"Dec 20, 2017",0.251426,0.261927,0.211096,0.235083,"1,590,160","26,030,100"
"Dec 19, 2017",0.278776,0.290016,0.233619,0.252027,"1,261,950","28,860,800"
"Dec 18, 2017",0.257358,0.292739,0.238911,0.281023,"1,304,090","26,642,800"
"Dec 17, 2017",0.264097,0.283113,0.251122,0.252580,"1,087,970","27,339,400"
"Dec 16, 2017",0.233990,0.282840,0.229689,0.265814,"1,514,450","24,222,000"
"Dec 15, 2017",0.264760,0.265873,0.216042,0.228732,"2,097,530","27,406,300"
"Dec 14, 2017",0.288094,0.304272,0.257365,0.264363,"1,943,550","29,820,600"
"Dec 13, 2017",0.292665,0.324326,0.276475,0.289022,"2,499,170","30,292,400"
"Dec 12, 2017",0.380046,0.407643,0.291938,0.292420,"4,702,040","39,335,200"
"Dec 11, 2017",0.229511,0.439250,0.223957,0.377656,"15,239,800","23,753,600"
