Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.069859,0.089638,0.063860,0.071806,"62,448","8,698,780"
"Mar 22, 2018",0.069504,0.072572,0.067009,0.069969,"13,321","8,654,620"
"Mar 21, 2018",0.071385,0.073520,0.068490,0.069626,"7,133","8,888,820"
"Mar 20, 2018",0.065612,0.071222,0.063157,0.071022,"22,440","8,169,900"
"Mar 19, 2018",0.064727,0.067694,0.057827,0.064872,"71,918","8,059,730"
"Mar 18, 2018",0.068120,0.068120,0.053120,0.065004,"20,487","8,482,220"
"Mar 17, 2018",0.073397,0.075569,0.064089,0.068207,"20,729","9,139,270"
"Mar 16, 2018",0.079019,0.080356,0.073282,0.073282,"16,856","9,839,300"
"Mar 15, 2018",0.084898,0.085434,0.072880,0.079020,"57,026","10,571,500"
"Mar 14, 2018",0.098166,0.100278,0.083250,0.084969,"15,018","12,223,500"
"Mar 13, 2018",0.097730,0.102924,0.091258,0.098313,"20,522","12,169,200"
"Mar 12, 2018",0.102878,0.107955,0.095137,0.098567,"15,505","12,810,200"
"Mar 11, 2018",0.099072,0.107014,0.094052,0.104165,"10,417","12,336,300"
"Mar 10, 2018",0.101114,0.114043,0.097124,0.099528,"28,126","12,590,600"
"Mar 09, 2018",0.107049,0.108416,0.088563,0.100941,"29,508","13,329,600"
"Mar 08, 2018",0.111172,0.119176,0.104206,0.107772,"49,691","13,843,000"
"Mar 07, 2018",0.128683,0.131759,0.109011,0.111939,"25,668","16,023,400"
"Mar 06, 2018",0.145900,0.147521,0.127310,0.128017,"24,307","18,167,300"
"Mar 05, 2018",0.149941,0.151874,0.142668,0.145244,"25,295","18,670,500"
"Mar 04, 2018",0.153466,0.156442,0.145615,0.150026,"18,169","19,109,400"
"Mar 03, 2018",0.136034,0.164478,0.136034,0.153774,"41,187","16,938,800"
"Mar 02, 2018",0.138786,0.150709,0.132868,0.136202,"57,327","17,281,400"
"Mar 01, 2018",0.133067,0.140836,0.127946,0.139154,"107,885","16,569,300"
"Feb 28, 2018",0.141815,0.146755,0.133004,0.133004,"36,011","17,658,600"
"Feb 27, 2018",0.143489,0.149106,0.140761,0.141824,"19,413","17,867,100"
"Feb 26, 2018",0.139620,0.148706,0.136328,0.143461,"16,564","17,385,400"
"Feb 25, 2018",0.146020,0.149064,0.135976,0.139454,"19,174","18,182,200"
"Feb 24, 2018",0.149613,0.159444,0.141334,0.145850,"8,557","18,629,600"
"Feb 23, 2018",0.145777,0.160394,0.141883,0.149069,"18,827","18,151,900"
"Feb 22, 2018",0.168959,0.173212,0.145916,0.145916,"62,870","21,038,600"
