Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.457486,0.458337,0.355532,0.456641,"1,174","17,950,200"
"Mar 22, 2018",0.453495,0.467604,0.399435,0.457564,404,"17,793,500"
"Mar 21, 2018",0.418167,0.478716,0.415591,0.452387,"2,775","16,407,400"
"Mar 20, 2018",0.498886,0.498886,0.413735,0.415613,875,"19,574,600"
"Mar 19, 2018",0.447370,0.495558,0.409549,0.494934,"2,303","17,553,200"
"Mar 18, 2018",0.458646,0.464823,0.387403,0.449169,"2,861","17,995,700"
"Mar 17, 2018",0.588021,0.595908,0.457262,0.459060,461,"23,071,900"
"Mar 16, 2018",0.610268,0.614865,0.477413,0.587774,"2,651","23,944,800"
"Mar 15, 2018",0.493376,0.619248,0.462400,0.610977,251,"19,358,300"
"Mar 14, 2018",0.553465,0.626607,0.492811,0.493027,"14,619","21,716,000"
"Mar 13, 2018",0.590925,0.660002,0.548280,0.553252,"41,824","23,185,800"
"Mar 12, 2018",0.610166,0.626442,0.579997,0.591810,"4,861","23,940,800"
"Mar 11, 2018",0.597628,0.618862,0.536591,0.610920,"30,941","23,448,800"
"Mar 10, 2018",0.675938,0.693258,0.580348,0.599414,"13,371","26,521,400"
"Mar 09, 2018",0.561550,0.678014,0.517225,0.676281,"11,844","22,033,200"
"Mar 08, 2018",0.607337,0.741379,0.555697,0.562583,"26,717","23,829,800"
"Mar 07, 2018",0.695948,0.803335,0.589219,0.608293,"14,684","27,306,600"
"Mar 06, 2018",0.724153,0.935814,0.702293,0.796844,"4,340","28,413,200"
"Mar 05, 2018",0.649946,0.956213,0.648178,0.724299,"6,064","25,501,600"
"Mar 04, 2018",0.692436,0.853950,0.648037,0.649756,"13,628","27,168,700"
"Mar 03, 2018",0.768633,0.770583,0.690985,0.692540,"4,440","30,158,500"
"Mar 02, 2018",0.851830,0.856805,0.763899,0.769237,"9,798","33,422,800"
"Mar 01, 2018",0.701125,0.852105,0.648502,0.852074,"31,068","27,509,700"
"Feb 28, 2018",0.857966,0.877599,0.700865,0.700902,"23,561","33,663,600"
"Feb 27, 2018",0.710170,0.890607,0.710170,0.857657,"7,597","27,864,600"
"Feb 26, 2018",0.683559,0.778263,0.683559,0.708223,"8,369","26,820,400"
"Feb 25, 2018",0.748993,0.756081,0.672046,0.683112,"4,883","29,387,800"
"Feb 24, 2018",0.838760,0.853524,0.730273,0.750752,661,"32,910,000"
"Feb 23, 2018",0.684247,0.839471,0.630679,0.839471,"7,283","26,847,400"
"Feb 22, 2018",0.722030,0.739192,0.633294,0.685091,"9,774","28,329,900"
