Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.105800,0.106656,0.100539,0.103419,"138,528","41,714,500"
"Mar 22, 2018",0.102523,0.107010,0.102370,0.105880,"161,864","40,416,500"
"Mar 21, 2018",0.105679,0.107093,0.101433,0.103147,"132,798","41,654,600"
"Mar 20, 2018",0.096469,0.120153,0.094612,0.104892,"463,901","38,018,400"
"Mar 19, 2018",0.086923,0.099762,0.085760,0.095987,"231,870","34,251,300"
"Mar 18, 2018",0.084602,0.089236,0.080773,0.088193,"140,977","33,331,800"
"Mar 17, 2018",0.090749,0.092862,0.082533,0.084628,"149,920","35,748,400"
"Mar 16, 2018",0.088540,0.095724,0.084137,0.091661,"180,952","34,872,900"
"Mar 15, 2018",0.094476,0.095779,0.087728,0.088881,"229,820","37,205,200"
"Mar 14, 2018",0.101980,0.104211,0.093280,0.094849,"275,290","40,154,800"
"Mar 13, 2018",0.105064,0.106989,0.101181,0.102385,"150,510","41,362,700"
"Mar 12, 2018",0.108594,0.113425,0.103851,0.105463,"76,842","42,745,800"
"Mar 11, 2018",0.105630,0.111590,0.101944,0.110129,"105,926","41,573,000"
"Mar 10, 2018",0.116243,0.120193,0.105169,0.106438,"127,213","45,743,200"
"Mar 09, 2018",0.106605,0.120303,0.092219,0.116164,"368,180","41,944,100"
"Mar 08, 2018",0.123028,0.126175,0.105710,0.107283,"450,383","48,398,900"
"Mar 07, 2018",0.141276,0.143569,0.119291,0.123498,"467,671","55,569,100"
"Mar 06, 2018",0.148897,0.148897,0.138785,0.141272,"168,355","58,558,000"
"Mar 05, 2018",0.148567,0.152471,0.146891,0.148139,"98,839","58,419,200"
"Mar 04, 2018",0.150036,0.151615,0.146680,0.148417,"85,768","58,988,100"
"Mar 03, 2018",0.150003,0.152389,0.145631,0.150552,"223,152","58,966,100"
"Mar 02, 2018",0.144956,0.152534,0.143086,0.150089,"124,788","56,973,500"
"Mar 01, 2018",0.142337,0.145414,0.139960,0.144591,"141,985","55,935,700"
"Feb 28, 2018",0.151448,0.155736,0.142291,0.142401,"137,555","59,507,200"
"Feb 27, 2018",0.149667,0.157123,0.148113,0.151664,"130,310","58,798,700"
"Feb 26, 2018",0.143503,0.151539,0.139056,0.149333,"167,926","56,368,700"
"Feb 25, 2018",0.145898,0.149346,0.140424,0.144488,"150,252","57,300,600"
"Feb 24, 2018",0.151032,0.156780,0.144241,0.145987,"212,745","59,308,300"
"Feb 23, 2018",0.134988,0.157826,0.132912,0.150454,"364,241","53,000,000"
"Feb 22, 2018",0.138456,0.142070,0.129292,0.134997,"274,221","54,353,300"
