Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",2.49,2.62,2.28,2.36,"51,208","10,160,400"
"Mar 22, 2018",2.76,2.77,2.41,2.49,"28,926","11,249,500"
"Mar 21, 2018",2.64,3.04,2.59,2.76,"31,030","10,764,100"
"Mar 20, 2018",2.66,2.86,2.47,2.63,"58,219","10,843,300"
"Mar 19, 2018",2.64,2.71,2.39,2.64,"30,967","10,770,100"
"Mar 18, 2018",2.37,2.80,1.68,2.66,"103,620","9,639,710"
"Mar 17, 2018",2.56,2.59,2.16,2.37,"50,861","10,407,100"
"Mar 16, 2018",2.67,2.72,2.44,2.55,"24,137","10,866,600"
"Mar 15, 2018",2.59,2.97,2.40,2.67,"47,108","10,544,100"
"Mar 14, 2018",2.96,3.10,2.50,2.59,"51,158","12,045,600"
"Mar 13, 2018",2.96,3.20,2.88,2.96,"32,484","12,072,600"
"Mar 12, 2018",2.97,3.31,2.66,2.88,"154,634","12,075,800"
"Mar 11, 2018",2.91,3.34,2.56,2.97,"100,829","11,868,700"
"Mar 10, 2018",3.28,3.43,2.82,2.96,"83,071","13,369,500"
"Mar 09, 2018",3.07,3.31,2.49,3.28,"60,480","12,504,200"
"Mar 08, 2018",3.72,4.05,2.78,3.06,"281,316","15,131,100"
"Mar 07, 2018",4.18,4.24,3.53,3.72,"146,415","17,021,400"
"Mar 06, 2018",4.47,4.56,3.93,4.19,"149,965","18,201,100"
"Mar 05, 2018",4.98,5.05,4.48,4.48,"340,765","19,996,100"
"Mar 04, 2018",4.39,5.00,4.36,4.99,"273,625","17,068,300"
"Mar 03, 2018",4.61,4.78,4.29,4.70,"206,834","17,909,500"
"Mar 02, 2018",4.31,4.73,4.18,4.49,"190,014","16,569,400"
"Mar 01, 2018",4.65,4.70,3.98,4.23,"243,565","17,864,600"
"Feb 28, 2018",4.11,4.96,3.62,4.65,"385,811","15,777,400"
"Feb 27, 2018",3.59,4.42,3.24,4.20,"145,886","13,776,200"
"Feb 26, 2018",3.82,4.29,3.30,3.58,"121,089","14,678,300"
"Feb 25, 2018",3.89,4.19,3.61,3.82,"102,305","14,959,100"
"Feb 24, 2018",3.78,3.94,3.61,3.90,"47,914","14,484,200"
"Feb 23, 2018",3.44,4.04,3.25,3.79,"62,077","13,177,900"
"Feb 22, 2018",3.88,4.21,3.26,3.58,"93,653","14,869,100"
