Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.493512,0.618580,0.447357,0.497053,"727,708","29,697,400"
"Mar 22, 2018",0.461036,0.629307,0.450454,0.493604,"1,344,270","27,741,700"
"Mar 21, 2018",0.484242,0.501656,0.428658,0.459911,"364,712","29,138,000"
"Mar 20, 2018",0.392506,0.494847,0.385043,0.481339,"773,213","23,519,900"
"Mar 19, 2018",0.374007,0.423792,0.356478,0.389389,"266,754","22,411,400"
"Mar 18, 2018",0.385619,0.411966,0.302134,0.375504,"551,084","23,107,200"
"Mar 17, 2018",0.458186,0.476413,0.375314,0.385967,"246,643","27,455,600"
"Mar 16, 2018",0.446940,0.502104,0.379279,0.468326,"800,340",-
"Mar 15, 2018",0.462618,0.494603,0.400254,0.433837,"884,277",-
"Mar 14, 2018",0.454052,0.532050,0.426117,0.480700,"1,203,240",-
