Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",2.05,2.10,1.07,1.98,267,"7,605,610"
"Mar 29, 2018",2.28,2.86,2.02,2.05,119,"8,446,850"
"Mar 28, 2018",1.77,3.96,1.63,2.27,202,"6,571,770"
"Mar 27, 2018",2.46,2.49,1.49,1.77,347,"9,119,800"
"Mar 26, 2018",2.81,2.83,1.95,2.46,62,"10,424,300"
"Mar 25, 2018",4.37,4.51,2.80,2.81,237,"16,207,300"
"Mar 24, 2018",2.82,5.10,2.81,4.43,13,"10,478,000"
"Mar 23, 2018",2.58,2.79,2.43,2.79,111,"9,574,830"
"Mar 22, 2018",2.77,2.83,1.98,2.01,148,"10,266,200"
"Mar 21, 2018",2.68,4.36,2.30,2.77,498,"9,923,950"
"Mar 20, 2018",2.67,2.78,2.48,2.66,382,"9,889,390"
"Mar 19, 2018",2.65,2.65,2.55,2.64,275,"9,824,880"
"Mar 18, 2018",2.64,2.64,2.33,2.35,53,"9,810,650"
"Mar 17, 2018",2.43,2.82,2.40,2.65,311,"9,017,470"
"Mar 16, 2018",3.29,3.31,2.43,2.43,"1,682","12,214,900"
"Mar 15, 2018",3.57,6.42,3.27,3.30,177,"13,236,900"
"Mar 14, 2018",3.62,3.65,2.96,3.57,92,"13,422,200"
"Mar 13, 2018",3.28,5.31,3.24,3.62,610,"12,168,600"
"Mar 12, 2018",3.60,4.00,3.05,3.29,606,"13,349,900"
"Mar 11, 2018",3.09,3.62,3.01,3.60,"1,751","11,445,600"
"Mar 10, 2018",3.58,3.68,2.77,3.09,"3,584","13,263,600"
"Mar 09, 2018",2.74,3.59,2.58,3.58,"1,048","10,155,400"
"Mar 08, 2018",5.22,5.29,2.71,2.74,24,"19,372,400"
"Mar 07, 2018",3.95,5.31,3.90,5.23,45,"14,658,500"
"Mar 06, 2018",4.05,4.48,3.94,3.95,6,"15,010,600"
"Mar 05, 2018",3.44,5.90,3.44,4.05,252,"12,772,200"
"Mar 04, 2018",4.58,4.59,3.34,3.44,519,"17,005,200"
"Mar 03, 2018",4.67,4.69,4.46,4.59,"1,819","17,307,600"
"Mar 02, 2018",5.33,6.48,4.66,4.67,"2,570","19,756,600"
"Mar 01, 2018",4.45,9.09,4.43,5.34,"8,443","16,520,900"
"Feb 28, 2018",7.11,8.58,4.45,4.45,"5,899","26,385,700"
