Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",0.007792,0.007815,0.006981,0.007051,"4,584","9,003,920"
"Mar 05, 2018",0.008591,0.008879,0.007811,0.007814,"6,562","9,919,190"
"Mar 04, 2018",0.007842,0.009963,0.007099,0.008597,"28,264","9,046,910"
"Mar 03, 2018",0.007298,0.007861,0.007298,0.007856,"4,615","8,412,350"
"Mar 02, 2018",0.007234,0.007544,0.006814,0.007307,"3,005","8,332,010"
"Mar 01, 2018",0.007234,0.007627,0.006935,0.007253,"8,751","8,324,640"
"Feb 28, 2018",0.007692,0.008171,0.006870,0.007223,"15,530","8,845,240"
"Feb 27, 2018",0.007388,0.007909,0.007101,0.007704,"7,706","8,487,940"
"Feb 26, 2018",0.006506,0.007457,0.006475,0.007363,"3,812","7,468,640"
"Feb 25, 2018",0.006506,0.006998,0.006360,0.006498,"2,551","7,462,930"
"Feb 24, 2018",0.007024,0.007349,0.006313,0.006516,"6,735","8,050,130"
"Feb 23, 2018",0.006512,0.007089,0.006405,0.007033,"2,140","7,456,800"
"Feb 22, 2018",0.007253,0.007553,0.006419,0.006692,"2,101","8,298,710"
"Feb 21, 2018",0.007863,0.008293,0.007004,0.007260,"5,100","8,989,740"
"Feb 20, 2018",0.008727,0.008944,0.006159,0.007873,"14,070","9,968,500"
"Feb 19, 2018",0.008679,0.008804,0.007888,0.008749,"5,434","9,905,510"
"Feb 18, 2018",0.008412,0.009143,0.007644,0.008719,"3,354","9,592,960"
"Feb 17, 2018",0.008185,0.008789,0.007508,0.008386,"10,994","9,326,830"
"Feb 16, 2018",0.008329,0.008488,0.007508,0.008187,"11,251","9,483,260"
"Feb 15, 2018",0.007776,0.008425,0.007481,0.008365,"10,196","8,846,110"
"Feb 14, 2018",0.007067,0.008068,0.007027,0.007772,"7,430","8,033,080"
"Feb 13, 2018",0.007454,0.007583,0.006983,0.007089,"6,260","8,465,120"
"Feb 12, 2018",0.006891,0.007659,0.006891,0.007440,"5,678","7,819,080"
"Feb 11, 2018",0.006970,0.007249,0.006413,0.006847,"11,625","7,902,630"
"Feb 10, 2018",0.007473,0.007817,0.006188,0.006976,"21,585","8,466,090"
"Feb 09, 2018",0.007108,0.007612,0.006673,0.007468,"9,105","8,045,460"
"Feb 08, 2018",0.006638,0.007893,0.006638,0.007086,"6,542","7,507,730"
"Feb 07, 2018",0.006679,0.007812,0.006362,0.006665,"5,022","7,547,440"
"Feb 06, 2018",0.006068,0.006910,0.005092,0.006747,"22,226","6,851,200"
"Feb 05, 2018",0.007706,0.007848,0.005771,0.006060,"6,640","8,693,760"
"Feb 04, 2018",0.008374,0.008563,0.007117,0.007782,"19,140","9,438,930"
"Feb 03, 2018",0.007799,0.008553,0.007489,0.008370,"3,017","8,783,810"
"Feb 02, 2018",0.008242,0.008242,0.006681,0.007773,"8,249","9,275,070"
"Feb 01, 2018",0.008898,0.009499,0.007622,0.008260,"13,737","10,004,200"
"Jan 31, 2018",0.009103,0.009799,0.008697,0.008877,"13,191","10,226,800"
"Jan 30, 2018",0.009979,0.010615,0.009004,0.009089,"20,440","11,201,300"
"Jan 29, 2018",0.010878,0.010878,0.009460,0.009976,"26,512","12,199,800"
