Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",3.59,4.22,3.08,4.06,"598,299,000","1,387,790,000"
"Mar 22, 2018",3.48,3.99,3.28,3.59,"132,270,000","1,344,440,000"
"Mar 21, 2018",2.67,3.70,2.62,3.47,"235,402,000","1,031,500,000"
"Mar 20, 2018",2.38,2.74,2.14,2.62,"48,542,400","918,344,000"
"Mar 19, 2018",2.09,2.35,1.97,2.35,"39,146,200","806,369,000"
"Mar 18, 2018",1.95,2.10,1.59,2.07,"35,447,300","751,868,000"
"Mar 17, 2018",2.25,2.25,1.89,1.96,"25,180,000","869,145,000"
"Mar 16, 2018",2.27,2.39,2.16,2.25,"24,701,000","876,745,000"
"Mar 15, 2018",2.38,2.43,2.16,2.27,"31,307,700","918,183,000"
"Mar 14, 2018",2.90,3.14,2.28,2.38,"55,190,300","1,120,270,000"
"Mar 13, 2018",2.62,2.94,2.59,2.88,"37,901,500","1,013,500,000"
"Mar 12, 2018",2.77,2.86,2.54,2.64,"15,110,200","1,069,070,000"
"Mar 11, 2018",2.47,2.82,2.37,2.78,"9,918,750","954,506,000"
"Mar 10, 2018",2.68,2.83,2.43,2.47,"12,162,200","1,033,760,000"
"Mar 09, 2018",2.59,2.73,2.20,2.72,"19,856,200","997,345,000"
"Mar 08, 2018",3.00,3.07,2.60,2.61,"18,798,000","1,157,400,000"
"Mar 07, 2018",3.41,3.47,2.68,3.00,"33,020,700","1,317,660,000"
"Mar 06, 2018",3.56,3.59,3.26,3.42,"28,737,100","1,374,390,000"
"Mar 05, 2018",3.64,3.67,3.54,3.59,"16,088,900","1,405,150,000"
"Mar 04, 2018",3.66,3.75,3.52,3.64,"16,649,900","1,412,180,000"
"Mar 03, 2018",3.71,3.88,3.61,3.66,"17,486,200","1,432,210,000"
"Mar 02, 2018",3.81,3.88,3.59,3.71,"19,446,700","1,470,820,000"
"Mar 01, 2018",3.55,3.86,3.50,3.81,"20,427,300","1,369,150,000"
"Feb 28, 2018",4.02,4.02,3.55,3.55,"28,413,100","1,553,020,000"
"Feb 27, 2018",4.03,4.10,3.89,4.03,"23,394,200","1,554,800,000"
"Feb 26, 2018",3.87,4.25,3.83,4.00,"57,012,300","1,496,620,000"
"Feb 25, 2018",3.82,3.91,3.64,3.87,"20,438,700","1,477,030,000"
"Feb 24, 2018",3.94,4.10,3.62,3.83,"18,201,100","1,524,150,000"
"Feb 23, 2018",3.76,4.20,3.64,3.95,"29,152,600","1,451,450,000"
"Feb 22, 2018",4.00,4.34,3.66,3.76,"35,044,500","1,547,280,000"
