Date,Open,High,Low,Close,Volume,Market Cap
"Mar 12, 2018",0.090598,0.099676,0.090211,0.099581,"860,583","20,267,400"
"Mar 11, 2018",0.087099,0.092769,0.083425,0.090779,"1,978,420","19,484,700"
"Mar 10, 2018",0.092333,0.101287,0.086070,0.087330,"1,142,320",-
"Mar 09, 2018",0.097574,0.101677,0.083205,0.092556,"1,410,870",-
"Mar 08, 2018",0.107686,0.112590,0.096716,0.097849,"2,434,640",-
"Mar 07, 2018",0.111549,0.137728,0.107427,0.108031,"3,628,270",-
"Mar 06, 2018",0.125373,0.125373,0.109123,0.111423,"12,463,000",-
"Mar 05, 2018",0.108105,0.135470,0.106293,0.125825,"9,351,360",-
"Mar 04, 2018",0.112752,0.112810,0.101715,0.108008,"5,254,130",-
"Mar 03, 2018",0.107488,0.120485,0.087399,0.112171,"1,914,960",-
"Mar 02, 2018",0.137517,0.138566,0.105026,0.107340,"2,524,490",-
"Mar 01, 2018",0.137707,0.144793,0.131801,0.137413,"4,761,390",-
