Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.086020,0.095243,0.075275,0.095243,"391,774","34,402,500"
"Mar 22, 2018",0.064005,0.089277,0.062889,0.085981,"204,315","25,597,900"
"Mar 21, 2018",0.066665,0.070395,0.062187,0.063982,"75,998","26,661,800"
"Mar 20, 2018",0.064789,0.067838,0.058339,0.066355,"65,716","25,911,600"
"Mar 19, 2018",0.057178,0.066383,0.055821,0.064240,"54,488","22,867,600"
"Mar 18, 2018",0.058956,0.061149,0.044322,0.057415,"78,048","23,578,600"
"Mar 17, 2018",0.060493,0.068578,0.057055,0.059058,"64,645","24,193,500"
"Mar 16, 2018",0.066990,0.072444,0.060447,0.060447,"100,588","26,791,900"
"Mar 15, 2018",0.069006,0.072858,0.063493,0.067048,"82,304","27,597,900"
"Mar 14, 2018",0.078409,0.081332,0.067713,0.068993,"78,663","31,358,700"
"Mar 13, 2018",0.085544,0.086216,0.067676,0.073150,"234,025","34,212,300"
"Mar 12, 2018",0.092063,0.094386,0.082943,0.086976,"75,531","36,819,100"
"Mar 11, 2018",0.080861,0.094667,0.079193,0.092252,"87,411","32,339,100"
"Mar 10, 2018",0.085440,0.093494,0.081121,0.081121,"84,096","34,170,400"
"Mar 09, 2018",0.078211,0.088217,0.073052,0.085447,"95,937","31,279,200"
"Mar 08, 2018",0.088220,0.090331,0.075763,0.080588,"103,072","35,282,500"
"Mar 07, 2018",0.092511,0.100184,0.081180,0.088357,"120,045","36,998,700"
"Mar 06, 2018",0.107267,0.111444,0.090620,0.092503,"196,402","42,899,800"
"Mar 05, 2018",0.095810,0.110897,0.081363,0.110766,"183,958","38,317,800"
"Mar 04, 2018",0.098445,0.098669,0.086545,0.096369,"125,895","39,371,500"
"Mar 03, 2018",0.099577,0.108716,0.092447,0.098593,"93,770","39,824,500"
"Mar 02, 2018",0.110410,0.111241,0.099469,0.099683,"91,339","44,157,000"
"Mar 01, 2018",0.106760,0.112875,0.100002,0.110520,"98,524","42,697,100"
"Feb 28, 2018",0.109527,0.115484,0.097405,0.106719,"162,497","43,803,700"
"Feb 27, 2018",0.115438,0.121473,0.108077,0.110255,"105,960","46,167,800"
"Feb 26, 2018",0.109223,0.120441,0.106069,0.115113,"124,395","43,682,100"
"Feb 25, 2018",0.113138,0.117199,0.103437,0.109115,"172,198","45,248,100"
"Feb 24, 2018",0.119533,0.130914,0.105196,0.113331,"168,046","47,805,700"
"Feb 23, 2018",0.118791,0.121048,0.102385,0.119152,"283,930","47,509,000"
"Feb 22, 2018",0.134305,0.136047,0.103824,0.114301,"498,159","53,713,400"
