Date,Open,High,Low,Close,Volume,Market Cap
"Mar 12, 2018",0.062107,0.062457,0.048755,0.054616,"22,695","9,996,540"
"Mar 11, 2018",0.053645,0.063841,0.047599,0.062183,"26,770","8,634,610"
"Mar 10, 2018",0.051204,0.055953,0.049401,0.053805,"27,723","8,241,630"
"Mar 09, 2018",0.055636,0.056180,0.045048,0.051190,"22,472","8,955,020"
"Mar 08, 2018",0.054661,0.059264,0.047279,0.051776,"22,413","8,798,110"
"Mar 07, 2018",0.061356,0.077131,0.051582,0.054747,"65,472",-
"Mar 06, 2018",0.089377,0.091147,0.061180,0.062113,"159,722",-
"Mar 05, 2018",0.092563,0.094729,0.085725,0.089395,"99,791",-
"Mar 04, 2018",0.099172,0.100407,0.088154,0.092536,"96,161",-
"Mar 03, 2018",0.090618,0.103712,0.085748,0.100461,"195,771",-
"Mar 02, 2018",0.095785,0.097692,0.072921,0.090689,"198,602",-
"Mar 01, 2018",0.093849,0.129244,0.090210,0.095812,"473,698",-
"Feb 28, 2018",0.094459,0.100205,0.090604,0.090604,"280,064",-
