Date,Open,High,Low,Close,Volume,Market Cap
"Mar 26, 2018",1.34,1.41,1.12,1.21,"8,026,930","37,662,200"
"Mar 25, 2018",1.29,1.49,1.28,1.35,"8,745,830","36,244,000"
"Mar 24, 2018",1.28,1.38,1.28,1.31,"7,691,290","35,844,000"
"Mar 23, 2018",1.28,1.30,1.15,1.26,"7,363,590","35,849,400"
"Mar 22, 2018",1.24,1.39,1.19,1.28,"8,601,480","34,847,100"
"Mar 21, 2018",1.26,1.32,1.21,1.25,"7,793,750","35,410,300"
"Mar 20, 2018",1.20,1.31,1.13,1.26,"7,306,660","33,653,900"
"Mar 19, 2018",1.12,1.22,1.10,1.19,"6,963,620","31,478,200"
"Mar 18, 2018",1.12,1.20,0.944110,1.13,"7,438,300","31,451,300"
"Mar 17, 2018",1.34,1.34,1.12,1.12,"6,947,070","37,487,200"
"Mar 16, 2018",1.35,1.40,1.28,1.34,"7,805,200","37,799,900"
"Mar 15, 2018",1.38,1.38,1.24,1.35,"7,595,480","38,514,300"
"Mar 14, 2018",1.61,1.66,1.34,1.38,"8,205,310","45,025,700"
"Mar 13, 2018",1.62,1.69,1.55,1.60,"8,989,050","45,288,200"
"Mar 12, 2018",1.79,1.79,1.57,1.62,"9,103,790","50,248,900"
"Mar 11, 2018",1.59,1.82,1.54,1.80,"5,683,150","44,729,600"
"Mar 10, 2018",1.67,1.81,1.59,1.60,"3,574,240","46,792,400"
"Mar 09, 2018",1.73,1.78,1.50,1.66,"5,108,780","48,443,200"
"Mar 08, 2018",1.78,1.87,1.65,1.74,"6,882,560","49,998,500"
"Mar 07, 2018",1.92,2.06,1.66,1.78,"9,080,850","53,797,300"
"Mar 06, 2018",2.14,2.15,1.89,1.92,"9,008,380","60,041,700"
"Mar 05, 2018",2.20,2.25,2.13,2.13,"9,140,610","61,726,800"
"Mar 04, 2018",2.19,2.22,2.11,2.20,"9,564,480","61,467,700"
"Mar 03, 2018",2.21,2.31,2.13,2.19,"11,643,300","62,047,600"
"Mar 02, 2018",2.29,2.31,2.15,2.21,"10,378,500","64,257,500"
"Mar 01, 2018",2.17,2.37,2.15,2.29,"10,391,000","60,902,300"
"Feb 28, 2018",2.30,2.36,2.16,2.16,"12,584,800","64,499,100"
"Feb 27, 2018",2.29,2.31,2.20,2.30,"14,518,500","64,470,900"
"Feb 26, 2018",2.31,2.35,2.18,2.29,"17,980,600","65,001,800"
"Feb 25, 2018",2.35,2.59,2.29,2.31,"20,229,700","66,074,000"
"Feb 24, 2018",2.28,2.48,2.20,2.35,"19,138,600","64,050,400"
"Feb 23, 2018",2.20,2.50,2.07,2.29,"13,636,300","61,733,200"
"Feb 22, 2018",2.28,2.48,2.07,2.21,"13,026,900","63,989,800"
"Feb 21, 2018",2.56,2.59,2.18,2.28,"18,384,800","72,015,100"
"Feb 20, 2018",3.00,3.18,2.55,2.57,"20,766,800","84,212,200"
"Feb 19, 2018",2.83,3.09,2.82,2.99,"24,436,100","79,558,700"
"Feb 18, 2018",3.09,3.12,2.73,2.84,"19,647,900","86,919,500"
"Feb 17, 2018",2.99,3.15,2.95,3.08,"20,851,900","83,974,000"
"Feb 16, 2018",2.92,3.30,2.79,2.99,"29,166,500","82,146,900"
"Feb 15, 2018",2.41,2.99,2.39,2.91,"21,939,900","67,660,400"
"Feb 14, 2018",2.31,2.45,2.29,2.41,"15,328,600","65,000,800"
"Feb 13, 2018",2.46,2.53,2.23,2.32,"16,791,500","69,263,800"
"Feb 12, 2018",2.08,2.61,2.08,2.47,"19,576,900","58,689,100"
"Feb 11, 2018",2.23,2.23,2.00,2.06,"12,072,900","62,520,900"
"Feb 10, 2018",2.51,2.58,2.12,2.24,"13,222,200","70,428,500"
"Feb 09, 2018",2.28,2.52,2.16,2.51,"7,942,880","63,757,100"
"Feb 08, 2018",2.09,2.33,2.09,2.25,"12,817,900","58,568,100"
"Feb 07, 2018",2.27,2.37,1.98,2.10,"16,092,500","63,545,800"
"Feb 06, 2018",1.99,2.29,1.54,2.28,"38,931,100","55,619,200"
"Feb 05, 2018",2.63,2.69,1.77,1.93,"30,509,500","73,640,000"
"Feb 04, 2018",3.02,3.31,2.49,2.67,"21,198,100","84,573,800"
"Feb 03, 2018",2.80,3.06,2.52,3.02,"45,604,000","78,450,200"
"Feb 02, 2018",2.83,2.88,2.21,2.79,"18,160,400","79,312,600"
"Feb 01, 2018",3.62,3.79,2.66,2.84,"16,478,300","100,664,000"
"Jan 31, 2018",3.71,3.80,3.46,3.63,"3,762,450","103,281,000"
"Jan 30, 2018",4.29,4.29,3.45,3.72,"2,948,380","119,448,000"
