Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",0.062446,0.063353,0.055758,0.060715,"13,903","12,551,600"
"Mar 24, 2018",0.064141,0.065431,0.063070,0.063223,"2,108","12,892,300"
"Mar 23, 2018",0.061928,0.064710,0.051338,0.063473,"30,395","12,447,400"
"Mar 22, 2018",0.065795,0.069385,0.059117,0.061933,"6,550","13,224,700"
"Mar 21, 2018",0.067267,0.069953,0.065044,0.065804,"7,812","13,520,700"
"Mar 20, 2018",0.067607,0.067867,0.063332,0.066960,"2,524","13,589,100"
"Mar 19, 2018",0.064228,0.067593,0.061742,0.066981,"20,364","12,909,900"
"Mar 18, 2018",0.066988,0.066988,0.055401,0.064492,"15,807","13,464,600"
"Mar 17, 2018",0.070002,0.072817,0.066762,0.067109,"7,762","14,070,500"
"Mar 16, 2018",0.072551,0.073977,0.069362,0.069888,"8,730","14,582,700"
"Mar 15, 2018",0.066538,0.074661,0.058873,0.072355,"16,842","13,374,100"
"Mar 14, 2018",0.081175,0.086082,0.066017,0.066545,"25,501","16,316,200"
"Mar 13, 2018",0.086718,0.087743,0.080448,0.081154,"31,375","17,430,300"
"Mar 12, 2018",0.087221,0.092615,0.083168,0.087088,"22,874","17,531,500"
"Mar 11, 2018",0.081568,0.092727,0.078398,0.087422,"6,332","16,395,200"
"Mar 10, 2018",0.092281,0.094338,0.081501,0.081838,"7,148","18,548,400"
"Mar 09, 2018",0.084341,0.099978,0.077167,0.092263,"15,687","16,952,500"
"Mar 08, 2018",0.088432,0.095319,0.083809,0.084691,"7,392","17,774,800"
"Mar 07, 2018",0.093935,0.099150,0.075126,0.088566,"41,739","18,880,900"
"Mar 06, 2018",0.104853,0.104853,0.092304,0.093896,"47,681","21,075,500"
"Mar 05, 2018",0.106294,0.111347,0.100819,0.104980,"26,822","21,365,200"
"Mar 04, 2018",0.113277,0.115541,0.101885,0.106294,"8,747","22,768,700"
"Mar 03, 2018",0.111068,0.118868,0.106560,0.113336,"29,009","22,324,600"
"Mar 02, 2018",0.117656,0.118534,0.110540,0.111185,"24,311","23,648,900"
"Mar 01, 2018",0.108806,0.118943,0.108184,0.117770,"16,569","21,870,000"
"Feb 28, 2018",0.121444,0.123373,0.108634,0.108695,"7,320","24,410,300"
"Feb 27, 2018",0.110285,0.158202,0.109109,0.121470,"45,860","22,167,200"
"Feb 26, 2018",0.110936,0.120896,0.109975,0.109975,"10,836","22,298,100"
"Feb 25, 2018",0.108822,0.118334,0.101356,0.110833,"16,056","21,873,300"
"Feb 24, 2018",0.111386,0.115554,0.101632,0.109054,"23,978","22,388,700"
"Feb 23, 2018",0.113604,0.119989,0.108975,0.111509,"41,313","22,834,300"
"Feb 22, 2018",0.122807,0.134164,0.110801,0.113733,"29,361","24,684,200"
"Feb 21, 2018",0.132204,0.139026,0.111458,0.122962,"38,110","26,573,000"
"Feb 20, 2018",0.139428,0.152059,0.131548,0.132369,"86,615","28,024,900"
"Feb 19, 2018",0.151154,0.156784,0.134883,0.139353,"67,050","30,381,900"
"Feb 18, 2018",0.178083,0.183270,0.149667,0.151780,"52,506","35,794,700"
"Feb 17, 2018",0.153050,0.173605,0.151228,0.173605,"73,104","30,763,100"
"Feb 16, 2018",0.156133,0.163801,0.150816,0.153105,"48,719","31,382,700"
"Feb 15, 2018",0.156886,0.168012,0.149992,0.160610,"74,576","31,534,000"
"Feb 14, 2018",0.150307,0.170548,0.138371,0.156800,"63,385","30,211,700"
"Feb 13, 2018",0.164575,0.165193,0.141557,0.150538,"29,041","33,079,600"
"Feb 12, 2018",0.153071,0.171941,0.146098,0.163786,"58,299","30,767,300"
"Feb 11, 2018",0.170446,0.170446,0.108820,0.152350,"65,004","34,259,600"
"Feb 10, 2018",0.177201,0.204946,0.147777,0.170608,"70,309","35,617,500"
"Feb 09, 2018",0.163188,0.179133,0.153621,0.177152,"41,818","32,800,700"
"Feb 08, 2018",0.163840,0.183945,0.158733,0.163438,"48,030",-
"Feb 07, 2018",0.178892,0.201396,0.158336,0.164418,"100,935",-
"Feb 06, 2018",0.154883,0.181150,0.123856,0.180103,"116,069",-
"Feb 05, 2018",0.182488,0.194217,0.125582,0.154503,"76,277",-
"Feb 04, 2018",0.216146,0.226326,0.187311,0.191459,"57,630",-
"Feb 03, 2018",0.211502,0.244223,0.184559,0.216105,"71,318",-
"Feb 02, 2018",0.241151,0.241151,0.162616,0.210631,"239,020",-
"Feb 01, 2018",0.265996,0.273516,0.186579,0.241830,"356,864",-
"Jan 31, 2018",0.275811,0.302616,0.234743,0.265435,"245,001",-
"Jan 30, 2018",0.300110,0.328099,0.251282,0.275426,"350,941",-
"Jan 29, 2018",0.353738,0.361392,0.285664,0.299980,"465,677",-
"Jan 28, 2018",0.321938,0.368827,0.306138,0.354144,"442,516",-
"Jan 27, 2018",0.309304,0.329186,0.294484,0.319946,"322,427",-
"Jan 26, 2018",0.294912,0.310751,0.265607,0.309377,"309,763",-
"Jan 25, 2018",0.311770,0.325113,0.239793,0.294402,"434,689",-
"Jan 24, 2018",0.299303,0.319981,0.252078,0.308614,"661,835",-
"Jan 23, 2018",0.308862,0.318921,0.273681,0.300637,"411,643",-
"Jan 22, 2018",0.328042,0.369891,0.250558,0.322244,"809,609",-
"Jan 21, 2018",0.426493,0.426493,0.315457,0.325704,"634,883",-
"Jan 20, 2018",0.320231,0.425548,0.315552,0.425548,"1,860,590",-
"Jan 19, 2018",0.330211,0.342784,0.233693,0.317758,"2,442,080",-
