Date,Open,High,Low,Close,Volume,Market Cap
"Mar 24, 2018",0.189805,0.228826,0.177587,0.210611,"127,709","5,942,430"
"Mar 23, 2018",0.166174,0.187231,0.143949,0.187231,"128,009","5,146,650"
"Mar 22, 2018",0.160166,0.177311,0.155500,0.166180,"51,999","4,907,670"
"Mar 21, 2018",0.157891,0.169607,0.152810,0.160345,"67,367","4,785,600"
"Mar 20, 2018",0.150850,0.157284,0.136026,0.156019,"53,580","4,522,330"
"Mar 19, 2018",0.146159,0.161666,0.134246,0.149251,"73,221","4,333,240"
"Mar 18, 2018",0.136594,0.159995,0.131288,0.146749,"34,106","4,005,100"
"Mar 17, 2018",0.171872,0.171872,0.136333,0.144518,"56,977","4,981,770"
"Mar 16, 2018",0.129110,0.186249,0.120296,0.171620,"109,779",-
"Mar 15, 2018",0.139961,0.147786,0.118961,0.129185,"62,631",-
"Mar 14, 2018",0.175390,0.184497,0.133321,0.139998,"65,648",-
"Mar 13, 2018",0.178584,0.186465,0.155552,0.175358,"59,229",-
"Mar 12, 2018",0.192598,0.224695,0.145113,0.179440,"124,214",-
"Mar 11, 2018",0.205828,0.218795,0.191092,0.193114,"66,725",-
"Mar 10, 2018",0.218353,0.238552,0.204628,0.206497,"88,818",-
"Mar 09, 2018",0.243839,0.246443,0.200262,0.218202,"190,252",-
"Mar 08, 2018",0.279311,0.291382,0.225996,0.246610,"176,185",-
"Mar 07, 2018",0.311626,0.315352,0.256419,0.279664,"120,142",-
"Mar 06, 2018",0.326432,0.359352,0.290613,0.312245,"232,043",-
