Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",1.19,1.22,1.06,1.17,"8,440,710","57,628,300"
"Mar 22, 2018",1.10,1.23,1.01,1.18,"8,770,540","53,660,900"
"Mar 21, 2018",1.07,1.17,1.03,1.10,"8,210,010","51,927,400"
"Mar 20, 2018",0.853010,1.23,0.823467,1.06,"7,881,900","41,458,500"
"Mar 19, 2018",0.711934,0.847062,0.711934,0.847062,"5,869,210","34,601,800"
"Mar 18, 2018",0.749757,0.749757,0.615786,0.712210,"5,847,930","36,440,200"
"Mar 17, 2018",0.791619,0.804153,0.734538,0.750354,"5,084,150","38,474,800"
"Mar 16, 2018",0.803119,0.833049,0.733793,0.797788,"6,285,550","39,033,700"
"Mar 15, 2018",0.812895,0.829281,0.702422,0.802813,"7,080,720","39,508,800"
"Mar 14, 2018",1.04,1.05,0.806678,0.813086,"8,756,490","50,321,100"
"Mar 13, 2018",1.04,1.09,0.988304,1.04,"7,299,880","50,633,500"
"Mar 12, 2018",1.05,1.08,0.971711,1.04,"15,836,800","50,996,000"
"Mar 11, 2018",0.985398,1.09,0.938582,1.05,"6,613,380","47,893,000"
"Mar 10, 2018",1.05,1.17,0.987622,0.989012,"7,921,690","51,117,000"
"Mar 09, 2018",1.01,1.05,0.813774,1.05,"6,236,260","48,999,400"
"Mar 08, 2018",1.15,1.23,0.995566,1.01,"6,706,900","55,702,100"
"Mar 07, 2018",1.56,1.57,1.12,1.14,"8,511,710","75,832,500"
"Mar 06, 2018",1.80,1.81,1.54,1.56,"9,035,260","87,270,600"
"Mar 05, 2018",1.91,1.94,1.79,1.80,"9,380,760","91,648,900"
"Mar 04, 2018",1.87,1.94,1.79,1.90,"6,394,410","89,985,600"
"Mar 03, 2018",1.83,2.02,1.73,1.87,"7,442,910","87,927,400"
"Mar 02, 2018",2.02,2.03,1.76,1.83,"7,789,230","92,946,200"
"Mar 01, 2018",2.00,2.06,1.99,2.02,"6,628,620","76,601,500"
"Feb 28, 2018",2.18,2.24,2.00,2.00,"8,095,580","83,517,900"
"Feb 27, 2018",2.18,2.34,2.12,2.18,"11,950,900","83,536,900"
"Feb 26, 2018",2.06,2.21,2.01,2.16,"11,893,700","78,770,300"
"Feb 25, 2018",2.32,2.32,2.00,2.04,"12,951,000","88,997,200"
"Feb 24, 2018",2.35,2.49,2.21,2.33,"16,603,800","89,932,400"
"Feb 23, 2018",2.37,2.48,2.29,2.34,"15,900,300","90,905,400"
"Feb 22, 2018",2.31,2.80,2.25,2.37,"19,824,100","88,442,000"
