Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.331765,0.360294,0.318759,0.360294,"16,408","11,870,200"
"Mar 22, 2018",0.394065,0.397131,0.328832,0.331794,"35,358","14,099,200"
"Mar 21, 2018",0.382622,0.422646,0.382622,0.394411,"13,108","13,689,800"
"Mar 20, 2018",0.361352,0.412653,0.348539,0.380719,"19,955","12,928,800"
"Mar 19, 2018",0.307580,0.361022,0.301807,0.358207,"78,066","11,004,800"
"Mar 18, 2018",0.323556,0.326424,0.265873,0.308850,"112,458","11,576,400"
"Mar 17, 2018",0.346228,0.378813,0.321021,0.324050,"90,808","12,387,600"
"Mar 16, 2018",0.355805,0.376529,0.336634,0.345930,"160,449","12,730,300"
"Mar 15, 2018",0.328947,0.374796,0.320239,0.356052,"17,960","11,769,400"
"Mar 14, 2018",0.393419,0.424598,0.313382,0.329132,"37,599","14,076,100"
"Mar 13, 2018",0.458524,0.484192,0.384910,0.393338,"68,301","16,405,400"
"Mar 12, 2018",0.387837,0.456408,0.385783,0.454654,"77,929","13,876,400"
"Mar 11, 2018",0.334053,0.396727,0.327603,0.388915,"28,188","11,952,000"
"Mar 10, 2018",0.352270,0.371674,0.333551,0.335134,"19,739","12,603,800"
"Mar 09, 2018",0.356724,0.371312,0.318053,0.352221,"49,810","12,763,200"
"Mar 08, 2018",0.434808,0.443381,0.353816,0.358221,"68,979","15,556,900"
"Mar 07, 2018",0.402946,0.453898,0.336873,0.435484,"432,583","14,416,900"
"Mar 06, 2018",0.491712,0.496757,0.357139,0.402922,"218,258","17,592,900"
"Mar 05, 2018",0.488384,0.507822,0.443797,0.492760,"31,462","17,473,800"
"Mar 04, 2018",0.507387,0.527756,0.478687,0.488792,"41,917","18,153,700"
"Mar 03, 2018",0.476324,0.562425,0.473669,0.480241,"63,810","17,042,300"
"Mar 02, 2018",0.464965,0.492976,0.422573,0.476817,"68,215","16,635,900"
"Mar 01, 2018",0.507436,0.525484,0.450841,0.465372,"107,300","18,155,500"
"Feb 28, 2018",0.551435,0.570477,0.494555,0.507033,"147,149","19,729,700"
"Feb 27, 2018",0.542371,0.582775,0.531980,0.551498,"162,077","19,405,400"
"Feb 26, 2018",0.575998,0.591430,0.504246,0.540809,"216,595","20,608,600"
"Feb 25, 2018",0.572027,0.618399,0.567102,0.575560,"304,213","20,466,500"
"Feb 24, 2018",0.541734,0.579052,0.539790,0.569008,"70,042","19,382,600"
"Feb 23, 2018",0.521224,0.559414,0.508123,0.541519,"210,730","18,648,800"
"Feb 22, 2018",0.622563,0.640201,0.505970,0.521844,"317,686","22,274,600"
