Date,Open,High,Low,Close,Volume,Market Cap
"Mar 06, 2018",5.40,5.40,4.45,4.55,"1,771,710","10,928,300"
"Mar 05, 2018",6.06,6.06,5.09,5.43,"5,608,070","12,258,800"
"Mar 04, 2018",7.73,7.73,5.90,6.64,"25,082,400","15,631,400"
"Mar 03, 2018",3.57,7.62,3.57,7.62,"29,666,400","7,210,960"
"Mar 02, 2018",3.62,3.93,3.48,3.57,"1,407,690","7,321,560"
"Mar 01, 2018",3.01,3.83,2.82,3.63,"2,512,650","6,077,520"
"Feb 28, 2018",3.03,3.27,2.81,3.15,"119,942","6,124,780"
"Feb 27, 2018",2.93,3.03,2.87,3.03,"24,110","5,935,570"
"Feb 26, 2018",2.84,3.00,2.73,2.93,"51,043","5,743,820"
"Feb 25, 2018",2.93,2.96,2.77,2.84,"22,701","5,919,950"
"Feb 24, 2018",3.03,3.30,2.75,2.93,"74,888","6,131,800"
"Feb 23, 2018",2.87,3.04,2.76,3.01,"51,197","5,804,900"
"Feb 22, 2018",3.17,3.35,2.85,2.87,"126,353","6,407,060"
"Feb 21, 2018",3.45,3.45,3.09,3.22,"31,632","6,968,790"
"Feb 20, 2018",3.67,3.93,3.33,3.45,"152,447","7,414,860"
"Feb 19, 2018",3.65,3.88,3.49,3.66,"91,004","7,375,110"
"Feb 18, 2018",4.14,4.23,3.59,3.66,"80,309","8,366,480"
"Feb 17, 2018",3.79,4.17,3.67,4.12,"129,385","7,664,820"
"Feb 16, 2018",3.59,3.83,3.45,3.79,"93,869","7,270,060"
"Feb 15, 2018",3.51,3.69,3.44,3.61,"292,297","7,104,540"
"Feb 14, 2018",2.99,3.52,2.99,3.51,"244,455","6,041,410"
"Feb 13, 2018",3.37,3.37,2.96,3.01,"117,663","6,818,110"
"Feb 12, 2018",2.95,3.30,2.95,3.16,"68,584","5,970,590"
"Feb 11, 2018",3.10,3.18,2.81,2.93,"57,285","6,271,630"
"Feb 10, 2018",3.41,3.60,3.03,3.10,"90,390","6,904,980"
"Feb 09, 2018",3.21,3.44,3.03,3.41,"82,288","6,500,580"
"Feb 08, 2018",2.99,3.33,2.99,3.17,"98,371","6,039,590"
"Feb 07, 2018",2.86,3.38,2.79,3.00,"304,342","5,778,230"
"Feb 06, 2018",2.52,2.95,2.03,2.95,"87,817","5,105,310"
"Feb 05, 2018",3.31,3.31,2.34,2.53,"77,460","6,685,370"
"Feb 04, 2018",3.90,4.03,3.09,3.31,"65,928","7,879,170"
"Feb 03, 2018",3.49,4.00,3.17,3.89,"171,641","7,057,590"
"Feb 02, 2018",3.81,3.81,2.80,3.48,"336,739","7,711,050"
"Feb 01, 2018",4.23,5.81,3.68,3.82,"5,328,090","8,548,790"
"Jan 31, 2018",4.23,4.40,3.95,4.22,"155,119","8,549,140"
"Jan 30, 2018",5.52,5.64,4.21,4.22,"217,646","11,164,100"
"Jan 29, 2018",5.73,5.91,5.32,5.52,"227,754","11,588,200"
"Jan 28, 2018",5.95,6.57,5.67,5.75,"796,782","12,035,600"
"Jan 27, 2018",5.42,6.28,5.30,6.00,"408,878","10,969,200"
"Jan 26, 2018",5.32,5.96,4.84,5.31,"701,786","10,757,500"
"Jan 25, 2018",5.44,5.59,5.15,5.33,"133,445","10,994,500"
"Jan 24, 2018",5.33,5.68,5.00,5.35,"136,658","10,778,500"
"Jan 23, 2018",5.37,5.53,4.68,5.33,"257,318","10,862,500"
"Jan 22, 2018",6.04,6.61,4.79,5.39,"1,002,920","12,216,100"
"Jan 21, 2018",5.99,6.96,5.36,5.96,"2,971,740","12,111,200"
"Jan 20, 2018",5.56,6.15,5.43,6.03,"249,570","11,236,600"
"Jan 19, 2018",5.16,6.03,5.12,5.41,"357,188","10,436,300"
"Jan 18, 2018",5.00,5.87,4.75,5.32,"342,459","10,104,700"
"Jan 17, 2018",5.04,5.44,3.89,4.96,"274,864","10,192,200"
"Jan 16, 2018",6.82,7.76,4.38,5.15,"875,942","13,791,000"
"Jan 15, 2018",7.66,8.27,6.77,6.81,"593,394","15,489,600"
"Jan 14, 2018",8.70,10.47,7.61,7.66,"1,078,370","17,586,400"
"Jan 13, 2018",8.14,8.92,8.01,8.69,"607,666","16,457,700"
"Jan 12, 2018",7.78,8.80,7.41,8.15,"626,893","15,740,400"
"Jan 11, 2018",9.59,9.71,7.02,7.73,"1,006,920","19,396,600"
"Jan 10, 2018",8.76,10.58,7.26,10.01,"3,176,710","17,722,200"
"Jan 09, 2018",7.54,8.87,7.26,8.41,"1,278,100","15,243,900"
"Jan 08, 2018",8.12,8.31,6.63,7.56,"941,055","16,419,100"
"Jan 07, 2018",7.26,8.92,6.67,8.11,"2,378,280","14,682,000"
"Jan 06, 2018",6.81,7.49,6.33,7.48,"580,725","13,770,400"
"Jan 05, 2018",6.69,8.17,6.69,6.80,"1,971,520","13,520,500"
"Jan 04, 2018",6.39,7.80,6.18,6.68,"1,981,990","12,921,500"
"Jan 03, 2018",6.61,6.80,6.13,6.40,"572,472","13,374,000"
"Jan 02, 2018",6.52,7.31,6.26,6.64,"960,266","13,191,600"
"Jan 01, 2018",6.34,6.69,5.94,6.52,"766,746","12,812,700"
"Dec 31, 2017",5.87,6.56,5.58,6.43,"475,265","11,878,100"
"Dec 30, 2017",6.96,6.96,5.26,6.10,"564,832","14,075,800"
"Dec 29, 2017",6.35,7.40,6.15,6.91,"2,184,890","12,842,000"
"Dec 28, 2017",6.72,6.75,5.54,6.22,"762,929","13,600,900"
"Dec 27, 2017",6.65,7.33,6.16,6.74,"1,740,490","13,452,800"
"Dec 26, 2017",7.62,8.02,5.94,6.67,"1,631,090","15,409,900"
"Dec 25, 2017",6.79,8.44,6.72,7.38,"3,267,800","13,729,800"
"Dec 24, 2017",5.94,7.21,5.58,6.72,"3,190,140","12,020,500"
"Dec 23, 2017",4.95,6.91,4.80,5.88,"1,702,850","10,003,500"
"Dec 22, 2017",6.24,6.26,3.82,4.92,"694,134","12,618,200"
"Dec 21, 2017",6.44,7.36,5.72,6.35,"1,296,650","13,020,000"
"Dec 20, 2017",7.27,7.70,5.68,6.66,"1,369,420","14,705,500"
"Dec 19, 2017",6.03,8.98,5.77,7.63,"4,934,780","12,189,100"
"Dec 18, 2017",5.09,6.29,4.74,5.96,"1,360,890","10,297,100"
"Dec 17, 2017",4.67,5.60,4.56,5.08,"1,398,860","9,448,700"
"Dec 16, 2017",4.59,4.89,4.44,4.66,"639,972","9,278,720"
"Dec 15, 2017",4.70,4.91,4.12,4.51,"545,001","9,508,820"
"Dec 14, 2017",4.68,6.63,4.32,4.70,"1,942,320","9,469,000"
"Dec 13, 2017",4.14,5.56,4.14,4.68,"1,897,010","8,368,510"
"Dec 12, 2017",3.74,4.59,3.72,4.13,"725,387","7,566,930"
"Dec 11, 2017",3.59,4.23,3.45,3.76,"468,378","7,256,130"
"Dec 10, 2017",4.20,4.20,3.10,3.61,"360,816","8,487,920"
"Dec 09, 2017",4.37,4.68,3.77,4.18,"276,741","8,845,590"
"Dec 08, 2017",4.69,4.69,3.56,4.38,"794,310","9,477,180"
"Dec 07, 2017",4.83,6.05,4.22,4.92,"1,530,940","9,764,780"
"Dec 06, 2017",5.44,6.36,4.59,4.84,"1,558,390","11,002,000"
"Dec 05, 2017",5.48,5.83,5.23,5.50,"1,059,520","11,078,000"
"Dec 04, 2017",5.12,5.60,4.94,5.47,"781,343","10,343,000"
"Dec 03, 2017",4.33,5.30,4.20,5.30,"969,677","8,751,730"
"Dec 02, 2017",4.28,4.53,4.08,4.32,"341,906","8,662,120"
"Dec 01, 2017",4.11,4.50,3.87,4.29,"397,671","8,314,920"
"Nov 30, 2017",4.00,4.72,3.48,4.09,"446,287","8,084,910"
"Nov 29, 2017",5.51,5.69,3.73,3.98,"913,488","11,150,700"
"Nov 28, 2017",4.52,6.26,4.51,5.52,"3,565,100","9,139,540"
"Nov 27, 2017",4.01,4.93,3.91,4.51,"1,088,620","8,109,230"
"Nov 26, 2017",3.83,4.09,3.57,4.09,"283,499","7,748,830"
"Nov 25, 2017",3.78,3.92,3.63,3.83,"142,022","7,638,230"
"Nov 24, 2017",3.80,3.82,3.42,3.79,"174,352","7,687,000"
"Nov 23, 2017",3.61,4.24,3.33,3.86,"662,376","7,309,090"
"Nov 22, 2017",3.14,4.18,3.04,3.71,"1,029,410","6,354,480"
"Nov 21, 2017",3.05,3.38,2.79,3.13,"201,415","6,160,080"
"Nov 20, 2017",3.12,3.24,2.96,3.05,"145,142","6,307,080"
"Nov 19, 2017",3.31,3.43,3.03,3.11,"141,920","6,696,420"
"Nov 18, 2017",3.01,3.47,2.88,3.27,"259,316","6,082,450"
"Nov 17, 2017",3.20,3.31,2.93,3.02,"119,905","6,463,610"
"Nov 16, 2017",3.47,3.47,3.05,3.20,"217,224","7,016,010"
"Nov 15, 2017",3.39,3.52,3.07,3.45,"158,084","6,844,590"
"Nov 14, 2017",3.21,3.43,3.09,3.38,"103,796","6,497,030"
"Nov 13, 2017",2.91,3.30,2.90,3.23,"128,733","5,875,880"
"Nov 12, 2017",3.48,3.48,2.77,2.93,"220,508","7,033,970"
"Nov 11, 2017",3.43,3.67,3.30,3.48,"183,546","6,929,640"
"Nov 10, 2017",4.02,4.12,3.23,3.44,"253,946","8,137,960"
"Nov 09, 2017",3.81,4.13,3.62,4.01,"321,262","7,700,490"
"Nov 08, 2017",3.61,4.01,3.43,3.81,"253,730","7,300,830"
"Nov 07, 2017",3.66,3.83,3.44,3.62,"125,425","7,397,520"
"Nov 06, 2017",3.52,4.07,3.49,3.66,"233,632","7,113,310"
"Nov 05, 2017",3.69,3.96,3.47,3.51,"100,096","7,454,910"
"Nov 04, 2017",3.88,4.23,3.57,3.72,"196,486","7,843,180"
"Nov 03, 2017",3.97,4.17,3.33,3.89,"129,991","8,023,540"
"Nov 02, 2017",4.33,4.39,2.82,3.80,"312,575","8,755,860"
"Nov 01, 2017",4.75,4.82,4.29,4.37,"277,865","9,602,230"
"Oct 31, 2017",4.97,5.30,4.64,4.75,"410,508","10,053,500"
"Oct 30, 2017",4.93,7.20,4.90,5.04,"1,588,980","9,959,400"
"Oct 29, 2017",4.90,5.55,4.83,4.96,"387,227","9,913,570"
"Oct 28, 2017",4.84,5.18,4.34,5.03,"264,981","9,784,890"
"Oct 27, 2017",4.45,5.20,4.45,4.71,"280,053","8,998,650"
"Oct 26, 2017",4.73,4.75,4.13,4.45,"135,176","9,557,160"
"Oct 25, 2017",4.99,5.00,4.39,4.73,"142,599","10,092,800"
"Oct 24, 2017",4.67,5.44,4.51,4.99,"268,496","9,446,070"
"Oct 23, 2017",4.86,6.00,4.56,4.68,"236,876","9,827,530"
"Oct 22, 2017",4.78,5.31,4.59,4.87,"149,866","9,673,540"
"Oct 21, 2017",5.18,5.45,4.31,4.89,"149,922","10,479,400"
"Oct 20, 2017",5.70,5.85,4.99,5.12,"189,162","11,520,700"
"Oct 19, 2017",6.01,6.15,5.54,5.70,"167,997","12,141,900"
"Oct 18, 2017",5.66,6.03,5.25,5.87,"181,009","11,446,300"
"Oct 17, 2017",5.58,6.02,5.15,5.61,"313,138","11,273,200"
"Oct 16, 2017",6.09,6.26,5.34,5.58,"291,522","12,311,200"
"Oct 15, 2017",6.26,6.34,5.77,6.12,"281,524","12,655,400"
"Oct 14, 2017",6.88,7.26,6.03,6.19,"454,430","13,909,000"
"Oct 13, 2017",6.05,7.23,5.65,6.76,"968,872","12,220,600"
"Oct 12, 2017",6.97,8.01,5.40,6.04,"1,939,590","13,788,000"
"Oct 11, 2017",6.27,7.21,6.18,6.96,"474,786","12,394,800"
"Oct 10, 2017",5.93,6.73,5.52,6.27,"333,904","11,721,600"
"Oct 09, 2017",6.53,7.19,5.20,5.96,"676,631","12,909,500"
"Oct 08, 2017",7.72,7.90,6.29,6.49,"525,634","15,276,000"
"Oct 07, 2017",7.14,7.80,6.73,7.74,"395,561","14,111,800"
"Oct 06, 2017",7.00,7.22,6.70,7.03,"444,891","13,836,000"
"Oct 05, 2017",7.26,7.44,6.77,7.09,"689,420","14,358,300"
"Oct 04, 2017",6.77,7.60,6.70,7.34,"968,200","13,395,200"
"Oct 03, 2017",6.90,6.91,5.94,6.76,"653,258","13,634,200"
"Oct 02, 2017",6.59,7.17,5.70,6.82,"545,177","13,031,800"
"Oct 01, 2017",7.16,7.16,6.35,6.59,"736,490","14,156,700"
"Sep 30, 2017",5.52,7.39,5.40,7.39,"2,659,440","10,912,700"
"Sep 29, 2017",4.91,5.85,4.44,5.53,"829,539","9,693,950"
"Sep 28, 2017",4.54,5.22,4.40,4.91,"376,378","8,977,470"
"Sep 27, 2017",4.80,4.87,4.23,4.62,"433,513","9,475,990"
"Sep 26, 2017",5.21,5.32,4.60,4.73,"403,892","10,295,900"
"Sep 25, 2017",5.43,5.44,4.41,5.20,"952,651","10,734,300"
"Sep 24, 2017",4.08,5.60,4.08,5.44,"1,719,050","8,068,380"
"Sep 23, 2017",3.32,4.44,3.32,4.08,"647,409","6,557,230"
"Sep 22, 2017",2.95,4.19,2.95,3.26,"681,898","5,831,500"
"Sep 21, 2017",3.60,3.90,2.97,2.97,"190,244","7,115,020"
"Sep 20, 2017",3.88,4.37,3.55,3.62,"593,361","7,669,950"
"Sep 19, 2017",4.67,4.99,3.93,4.00,"588,961","9,226,630"
"Sep 18, 2017",4.94,5.71,4.60,4.68,"1,460,030","9,756,430"
"Sep 17, 2017",4.35,7.20,3.97,5.08,"6,228,010","8,582,100"
"Sep 16, 2017",2.66,4.87,2.58,4.20,"1,804,150","5,243,140"
"Sep 15, 2017",1.96,3.15,1.76,2.66,"947,712","3,874,130"
"Sep 14, 2017",2.36,2.49,1.79,1.95,"118,780","4,657,210"
"Sep 13, 2017",2.33,2.75,2.01,2.36,"816,195","4,597,400"
"Sep 12, 2017",2.65,2.72,2.26,2.34,"179,391","5,236,340"
"Sep 11, 2017",2.46,2.66,2.35,2.65,"93,231","4,847,700"
"Sep 10, 2017",2.77,2.77,2.28,2.46,"108,283","5,462,160"
"Sep 09, 2017",2.79,3.15,2.67,2.77,"150,869","5,509,850"
"Sep 08, 2017",3.01,3.17,2.62,2.79,"93,027","5,947,790"
"Sep 07, 2017",3.03,3.21,2.85,3.01,"131,673","5,982,120"
"Sep 06, 2017",3.23,3.38,2.90,3.04,"201,585","6,365,890"
"Sep 05, 2017",3.12,3.43,2.67,3.30,"128,657","6,151,040"
"Sep 04, 2017",3.08,3.75,2.64,3.03,"535,167","6,072,560"
"Sep 03, 2017",2.93,3.21,2.64,3.08,"259,334","5,787,540"
"Sep 02, 2017",2.69,3.70,2.36,2.93,"1,392,830","5,312,090"
"Sep 01, 2017",2.89,2.89,2.39,2.69,"245,260","5,692,550"
"Aug 31, 2017",3.21,3.22,2.60,2.88,"385,102","6,323,650"
"Aug 30, 2017",2.50,3.52,2.37,3.22,"1,120,310","4,935,820"
"Aug 29, 2017",1.98,2.96,1.92,2.57,"782,600","3,907,420"
"Aug 28, 2017",1.84,2.24,1.76,1.95,"236,972","3,633,660"
"Aug 27, 2017",1.78,1.89,1.67,1.86,"149,041","3,512,070"
"Aug 26, 2017",1.94,1.98,1.72,1.76,"192,871","3,816,810"
"Aug 25, 2017",2.12,2.44,1.88,1.90,"828,208","4,173,270"
"Aug 24, 2017",1.35,3.03,1.35,2.21,"3,515,280","2,669,000"
"Aug 23, 2017",1.41,1.52,1.32,1.38,"78,156","2,776,480"
"Aug 22, 2017",1.38,1.45,1.30,1.41,"49,548","2,718,480"
"Aug 21, 2017",1.40,1.75,1.35,1.37,"210,992","2,769,850"
"Aug 20, 2017",1.66,1.66,1.37,1.41,"146,915","3,269,490"
"Aug 19, 2017",2.05,2.05,1.35,1.67,"722,684","4,033,920"
"Aug 18, 2017",1.18,2.63,1.13,2.14,"2,041,660","2,322,220"
"Aug 17, 2017",1.32,1.37,1.06,1.18,"70,969","2,597,010"
"Aug 16, 2017",1.28,1.34,1.19,1.32,"31,229","2,518,800"
"Aug 15, 2017",1.32,1.38,1.19,1.25,"52,313","2,603,000"
"Aug 14, 2017",1.22,1.62,1.20,1.32,"153,702","2,408,110"
"Aug 13, 2017",1.21,1.30,1.16,1.22,"53,122","2,381,690"
"Aug 12, 2017",1.15,1.27,1.13,1.21,"44,628","2,266,510"
"Aug 11, 2017",1.08,1.27,1.02,1.15,"78,345","2,132,350"
"Aug 10, 2017",1.29,1.32,1.09,1.09,"102,049","2,533,010"
"Aug 09, 2017",1.42,1.62,1.26,1.28,"554,485","2,791,880"
"Aug 08, 2017",1.03,1.86,1.01,1.51,"550,723","2,022,020"
"Aug 07, 2017",1.03,1.12,1.01,1.03,"36,910","2,032,250"
"Aug 06, 2017",1.12,1.14,1.03,1.03,"23,803","2,208,260"
"Aug 05, 2017",0.989941,1.25,0.941185,1.12,"49,260","1,948,770"
"Aug 04, 2017",0.964803,1.02,0.933444,1.02,"15,601","1,899,260"
"Aug 03, 2017",0.962618,1.05,0.897999,0.969115,"29,526","1,894,910"
"Aug 02, 2017",0.938752,0.981839,0.844588,0.960901,"40,738","1,847,850"
"Aug 01, 2017",0.943616,0.982110,0.811973,0.938930,"27,745","1,857,380"
"Jul 31, 2017",1.03,1.04,0.837072,0.943160,"15,995","2,030,280"
"Jul 30, 2017",0.986256,1.07,0.922026,1.03,"14,297","1,941,180"
"Jul 29, 2017",0.981382,1.01,0.944058,0.986396,"7,552","1,931,530"
"Jul 28, 2017",1.07,1.09,0.960847,0.985117,"14,093","2,104,310"
"Jul 27, 2017",0.972052,1.07,0.939019,1.07,"7,949","1,912,480"
"Jul 26, 2017",0.998529,1.03,0.862963,0.960766,"13,563","1,964,010"
"Jul 25, 2017",1.19,1.27,0.943341,0.998076,"33,793","2,332,770"
"Jul 24, 2017",1.36,1.40,1.10,1.19,"71,107","2,677,850"
"Jul 23, 2017",1.61,1.65,1.27,1.37,"104,779","3,168,800"
"Jul 22, 2017",1.17,1.91,1.17,1.61,"581,049","2,307,690"
"Jul 21, 2017",1.07,1.50,0.909436,1.17,"218,879","2,104,950"
"Jul 20, 2017",0.834385,1.22,0.791140,1.05,"62,808","1,640,620"
"Jul 19, 2017",0.826533,0.936991,0.773139,0.836900,"29,807","1,625,140"
"Jul 18, 2017",0.811104,0.858529,0.724257,0.825220,"54,127","1,594,790"
"Jul 17, 2017",0.692348,0.828876,0.688368,0.809016,"28,523","1,361,290"
"Jul 16, 2017",0.740484,0.775578,0.670568,0.693116,"12,171","1,455,930"
"Jul 15, 2017",0.898975,0.913929,0.742716,0.742716,"28,291","1,767,550"
"Jul 14, 2017",1.03,1.03,0.806428,0.888096,"16,425","2,024,580"
"Jul 13, 2017",1.05,1.12,0.930487,1.03,"18,401","2,064,360"
"Jul 12, 2017",0.848716,1.15,0.826889,1.05,"21,373","1,668,640"
"Jul 11, 2017",0.937096,1.01,0.847724,0.852953,"28,293","1,842,360"
"Jul 10, 2017",1.23,1.24,0.913267,0.939096,"29,618","2,427,140"
"Jul 09, 2017",1.27,1.28,1.09,1.17,"74,636","2,505,850"
"Jul 08, 2017",1.28,1.30,1.15,1.27,"28,176","2,508,460"
"Jul 07, 2017",1.37,1.59,1.22,1.27,"124,958","2,697,130"
"Jul 06, 2017",1.33,1.68,1.15,1.37,"133,231","2,443,660"
"Jul 05, 2017",1.55,1.59,1.32,1.33,"72,710","2,830,980"
"Jul 04, 2017",1.68,1.73,1.39,1.55,"172,554","3,084,110"
"Jul 03, 2017",1.77,1.81,1.61,1.69,"92,780","3,236,220"
"Jul 02, 2017",2.02,2.11,1.57,1.77,"219,550","3,703,080"
"Jul 01, 2017",1.96,2.63,1.85,2.04,"523,318","3,591,210"
"Jun 30, 2017",2.18,2.43,1.51,1.96,"349,114","3,991,970"
"Jun 29, 2017",2.52,2.70,1.98,2.17,"369,736","4,612,160"
"Jun 28, 2017",2.27,2.91,2.24,2.52,"1,386,750","4,152,650"
"Jun 27, 2017",1.05,2.31,1.05,2.18,"618,146","1,917,920"
