Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",1.43,1.48,1.37,1.38,"7,518,250","191,389,000"
"Mar 24, 2018",1.37,1.54,1.31,1.44,"10,285,100","183,364,000"
"Mar 23, 2018",1.29,1.35,1.15,1.35,"6,839,930","172,790,000"
"Mar 22, 2018",1.32,1.43,1.25,1.29,"5,362,740","177,080,000"
"Mar 21, 2018",1.26,1.46,1.25,1.32,"8,149,520","169,346,000"
"Mar 20, 2018",1.15,1.30,1.13,1.26,"8,346,810","153,979,000"
"Mar 19, 2018",0.990434,1.14,0.979870,1.14,"5,494,960","132,850,000"
"Mar 18, 2018",1.03,1.03,0.813034,0.995171,"4,480,290","137,722,000"
"Mar 17, 2018",1.11,1.13,1.02,1.03,"3,591,130","149,201,000"
"Mar 16, 2018",1.12,1.15,1.07,1.11,"4,321,180","150,011,000"
"Mar 15, 2018",1.13,1.14,1.00,1.12,"5,164,800","151,217,000"
"Mar 14, 2018",1.29,1.36,1.12,1.13,"5,668,850","172,478,000"
"Mar 13, 2018",1.25,1.52,1.24,1.28,"6,610,550","167,987,000"
"Mar 12, 2018",1.31,1.39,1.23,1.26,"4,417,600","175,120,000"
"Mar 11, 2018",1.21,1.33,1.16,1.31,"5,228,620","162,314,000"
"Mar 10, 2018",1.30,1.36,1.21,1.22,"5,126,940","174,455,000"
"Mar 09, 2018",1.37,1.38,1.13,1.29,"4,859,010","183,843,000"
"Mar 08, 2018",1.52,1.54,1.37,1.38,"3,250,810","203,803,000"
"Mar 07, 2018",1.75,1.84,1.42,1.52,"6,734,160","234,822,000"
"Mar 06, 2018",2.01,2.09,1.74,1.75,"8,111,770","269,240,000"
"Mar 05, 2018",1.83,2.16,1.82,2.02,"17,030,600","245,216,000"
"Mar 04, 2018",1.82,1.86,1.77,1.83,"5,308,880","243,609,000"
"Mar 03, 2018",1.81,1.82,1.75,1.82,"5,753,160","243,173,000"
"Mar 02, 2018",1.89,1.91,1.79,1.82,"5,090,810","253,003,000"
"Mar 01, 2018",1.73,1.94,1.72,1.89,"3,383,640","231,807,000"
"Feb 28, 2018",1.99,2.00,1.73,1.73,"3,686,690","266,567,000"
"Feb 27, 2018",2.01,2.04,1.94,2.01,"3,529,410","270,244,000"
"Feb 26, 2018",1.95,2.09,1.91,2.02,"2,570,910","261,901,000"
"Feb 25, 2018",1.98,2.00,1.89,1.95,"2,605,200","265,833,000"
"Feb 24, 2018",2.13,2.18,1.93,1.98,"3,204,390","286,018,000"
"Feb 23, 2018",2.08,2.22,2.02,2.14,"3,038,190","278,768,000"
"Feb 22, 2018",2.17,2.38,2.06,2.07,"4,092,330","291,399,000"
"Feb 21, 2018",2.28,2.54,2.11,2.16,"7,569,490","305,871,000"
"Feb 20, 2018",2.59,2.61,2.23,2.27,"6,848,230","347,377,000"
"Feb 19, 2018",2.57,2.66,2.56,2.58,"4,760,120","344,490,000"
"Feb 18, 2018",2.92,2.92,2.57,2.58,"5,362,450","391,987,000"
"Feb 17, 2018",2.93,2.96,2.83,2.92,"6,526,550","392,882,000"
"Feb 16, 2018",2.74,2.99,2.74,2.93,"6,878,010","367,724,000"
"Feb 15, 2018",2.70,2.82,2.56,2.76,"10,666,700","361,966,000"
"Feb 14, 2018",2.63,2.79,2.62,2.70,"9,502,420","353,425,000"
"Feb 13, 2018",2.82,2.87,2.58,2.64,"11,222,400","377,790,000"
"Feb 12, 2018",2.82,3.03,2.78,2.83,"10,051,900","377,801,000"
"Feb 11, 2018",3.20,3.20,2.79,2.79,"10,079,100","429,807,000"
"Feb 10, 2018",3.36,3.55,3.04,3.21,"10,380,200","450,627,000"
"Feb 09, 2018",3.10,3.41,2.93,3.39,"3,555,750","416,052,000"
"Feb 08, 2018",2.80,3.24,2.80,3.10,"6,316,880","375,791,000"
"Feb 07, 2018",3.06,3.36,2.80,2.80,"6,382,420","410,367,000"
"Feb 06, 2018",2.58,3.13,2.04,3.07,"11,161,400","345,984,000"
"Feb 05, 2018",3.31,3.37,2.42,2.58,"7,429,440","443,875,000"
"Feb 04, 2018",3.89,4.06,3.14,3.35,"11,530,400","521,605,000"
"Feb 03, 2018",3.43,3.92,3.11,3.89,"8,116,920","460,091,000"
"Feb 02, 2018",3.54,3.65,2.70,3.42,"12,133,700","474,310,000"
"Feb 01, 2018",4.09,4.36,3.26,3.54,"16,993,000","549,124,000"
"Jan 31, 2018",3.66,4.33,3.33,4.11,"24,615,000","491,458,000"
"Jan 30, 2018",3.96,4.21,3.46,3.60,"18,877,600","531,263,000"
"Jan 29, 2018",3.93,4.04,3.61,3.94,"28,884,900","526,492,000"
"Jan 28, 2018",3.80,4.08,3.78,3.93,"19,506,000","509,491,000"
"Jan 27, 2018",3.76,4.12,3.67,3.79,"14,706,400","504,560,000"
"Jan 26, 2018",3.39,3.76,3.19,3.76,"25,988,700","454,976,000"
"Jan 25, 2018",3.41,3.67,3.33,3.40,"43,859,700","457,994,000"
"Jan 24, 2018",3.38,3.54,3.25,3.36,"37,875,300","452,869,000"
"Jan 23, 2018",3.46,3.53,2.97,3.37,"34,745,900","464,485,000"
"Jan 22, 2018",3.67,4.08,3.10,3.46,"39,804,000","492,218,000"
"Jan 21, 2018",4.44,4.44,3.49,3.63,"43,106,800","595,237,000"
"Jan 20, 2018",4.05,4.67,4.05,4.44,"36,904,700","543,672,000"
"Jan 19, 2018",3.22,4.36,3.14,4.01,"55,232,300","432,118,000"
"Jan 18, 2018",3.21,3.52,2.88,3.25,"25,672,400","431,197,000"
"Jan 17, 2018",3.42,3.48,2.30,3.19,"21,311,900","458,356,000"
"Jan 16, 2018",4.64,4.64,2.78,3.44,"25,537,400","622,180,000"
"Jan 15, 2018",4.17,5.13,4.12,4.65,"34,848,700","559,132,000"
"Jan 14, 2018",4.50,4.59,3.98,4.18,"20,195,300","603,921,000"
"Jan 13, 2018",4.63,4.69,4.44,4.49,"25,910,900","620,675,000"
"Jan 12, 2018",4.20,4.84,4.00,4.63,"22,352,600","562,806,000"
"Jan 11, 2018",5.17,5.24,3.89,4.20,"20,044,800","693,617,000"
"Jan 10, 2018",5.69,5.72,4.52,5.20,"26,237,500","762,549,000"
"Jan 09, 2018",4.82,6.00,4.77,5.74,"37,437,600","646,479,000"
"Jan 08, 2018",5.08,5.72,3.87,4.80,"41,314,100","681,871,000"
"Jan 07, 2018",3.97,5.32,3.97,5.10,"61,758,700","532,028,000"
"Jan 06, 2018",3.17,3.98,3.14,3.98,"34,950,900","425,567,000"
"Jan 05, 2018",3.36,3.75,3.03,3.17,"31,078,100","450,247,000"
"Jan 04, 2018",3.59,3.60,3.13,3.41,"23,788,600","481,817,000"
"Jan 03, 2018",3.42,3.63,3.05,3.59,"24,648,600","458,889,000"
"Jan 02, 2018",3.08,3.63,3.06,3.42,"27,472,100","412,475,000"
"Jan 01, 2018",2.62,3.17,2.57,3.06,"22,476,900","351,759,000"
"Dec 31, 2017",2.23,2.64,2.22,2.62,"14,615,300","298,681,000"
"Dec 30, 2017",2.49,2.49,2.12,2.25,"10,866,200","334,477,000"
"Dec 29, 2017",2.44,2.51,2.27,2.51,"10,801,600","326,988,000"
"Dec 28, 2017",2.39,2.45,2.17,2.42,"11,990,700","321,090,000"
"Dec 27, 2017",2.52,2.55,2.30,2.40,"10,329,300","338,676,000"
"Dec 26, 2017",2.41,2.72,2.35,2.52,"12,686,800","323,811,000"
"Dec 25, 2017",2.37,2.68,2.33,2.41,"12,568,500","318,226,000"
"Dec 24, 2017",2.25,2.37,1.97,2.37,"11,938,200","302,230,000"
"Dec 23, 2017",2.12,2.50,2.06,2.25,"11,332,800","284,090,000"
"Dec 22, 2017",2.56,2.61,1.65,2.15,"13,412,200","342,930,000"
"Dec 21, 2017",2.61,2.81,2.42,2.59,"16,736,300","349,610,000"
"Dec 20, 2017",2.76,2.86,2.41,2.61,"17,779,200","370,458,000"
"Dec 19, 2017",2.90,3.10,2.48,2.72,"25,007,500","388,760,000"
"Dec 18, 2017",2.29,2.89,2.15,2.88,"28,833,800","307,787,000"
"Dec 17, 2017",1.74,2.56,1.72,2.28,"24,405,200","232,920,000"
"Dec 16, 2017",1.59,1.77,1.59,1.73,"11,477,300","213,736,000"
"Dec 15, 2017",1.67,1.75,1.39,1.58,"12,895,600","223,367,000"
"Dec 14, 2017",1.29,1.78,1.29,1.66,"20,394,800","173,331,000"
"Dec 13, 2017",1.32,1.40,1.22,1.29,"10,077,300","176,673,000"
"Dec 12, 2017",1.29,1.40,1.19,1.32,"12,071,700","172,363,000"
"Dec 11, 2017",1.21,1.37,1.21,1.28,"12,061,600","162,714,000"
"Dec 10, 2017",1.32,1.36,1.17,1.22,"11,857,300","176,624,000"
"Dec 09, 2017",1.34,1.42,1.25,1.31,"11,555,400","179,294,000"
"Dec 08, 2017",1.30,1.38,1.17,1.34,"15,028,900","174,622,000"
"Dec 07, 2017",1.51,1.62,1.26,1.30,"17,081,800","202,709,000"
"Dec 06, 2017",1.53,1.60,1.30,1.52,"18,240,500","204,563,000"
"Dec 05, 2017",1.29,1.56,1.26,1.53,"21,937,700","173,080,000"
"Dec 04, 2017",1.16,1.39,1.16,1.29,"17,105,500","155,822,000"
"Dec 03, 2017",1.09,1.31,1.08,1.16,"14,703,900","146,838,000"
"Dec 02, 2017",1.10,1.13,1.05,1.08,"6,350,120","147,882,000"
"Dec 01, 2017",1.09,1.11,1.02,1.10,"5,718,590","146,004,000"
"Nov 30, 2017",1.06,1.12,0.966658,1.09,"6,932,710","141,810,000"
"Nov 29, 2017",1.19,1.24,0.984371,1.04,"7,987,200","160,282,000"
"Nov 28, 2017",1.25,1.27,1.18,1.19,"6,956,870","167,139,000"
"Nov 27, 2017",1.34,1.34,1.23,1.25,"7,203,350","180,129,000"
"Nov 26, 2017",1.13,1.41,1.13,1.34,"8,519,500","150,965,000"
"Nov 25, 2017",1.10,1.15,1.09,1.13,"4,326,530","147,403,000"
"Nov 24, 2017",1.10,1.13,1.03,1.10,"3,881,350","147,208,000"
"Nov 23, 2017",1.11,1.13,1.08,1.09,"3,389,830","149,478,000"
"Nov 22, 2017",1.08,1.13,1.07,1.11,"2,462,030","144,697,000"
"Nov 21, 2017",1.10,1.11,1.06,1.08,"2,273,720","146,934,000"
"Nov 20, 2017",1.11,1.13,1.09,1.10,"2,329,790","148,571,000"
"Nov 19, 2017",1.12,1.16,1.10,1.11,"1,865,000","149,694,000"
"Nov 18, 2017",1.07,1.13,1.07,1.13,"2,322,650","143,704,000"
"Nov 17, 2017",1.10,1.13,1.06,1.08,"2,472,740","146,901,000"
"Nov 16, 2017",1.06,1.10,1.04,1.09,"2,711,870","142,054,000"
"Nov 15, 2017",1.10,1.11,1.05,1.05,"2,040,950","146,985,000"
"Nov 14, 2017",1.10,1.13,1.07,1.09,"2,103,320","147,259,000"
"Nov 13, 2017",1.03,1.16,1.03,1.10,"2,533,900","138,259,000"
"Nov 12, 2017",1.15,1.15,1.01,1.03,"4,044,360","154,734,000"
"Nov 11, 2017",1.18,1.26,1.14,1.16,"3,341,260","158,005,000"
"Nov 10, 2017",1.16,1.28,1.12,1.19,"4,331,320","156,232,000"
"Nov 09, 2017",1.08,1.17,1.07,1.16,"3,713,980","145,512,000"
"Nov 08, 2017",1.02,1.11,1.01,1.10,"3,162,230","136,394,000"
"Nov 07, 2017",0.977155,1.02,0.968491,1.01,"1,827,370","131,068,000"
"Nov 06, 2017",0.987037,1.01,0.968645,0.975155,"1,641,020","132,394,000"
"Nov 05, 2017",1.05,1.05,0.977584,0.992220,"1,471,530","140,524,000"
"Nov 04, 2017",0.991559,1.06,0.968152,1.05,"2,074,870","133,000,000"
"Nov 03, 2017",0.954365,1.07,0.943979,0.994894,"3,303,530","128,011,000"
"Nov 02, 2017",0.976271,0.976271,0.923113,0.955285,"2,677,130","130,950,000"
