Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.243864,0.245071,0.217737,0.230631,"321,931","37,957,800"
"Mar 22, 2018",0.260065,0.260065,0.231771,0.243869,"406,366","40,428,600"
"Mar 21, 2018",0.259931,0.290751,0.252207,0.260542,"786,262","40,356,600"
"Mar 20, 2018",0.239926,0.278100,0.228642,0.258675,"650,730","37,203,200"
"Mar 19, 2018",0.231247,0.249015,0.218672,0.239985,"350,264","35,811,500"
"Mar 18, 2018",0.237326,0.237326,0.181326,0.235325,"614,069","36,706,100"
"Mar 17, 2018",0.258023,0.277275,0.232834,0.236825,"784,991","39,856,600"
"Mar 16, 2018",0.249309,0.274050,0.239773,0.258925,"604,358","38,462,000"
"Mar 15, 2018",0.251692,0.266243,0.222116,0.248370,"830,399","38,778,100"
"Mar 14, 2018",0.284837,0.322368,0.248572,0.252207,"1,087,530","43,829,100"
"Mar 13, 2018",0.286297,0.306812,0.268283,0.283630,"851,208","43,995,700"
"Mar 12, 2018",0.315344,0.321974,0.275277,0.292092,"436,210","48,396,300"
"Mar 11, 2018",0.302158,0.322635,0.282619,0.316613,"596,782","46,311,600"
"Mar 10, 2018",0.326330,0.346810,0.299470,0.300514,"511,032","49,951,000"
"Mar 09, 2018",0.358528,0.361457,0.299061,0.327338,"848,512","54,808,300"
"Mar 08, 2018",0.404460,0.430821,0.359847,0.360220,"2,071,790","61,748,100"
"Mar 07, 2018",0.475125,0.493357,0.383284,0.404528,"1,326,430","72,439,200"
"Mar 06, 2018",0.498998,0.526646,0.449618,0.487298,"2,063,340","75,979,100"
"Mar 05, 2018",0.520421,0.520439,0.454437,0.497676,"2,480,740","79,137,500"
"Mar 04, 2018",0.475276,0.530527,0.423405,0.530527,"1,477,280","72,177,900"
"Mar 03, 2018",0.500932,0.524444,0.468601,0.474878,"1,653,780","75,974,000"
"Mar 02, 2018",0.470342,0.515570,0.448846,0.505488,"3,208,860","71,240,300"
"Mar 01, 2018",0.378873,0.503718,0.376886,0.473086,"13,083,300","57,310,100"
"Feb 28, 2018",0.384262,0.408626,0.354054,0.378739,"1,279,310","58,048,700"
"Feb 27, 2018",0.366712,0.387883,0.354687,0.387155,"676,107","55,325,100"
"Feb 26, 2018",0.347564,0.372823,0.337767,0.362774,"565,869","52,366,100"
"Feb 25, 2018",0.341711,0.349605,0.312109,0.345019,"396,235","51,418,600"
"Feb 24, 2018",0.363309,0.374205,0.316776,0.340541,"584,082","54,595,800"
"Feb 23, 2018",0.296982,0.385118,0.289603,0.385118,"753,101","44,568,600"
"Feb 22, 2018",0.326601,0.350447,0.297259,0.297259,"380,358","48,949,000"
