Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",0.036759,0.037626,0.035674,0.036011,"4,911,420","22,055,600"
"Mar 24, 2018",0.036572,0.040806,0.035840,0.037427,"5,138,510","21,943,300"
"Mar 23, 2018",0.035106,0.036367,0.032271,0.036367,"4,887,650","21,063,800"
"Mar 22, 2018",0.036332,0.038744,0.032865,0.035040,"5,010,500","21,799,100"
"Mar 21, 2018",0.034451,0.042069,0.034266,0.036630,"5,521,760","20,670,800"
"Mar 20, 2018",0.034700,0.034700,0.030573,0.034245,"5,512,180","20,820,100"
"Mar 19, 2018",0.031270,0.038239,0.029705,0.034284,"5,298,900","18,762,200"
"Mar 18, 2018",0.032789,0.032933,0.027020,0.031211,"4,850,500","19,673,200"
"Mar 17, 2018",0.034869,0.035824,0.032019,0.032776,"4,469,240","20,921,400"
"Mar 16, 2018",0.033102,0.037472,0.031713,0.034858,"4,908,460","19,861,500"
"Mar 15, 2018",0.035391,0.036130,0.031344,0.033029,"4,890,140","21,234,700"
"Mar 14, 2018",0.037223,0.038013,0.035143,0.035471,"5,053,460","22,333,900"
"Mar 13, 2018",0.035890,0.038129,0.035083,0.037189,"2,400,160","21,534,000"
"Mar 12, 2018",0.038461,0.038994,0.034627,0.035942,"9,072,820","23,076,300"
"Mar 11, 2018",0.034214,0.038748,0.033397,0.038072,"3,960,060","20,528,100"
"Mar 10, 2018",0.036485,0.039092,0.034414,0.034414,"3,895,890","21,891,000"
"Mar 09, 2018",0.038182,0.041608,0.032683,0.037265,"5,305,480","22,909,300"
"Mar 08, 2018",0.041487,0.045262,0.037638,0.037922,"5,027,780","24,892,300"
"Mar 07, 2018",0.050255,0.051178,0.038192,0.041578,"5,294,670",-
"Mar 06, 2018",0.057969,0.058143,0.050024,0.050062,"6,955,420",-
"Mar 05, 2018",0.062680,0.063213,0.056813,0.058013,"9,162,980",-
"Mar 04, 2018",0.063166,0.063433,0.061004,0.062785,"6,125,400",-
"Mar 03, 2018",0.063261,0.064615,0.062299,0.063230,"6,423,600",-
"Mar 02, 2018",0.065400,0.069795,0.061283,0.063213,"8,510,250",-
"Mar 01, 2018",0.061972,0.066686,0.060469,0.065233,"6,552,570",-
"Feb 28, 2018",0.066339,0.067308,0.062205,0.062205,"6,612,210",-
"Feb 27, 2018",0.068225,0.072301,0.064409,0.066077,"7,238,730",-
"Feb 26, 2018",0.065928,0.073387,0.063525,0.068050,"6,262,910",-
"Feb 25, 2018",0.069047,0.069223,0.065224,0.065876,"6,240,760",-
"Feb 24, 2018",0.071150,0.073786,0.067443,0.069157,"6,692,480",-
"Feb 23, 2018",0.068555,0.073044,0.067465,0.071202,"7,299,670",-
"Feb 22, 2018",0.071866,0.079944,0.068036,0.068449,"7,571,420",-
"Feb 21, 2018",0.079653,0.079653,0.070654,0.071981,"7,239,450",-
"Feb 20, 2018",0.089395,0.090036,0.079273,0.079788,"7,892,450",-
"Feb 19, 2018",0.084936,0.091478,0.083574,0.089296,"9,473,940",-
"Feb 18, 2018",0.087504,0.098065,0.085113,0.085113,"12,786,200",-
"Feb 17, 2018",0.077598,0.087476,0.076774,0.087476,"8,468,080",-
"Feb 16, 2018",0.075096,0.078208,0.073598,0.077658,"7,877,440",-
"Feb 15, 2018",0.071483,0.077448,0.071449,0.075083,"8,073,340",-
"Feb 14, 2018",0.068656,0.075206,0.067591,0.071423,"8,520,290",-
"Feb 13, 2018",0.071740,0.076453,0.068551,0.068810,"7,853,130",-
"Feb 12, 2018",0.070802,0.073260,0.069409,0.071909,"6,846,620",-
"Feb 11, 2018",0.069702,0.075079,0.063280,0.070483,"7,536,620",-
"Feb 10, 2018",0.074709,0.077822,0.068247,0.069812,"8,073,500",-
"Feb 09, 2018",0.067337,0.077080,0.062896,0.074794,"16,896,700",-
"Feb 08, 2018",0.070636,0.092279,0.066131,0.067482,"20,064,900",-
"Feb 07, 2018",0.064041,0.093836,0.056041,0.070631,"20,268,100",-
"Feb 06, 2018",0.055699,0.064707,0.045033,0.064342,"15,080,000",-
"Feb 05, 2018",0.085298,0.086299,0.052832,0.055123,"13,223,200",-
"Feb 04, 2018",0.099082,0.103330,0.081624,0.085895,"20,485,000",-
"Feb 03, 2018",0.101164,0.109508,0.090126,0.099179,"21,363,900",-
"Feb 02, 2018",0.091444,0.118304,0.076407,0.100989,"9,770,960",-
"Feb 01, 2018",0.111188,0.119233,0.085958,0.091275,"14,571,200",-
"Jan 31, 2018",0.109245,0.119809,0.097404,0.110909,"13,940,000",-
"Jan 30, 2018",0.135802,0.135963,0.106004,0.108075,"3,722,560",-
"Jan 29, 2018",0.143886,0.147148,0.118942,0.135756,"5,472,550",-
"Jan 28, 2018",0.144923,0.166941,0.135277,0.142693,"6,886,480",-
"Jan 27, 2018",0.140381,0.148028,0.133046,0.144115,"5,877,600",-
"Jan 26, 2018",0.166205,0.167652,0.128220,0.141036,"6,707,780",-
"Jan 25, 2018",0.160758,0.173417,0.149558,0.166637,"10,037,600",-
