Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",12.50,12.54,11.40,12.03,"23,560,700","1,288,720,000"
"Mar 22, 2018",13.44,13.71,12.04,12.50,"24,653,700","1,385,640,000"
"Mar 21, 2018",13.61,14.14,13.15,13.38,"23,682,800","1,401,970,000"
"Mar 20, 2018",12.89,14.11,12.43,13.63,"26,259,400","1,328,050,000"
"Mar 19, 2018",12.26,13.07,11.93,12.74,"25,454,300","1,261,830,000"
"Mar 18, 2018",12.25,12.37,10.19,12.25,"26,947,100","1,260,670,000"
"Mar 17, 2018",13.12,13.18,11.88,12.17,"20,557,200","1,349,570,000"
"Mar 16, 2018",13.23,14.30,12.34,13.10,"30,103,400","1,360,300,000"
"Mar 15, 2018",11.73,13.63,10.60,13.35,"35,374,200","1,205,890,000"
"Mar 14, 2018",14.01,14.26,11.35,11.73,"22,923,900","1,440,370,000"
"Mar 13, 2018",14.10,14.66,13.63,14.03,"16,983,600","1,449,250,000"
"Mar 12, 2018",14.84,15.20,13.86,14.16,"21,335,400","1,524,490,000"
"Mar 11, 2018",14.16,15.10,13.59,14.92,"20,241,700","1,453,750,000"
"Mar 10, 2018",15.44,15.80,14.13,14.20,"17,287,800","1,584,870,000"
"Mar 09, 2018",14.93,15.62,13.82,15.49,"30,244,000","1,532,040,000"
"Mar 08, 2018",15.59,17.40,14.82,15.07,"36,030,300","1,599,530,000"
"Mar 07, 2018",16.83,17.40,14.61,15.62,"34,286,700","1,725,680,000"
"Mar 06, 2018",18.42,18.42,16.42,16.90,"27,948,900","1,888,330,000"
"Mar 05, 2018",19.00,19.04,18.41,18.46,"29,052,100","1,946,670,000"
"Mar 04, 2018",18.90,18.95,18.20,18.92,"23,813,000","1,936,630,000"
"Mar 03, 2018",19.31,19.53,18.55,18.87,"28,552,100","1,977,910,000"
"Mar 02, 2018",20.08,20.33,18.87,19.21,"34,726,800","2,056,140,000"
"Mar 01, 2018",18.34,21.43,17.76,20.12,"68,475,900","1,877,400,000"
"Feb 28, 2018",20.09,20.23,18.34,18.34,"38,836,200","2,055,330,000"
"Feb 27, 2018",20.69,20.73,19.64,20.12,"40,475,100","2,115,900,000"
"Feb 26, 2018",19.95,21.25,19.35,20.65,"43,196,600","2,039,330,000"
"Feb 25, 2018",20.81,20.90,19.38,20.01,"38,564,100","2,127,040,000"
"Feb 24, 2018",22.48,23.01,20.08,20.82,"49,191,700","2,297,060,000"
"Feb 23, 2018",21.39,23.52,20.50,22.60,"67,264,300","2,184,640,000"
"Feb 22, 2018",22.36,24.33,20.51,21.48,"85,276,200","2,283,080,000"
