Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",1.16,1.19,1.08,1.09,"8,635","10,788,800"
"Mar 22, 2018",1.19,1.21,1.09,1.16,"16,962","11,053,700"
"Mar 21, 2018",1.17,1.37,1.06,1.19,"43,445","10,880,900"
"Mar 20, 2018",1.11,1.21,1.02,1.17,"32,336","10,316,000"
"Mar 19, 2018",1.02,1.18,0.946824,1.10,"27,542","9,453,100"
"Mar 18, 2018",1.06,1.06,0.809377,0.990377,"36,329","9,830,950"
"Mar 17, 2018",1.06,1.09,0.957915,1.06,"38,909","9,872,040"
"Mar 16, 2018",1.02,1.17,1.01,1.06,"32,708","9,483,900"
"Mar 15, 2018",1.22,1.23,0.968040,1.03,"26,953","11,330,500"
"Mar 14, 2018",1.28,1.31,1.11,1.22,"53,538","11,866,400"
"Mar 13, 2018",1.09,1.29,1.08,1.28,"25,509","10,139,400"
"Mar 12, 2018",1.15,1.22,1.04,1.09,"32,752","10,697,900"
"Mar 11, 2018",1.10,1.22,1.04,1.15,"6,454","10,235,000"
"Mar 10, 2018",1.25,1.27,1.08,1.10,"17,290","11,588,000"
"Mar 09, 2018",1.19,1.25,1.07,1.25,"23,680","11,101,500"
"Mar 08, 2018",1.21,1.35,1.16,1.20,"42,108","11,229,400"
"Mar 07, 2018",1.29,1.35,1.12,1.21,"72,157","12,000,200"
"Mar 06, 2018",1.30,1.35,1.20,1.29,"21,002","12,038,800"
"Mar 05, 2018",1.36,1.40,1.30,1.30,"11,328","12,637,400"
"Mar 04, 2018",1.36,1.41,1.29,1.36,"32,362","12,644,400"
"Mar 03, 2018",1.31,1.57,1.27,1.36,"57,281","12,150,000"
"Mar 02, 2018",1.39,2.50,1.30,1.31,"32,611","12,963,000"
"Mar 01, 2018",1.27,1.61,1.27,1.40,"90,995","11,811,800"
"Feb 28, 2018",1.50,1.60,1.23,1.27,"81,529","13,918,900"
"Feb 27, 2018",1.24,1.53,1.23,1.51,"64,527","11,552,100"
"Feb 26, 2018",1.36,1.45,1.14,1.24,"51,525","12,620,200"
"Feb 25, 2018",1.48,1.53,1.31,1.36,"26,175","13,773,900"
"Feb 24, 2018",1.48,1.52,1.37,1.48,"19,266","13,777,000"
"Feb 23, 2018",1.44,1.58,1.41,1.48,"15,466","13,340,200"
"Feb 22, 2018",1.48,1.56,1.35,1.44,"14,894","13,707,700"
