Date,Open,High,Low,Close,Volume,Market Cap
"Mar 25, 2018",6.19,6.37,5.97,6.17,"106,276","8,300,070"
"Mar 24, 2018",6.43,6.73,6.27,6.28,"67,664","8,578,050"
"Mar 23, 2018",6.78,7.10,6.08,6.34,"91,051","8,994,100"
"Mar 22, 2018",6.72,7.65,6.54,6.78,"116,622","8,869,450"
"Mar 21, 2018",6.84,7.67,6.43,6.86,"181,402","8,979,110"
"Mar 20, 2018",6.30,6.73,6.04,6.52,"146,614","8,227,040"
"Mar 19, 2018",6.31,6.57,5.79,6.23,"163,794","8,188,020"
"Mar 18, 2018",6.18,6.24,5.16,6.10,"147,357","7,977,200"
"Mar 17, 2018",6.39,6.54,5.73,5.92,"82,423","8,212,660"
"Mar 16, 2018",6.61,7.46,5.68,6.38,"237,509","8,444,940"
"Mar 15, 2018",6.83,7.13,6.14,6.61,"153,631","8,681,830"
"Mar 14, 2018",7.93,8.36,6.86,6.90,"120,722","10,031,200"
"Mar 13, 2018",8.01,8.60,7.82,7.97,"116,121","10,068,700"
"Mar 12, 2018",8.70,9.77,7.86,8.05,"125,491","10,876,800"
"Mar 11, 2018",8.90,9.14,8.22,8.73,"105,055","11,075,100"
"Mar 10, 2018",8.90,9.84,8.55,8.94,"147,150","11,013,200"
"Mar 09, 2018",9.70,9.78,7.23,8.90,"284,935","11,931,600"
"Mar 08, 2018",9.62,10.95,8.97,9.56,"127,484","11,770,700"
"Mar 07, 2018",11.38,11.82,8.78,9.64,"242,258","13,834,700"
"Mar 06, 2018",11.96,12.46,10.42,11.39,"323,077","14,458,900"
"Mar 05, 2018",12.59,12.81,11.66,11.99,"209,082","15,138,600"
"Mar 04, 2018",13.64,13.64,11.72,12.61,"223,901","16,309,600"
"Mar 03, 2018",12.29,14.53,12.29,13.52,"356,894","14,611,100"
"Mar 02, 2018",14.94,15.31,11.61,12.26,"419,644","17,653,000"
"Mar 01, 2018",12.81,15.08,12.71,14.98,"181,065","15,047,900"
"Feb 28, 2018",12.62,14.06,12.22,12.63,"180,227","14,741,800"
"Feb 27, 2018",12.17,12.87,11.99,12.64,"131,890","14,130,100"
"Feb 26, 2018",11.40,12.73,10.84,12.14,"144,639","13,152,900"
"Feb 25, 2018",11.04,11.52,10.41,11.38,"84,615","12,661,400"
"Feb 24, 2018",12.54,12.82,10.92,11.05,"62,002","14,300,500"
"Feb 23, 2018",10.83,12.71,10.65,12.56,"129,096","12,273,900"
"Feb 22, 2018",12.25,12.91,10.56,10.77,"93,364","13,797,200"
"Feb 21, 2018",13.86,14.03,11.83,12.26,"175,448","15,520,100"
"Feb 20, 2018",14.52,15.23,13.29,13.88,"243,259","16,159,300"
"Feb 19, 2018",14.54,15.01,13.10,14.29,"379,585","16,086,800"
"Feb 18, 2018",12.34,15.46,10.62,14.61,"488,445","12,548,200"
"Feb 17, 2018",13.36,13.55,9.74,12.35,"538,894","13,588,000"
