Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.096702,0.096711,0.090945,0.092356,"33,975","26,953,200"
"Mar 22, 2018",0.094033,0.096686,0.093513,0.096546,"41,675","26,224,400"
"Mar 21, 2018",0.096520,0.097498,0.093319,0.093847,"13,942","26,898,700"
"Mar 20, 2018",0.098829,0.099579,0.095152,0.096396,"13,879","27,522,200"
"Mar 19, 2018",0.098727,0.100606,0.091832,0.098580,"39,647","27,460,500"
"Mar 18, 2018",0.102847,0.104948,0.095760,0.099023,"44,676","28,606,300"
"Mar 17, 2018",0.102187,0.105870,0.101100,0.102974,"17,979","28,401,300"
"Mar 16, 2018",0.105746,0.106279,0.102100,0.102100,"17,579","29,390,600"
"Mar 15, 2018",0.102909,0.106410,0.098969,0.105817,"24,468","28,608,000"
"Mar 14, 2018",0.105776,0.106447,0.100769,0.102898,"39,529","29,394,500"
"Mar 13, 2018",0.092388,0.110702,0.091966,0.105773,"113,665","25,674,000"
"Mar 12, 2018",0.091300,0.093507,0.091132,0.092496,"14,314","25,331,600"
"Mar 11, 2018",0.092961,0.093757,0.089379,0.091382,"20,354","25,792,600"
"Mar 10, 2018",0.094421,0.094898,0.092337,0.093095,"18,752","25,961,400"
"Mar 09, 2018",0.096495,0.097244,0.091925,0.094485,"54,516","26,531,900"
"Mar 08, 2018",0.107430,0.108006,0.095658,0.096918,"62,831","29,470,700"
"Mar 07, 2018",0.102898,0.107647,0.102898,0.107466,"74,200","28,223,100"
"Mar 06, 2018",0.116608,0.123828,0.102705,0.102869,"264,554","31,983,600"
"Mar 05, 2018",0.131505,0.131505,0.116654,0.116657,"92,469","36,067,000"
"Mar 04, 2018",0.132612,0.132680,0.128456,0.130837,"29,243","36,330,800"
"Mar 03, 2018",0.135932,0.142749,0.131202,0.132789,"54,795","37,243,800"
"Mar 02, 2018",0.141878,0.143727,0.133156,0.135994,"52,228","38,744,300"
"Mar 01, 2018",0.143485,0.144734,0.139231,0.141981,"56,921","39,180,100"
"Feb 28, 2018",0.144789,0.145370,0.142994,0.143574,"29,730","39,536,000"
"Feb 27, 2018",0.142936,0.144769,0.138209,0.144757,"39,798","39,030,100"
"Feb 26, 2018",0.139336,0.144326,0.136613,0.142594,"40,128","38,041,600"
"Feb 25, 2018",0.141414,0.141454,0.136052,0.139287,"69,078","38,605,400"
"Feb 24, 2018",0.146811,0.148712,0.138841,0.141596,"78,462","40,087,500"
"Feb 23, 2018",0.147593,0.150517,0.143819,0.146925,"53,661","40,257,100"
"Feb 22, 2018",0.150323,0.152529,0.145805,0.147654,"91,161","41,008,500"
