Date,Open,High,Low,Close,Volume,Market Cap
"Mar 30, 2018",0.817983,0.857633,0.672788,0.716005,"4,525,460","18,997,100"
"Mar 29, 2018",0.809590,0.996643,0.586075,0.828490,"6,062,510","18,802,200"
"Mar 28, 2018",0.396447,1.45,0.377392,0.809697,"15,744,200","9,207,220"
"Mar 27, 2018",0.321123,0.420505,0.317942,0.399539,"2,587,800","7,457,850"
"Mar 26, 2018",0.304490,0.328769,0.282799,0.316683,"2,802,280","7,071,560"
"Mar 25, 2018",0.308590,0.313601,0.286303,0.303683,"2,609,440","7,166,800"
"Mar 24, 2018",0.314558,0.339000,0.307081,0.312195,"2,858,330","7,305,390"
"Mar 23, 2018",0.317195,0.322681,0.282678,0.320278,"2,927,920","7,366,630"
"Mar 22, 2018",0.324707,0.357893,0.299382,0.318204,"3,446,680","7,541,080"
"Mar 21, 2018",0.307142,0.343408,0.299081,0.326716,"2,912,360","7,133,150"
"Mar 20, 2018",0.317102,0.342603,0.263627,0.306347,"2,947,070","7,364,460"
"Mar 19, 2018",0.269259,0.344433,0.269240,0.307790,"2,834,180","6,253,340"
"Mar 18, 2018",0.297743,0.297743,0.227314,0.267795,"2,940,520","6,914,870"
"Mar 17, 2018",0.321774,0.321923,0.294740,0.297208,"2,518,000","7,472,990"
"Mar 16, 2018",0.299381,0.328886,0.281628,0.315540,"2,528,100","6,952,920"
"Mar 15, 2018",0.358666,0.372983,0.281413,0.299845,"4,159,480","8,329,770"
"Mar 14, 2018",0.442589,0.477439,0.334734,0.360778,"3,640,190","10,278,800"
"Mar 13, 2018",0.528699,0.547328,0.426577,0.442666,"2,446,210",-
"Mar 12, 2018",0.489920,0.531761,0.466436,0.529099,"5,494,140",-
"Mar 11, 2018",0.470513,0.506898,0.454136,0.490923,"1,889,610",-
"Mar 10, 2018",0.507600,0.524420,0.466522,0.483458,"2,409,080",-
"Mar 09, 2018",0.518279,0.529527,0.438962,0.505267,"2,461,050",-
"Mar 08, 2018",0.489669,0.576365,0.471548,0.520586,"2,944,450",-
"Mar 07, 2018",0.615742,0.665605,0.468440,0.493840,"2,442,100",-
"Mar 06, 2018",0.703729,0.754899,0.602612,0.615810,"2,870,850",-
"Mar 05, 2018",0.705735,0.717358,0.634281,0.656512,"2,817,430",-
