Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",0.019770,0.020029,0.017066,0.020027,"1,407,380","58,645,800"
"Mar 22, 2018",0.021107,0.021547,0.018923,0.019771,"979,720","62,610,100"
"Mar 21, 2018",0.019433,0.021565,0.019433,0.021115,"1,286,100","57,645,800"
"Mar 20, 2018",0.017575,0.019871,0.017261,0.019354,"931,780","52,134,100"
"Mar 19, 2018",0.015485,0.017634,0.015220,0.017496,"986,457","45,935,000"
"Mar 18, 2018",0.015812,0.015832,0.011615,0.015554,"857,644","46,903,900"
"Mar 17, 2018",0.018685,0.018697,0.015784,0.015857,"662,467","55,425,700"
"Mar 16, 2018",0.018780,0.019721,0.017845,0.018688,"721,408","55,708,700"
"Mar 15, 2018",0.020007,0.020179,0.017014,0.018752,"828,152","59,349,300"
"Mar 14, 2018",0.021048,0.023113,0.019359,0.019998,"1,018,030","62,436,600"
"Mar 13, 2018",0.021596,0.021802,0.019841,0.021090,"986,981","64,060,600"
"Mar 12, 2018",0.022559,0.023363,0.020730,0.021677,"1,002,050","66,917,800"
"Mar 11, 2018",0.020050,0.023778,0.019241,0.022578,"674,810","59,476,600"
"Mar 10, 2018",0.020884,0.022083,0.020123,0.020296,"1,370,720","61,950,900"
"Mar 09, 2018",0.020077,0.021353,0.016058,0.020866,"6,012,090","59,555,800"
"Mar 08, 2018",0.024112,0.024776,0.018591,0.020169,"11,280,600","71,526,400"
"Mar 07, 2018",0.029813,0.031186,0.022420,0.024135,"8,546,210","88,435,700"
"Mar 06, 2018",0.032817,0.032817,0.028523,0.029810,"6,926,670","97,346,600"
"Mar 05, 2018",0.034352,0.035305,0.032124,0.033223,"5,403,990","101,900,000"
"Mar 04, 2018",0.033296,0.035107,0.032113,0.034377,"873,743","98,770,000"
"Mar 03, 2018",0.033488,0.035116,0.031976,0.033351,"974,660","99,339,900"
"Mar 02, 2018",0.029649,0.035847,0.026092,0.033516,"2,140,650","87,950,000"
"Mar 01, 2018",0.030156,0.031307,0.028739,0.029706,"972,355","89,454,700"
"Feb 28, 2018",0.032267,0.032912,0.029301,0.029993,"1,095,480","95,717,400"
"Feb 27, 2018",0.032039,0.033800,0.031822,0.032385,"868,881","95,039,100"
"Feb 26, 2018",0.031288,0.033095,0.030143,0.032267,"759,689","92,813,700"
"Feb 25, 2018",0.031328,0.032869,0.030148,0.031236,"299,668","92,929,500"
"Feb 24, 2018",0.034734,0.035175,0.030897,0.031363,"362,180","103,034,000"
"Feb 23, 2018",0.033042,0.036479,0.031155,0.034863,"558,219","98,015,700"
"Feb 22, 2018",0.034189,0.035301,0.031766,0.033034,"869,237","101,418,000"
