Date,Open,High,Low,Close,Volume,Market Cap
"Mar 21, 2018",0.102960,0.114824,0.102960,0.110013,"5,651,470","49,782,600"
"Mar 20, 2018",0.105018,0.106310,0.097309,0.102673,"5,875,620","50,777,200"
"Mar 19, 2018",0.096881,0.106040,0.096538,0.104380,"5,642,990","46,843,300"
"Mar 18, 2018",0.101079,0.101079,0.079082,0.097144,"6,451,370","48,872,800"
"Mar 17, 2018",0.112168,0.115421,0.100102,0.101022,"5,626,310","54,234,700"
"Mar 16, 2018",0.095707,0.121599,0.091534,0.113001,"6,082,720","46,275,500"
"Mar 15, 2018",0.102803,0.104037,0.089866,0.095808,"6,068,870","49,706,300"
"Mar 14, 2018",0.113256,0.122755,0.098829,0.102184,"5,316,160","54,760,600"
"Mar 13, 2018",0.116353,0.119540,0.111176,0.112926,"4,351,980","56,257,800"
"Mar 12, 2018",0.122985,0.126735,0.115839,0.116829,"27,552,600","59,464,700"
"Mar 11, 2018",0.118681,0.129064,0.115385,0.123233,"3,111,390","57,383,800"
"Mar 10, 2018",0.124906,0.130209,0.119122,0.119122,"3,039,000","60,393,600"
"Mar 09, 2018",0.138860,0.140405,0.104946,0.126490,"4,086,850","67,140,600"
"Mar 08, 2018",0.151000,0.176345,0.135322,0.139095,"4,687,520","73,010,300"
"Mar 07, 2018",0.189121,0.196314,0.146566,0.149028,"2,944,390","91,442,200"
"Mar 06, 2018",0.215621,0.215626,0.187254,0.189191,"3,786,620","104,255,000"
"Mar 05, 2018",0.226780,0.226780,0.210016,0.216542,"5,752,230","109,651,000"
"Mar 04, 2018",0.234533,0.234533,0.224017,0.226174,"4,426,740","113,399,000"
"Mar 03, 2018",0.224595,0.250029,0.217146,0.234780,"5,314,070","108,594,000"
"Mar 02, 2018",0.213246,0.271676,0.205403,0.225192,"9,643,340","103,107,000"
"Mar 01, 2018",0.195620,0.233194,0.193624,0.213626,"5,945,250","94,584,500"
"Feb 28, 2018",0.204523,0.209303,0.194867,0.195410,"4,470,040","98,889,500"
"Feb 27, 2018",0.195897,0.214955,0.192679,0.204616,"4,827,600","94,718,400"
"Feb 26, 2018",0.183122,0.197421,0.181075,0.195249,"3,575,930","88,358,600"
"Feb 25, 2018",0.183712,0.187449,0.179415,0.182231,"3,941,580","88,643,300"
"Feb 24, 2018",0.187253,0.197870,0.179519,0.183957,"5,141,210","90,351,800"
"Feb 23, 2018",0.188039,0.196830,0.182191,0.188179,"4,252,440","90,731,200"
"Feb 22, 2018",0.197769,0.202809,0.184318,0.188200,"4,431,740","95,426,100"
"Feb 21, 2018",0.242289,0.242289,0.188446,0.196404,"3,674,450","116,907,000"
"Feb 20, 2018",0.241950,0.252200,0.240336,0.242486,"5,441,050","116,744,000"
"Feb 19, 2018",0.226253,0.243130,0.225460,0.241818,"3,770,620","109,170,000"
"Feb 18, 2018",0.240091,0.245942,0.223527,0.227288,"3,262,760","115,847,000"
"Feb 17, 2018",0.220270,0.240325,0.218254,0.240078,"4,137,930","106,283,000"
"Feb 16, 2018",0.202465,0.222427,0.195188,0.220284,"4,070,230","97,691,800"
"Feb 15, 2018",0.190527,0.203789,0.188017,0.202973,"2,984,210","91,931,600"
"Feb 14, 2018",0.170765,0.196713,0.170765,0.190125,"3,126,860","82,396,200"
"Feb 13, 2018",0.178203,0.185345,0.170287,0.171364,"3,444,500","85,984,900"
"Feb 12, 2018",0.167878,0.185477,0.167878,0.177753,"2,853,780","81,003,300"
"Feb 11, 2018",0.176418,0.181759,0.162569,0.167015,"7,019,380","85,123,700"
"Feb 10, 2018",0.188104,0.193431,0.169993,0.176600,"5,633,830","90,762,600"
"Feb 09, 2018",0.173650,0.188434,0.165841,0.188008,"8,591,320","83,788,000"
"Feb 08, 2018",0.172935,0.185339,0.162431,0.173293,"7,505,770","83,443,000"
"Feb 07, 2018",0.188481,0.206576,0.171145,0.171307,"17,769,800","90,944,400"
"Feb 06, 2018",0.185311,0.195916,0.144951,0.189581,"16,593,400","89,415,000"
"Feb 05, 2018",0.179523,0.236323,0.139709,0.180568,"25,425,300","86,622,100"
"Feb 04, 2018",0.190575,0.190575,0.164419,0.181313,"21,004,400","91,954,700"
"Feb 03, 2018",0.186365,0.194876,0.168224,0.190583,"16,556,600","89,923,300"
"Feb 02, 2018",0.169514,0.193697,0.141818,0.185315,"6,012,710","81,792,500"
"Feb 01, 2018",0.201995,0.204492,0.161790,0.170420,"14,492,300","97,464,900"
"Jan 31, 2018",0.197280,0.202025,0.186531,0.201043,"26,101,900","95,189,900"
"Jan 30, 2018",0.222960,0.223976,0.132766,0.196439,"24,649,200","107,581,000"
"Jan 29, 2018",0.208958,0.226254,0.191950,0.222877,"33,330,100","100,825,000"
"Jan 28, 2018",0.221514,0.236432,0.202275,0.208907,"51,210,800","106,883,000"
"Jan 27, 2018",0.254454,0.256699,0.214759,0.218916,"29,723,000","122,777,000"
"Jan 26, 2018",0.251940,0.259719,0.194986,0.254338,"33,160,100","121,564,000"
"Jan 25, 2018",0.188091,0.263215,0.184051,0.254229,"34,625,300","90,756,100"
"Jan 24, 2018",0.170018,0.199657,0.160782,0.184618,"29,071,000","82,035,700"
"Jan 23, 2018",0.180133,0.195781,0.154035,0.170431,"20,758,800","86,916,500"
"Jan 22, 2018",0.197944,0.202507,0.159923,0.180160,"26,592,200","105,436,000"
"Jan 21, 2018",0.141911,0.213522,0.131327,0.196134,"21,970,800","75,589,200"
"Jan 20, 2018",0.141390,0.150903,0.139888,0.141631,"7,604,340","75,311,700"
"Jan 19, 2018",0.129151,0.159664,0.122227,0.141099,"17,650,000","68,792,600"
"Jan 18, 2018",0.127363,0.141330,0.118162,0.131718,"19,756,800","67,840,400"
"Jan 17, 2018",0.129751,0.137496,0.096142,0.124412,"19,937,200","69,112,200"
"Jan 16, 2018",0.146819,0.150208,0.107505,0.130850,"38,606,700",-
"Jan 15, 2018",0.136563,0.154760,0.102660,0.146562,"33,824,900",-
"Jan 14, 2018",0.140946,0.142520,0.128637,0.137060,"17,791,900",-
"Jan 13, 2018",0.128609,0.144514,0.127247,0.140363,"19,317,000",-
"Jan 12, 2018",0.123772,0.138973,0.117102,0.128694,"37,991,700",-
"Jan 11, 2018",0.154201,0.159180,0.119553,0.122771,"31,528,600",-
"Jan 10, 2018",0.185472,0.186190,0.140370,0.154132,"47,141,300",-
"Jan 09, 2018",0.183374,0.192520,0.169437,0.187834,"23,141,300",-
"Jan 08, 2018",0.180668,0.201381,0.133172,0.182432,"27,703,800",-
"Jan 07, 2018",0.159730,0.190662,0.146623,0.179952,"886,796",-
"Jan 06, 2018",0.140636,0.167331,0.123753,0.159766,"773,055",-
"Jan 05, 2018",0.153480,0.156185,0.136624,0.141352,"1,186,700",-
"Jan 04, 2018",0.153549,0.168891,0.122812,0.156569,"2,884,210",-
"Jan 03, 2018",0.087771,0.163080,0.086103,0.154702,"3,763,740",-
"Jan 02, 2018",0.051076,0.092656,0.050982,0.087222,"4,646,420",-
"Jan 01, 2018",0.046021,0.053031,0.044368,0.050622,"504,638",-
"Dec 31, 2017",0.043259,0.050903,0.040761,0.046175,"436,356",-
"Dec 30, 2017",0.041988,0.045513,0.038256,0.043486,"419,306",-
"Dec 29, 2017",0.042883,0.047356,0.040951,0.043101,"452,154",-
"Dec 28, 2017",0.046476,0.046960,0.039760,0.042737,"248,827",-
"Dec 27, 2017",0.050028,0.050430,0.045509,0.046431,"353,712",-
"Dec 26, 2017",0.051027,0.054586,0.047998,0.050049,"313,959",-
"Dec 25, 2017",0.043216,0.053134,0.042992,0.051020,"498,943",-
"Dec 24, 2017",0.050822,0.050822,0.040252,0.043081,"290,240",-
"Dec 23, 2017",0.043831,0.053657,0.043831,0.050812,"380,211",-
"Dec 22, 2017",0.057627,0.059970,0.037742,0.043608,"785,856",-
"Dec 21, 2017",0.065587,0.068206,0.054475,0.057729,"787,370",-
"Dec 20, 2017",0.075634,0.075634,0.055720,0.065546,"807,707",-
"Dec 19, 2017",0.079502,0.084636,0.064495,0.075680,"2,050,350",-
"Dec 18, 2017",0.048723,0.081865,0.044483,0.079975,"3,728,520",-
"Dec 17, 2017",0.044744,0.051915,0.043566,0.048753,"991,982",-
"Dec 16, 2017",0.043285,0.048091,0.038280,0.045822,"935,703",-
"Dec 15, 2017",0.036985,0.043439,0.032716,0.042967,"919,889",-
"Dec 14, 2017",0.030317,0.037667,0.028263,0.036282,"1,495,810",-
"Dec 13, 2017",0.031256,0.034958,0.028858,0.030325,"458,726",-
