Date,Open,High,Low,Close,Volume,Market Cap
"Mar 23, 2018",4.48,4.48,3.97,4.35,"12,552,700","100,040,000"
"Mar 22, 2018",4.39,4.88,4.23,4.46,"12,342,400","98,129,700"
"Mar 21, 2018",4.41,4.76,4.28,4.39,"13,487,300","98,481,400"
"Mar 20, 2018",3.91,4.51,3.71,4.39,"14,202,700","86,889,400"
"Mar 19, 2018",3.48,3.86,3.47,3.85,"11,311,400","77,431,100"
"Mar 18, 2018",3.29,3.54,3.01,3.49,"11,648,100","73,144,000"
"Mar 17, 2018",3.62,3.66,3.22,3.28,"10,995,500","80,612,400"
"Mar 16, 2018",3.69,3.86,3.54,3.63,"10,753,200","81,971,300"
"Mar 15, 2018",3.56,3.70,3.21,3.68,"10,221,000","79,227,300"
"Mar 14, 2018",4.07,4.30,3.54,3.54,"12,341,100","90,524,500"
"Mar 13, 2018",4.14,4.37,3.99,4.10,"14,966,800","92,050,800"
"Mar 12, 2018",4.10,4.71,3.97,4.16,"17,323,400","91,090,900"
"Mar 11, 2018",3.72,4.10,3.57,4.10,"9,525,660","82,706,200"
"Mar 10, 2018",3.92,4.13,3.70,3.75,"9,744,150","87,265,100"
"Mar 09, 2018",4.00,4.10,3.50,3.93,"5,398,540","88,972,900"
"Mar 08, 2018",4.67,4.73,4.00,4.01,"13,069,400","103,911,000"
"Mar 07, 2018",5.36,5.62,4.33,4.65,"13,601,600","119,313,000"
"Mar 06, 2018",6.00,6.00,5.22,5.37,"12,350,800","115,901,000"
"Mar 05, 2018",5.25,6.09,5.22,6.09,"18,092,200","101,402,000"
"Mar 04, 2018",5.38,5.39,4.87,5.26,"11,451,500","103,921,000"
"Mar 03, 2018",5.15,5.68,5.15,5.40,"13,720,500","99,456,100"
"Mar 02, 2018",5.11,5.42,4.91,5.15,"12,463,000","98,568,600"
"Mar 01, 2018",4.38,5.26,4.28,5.17,"15,667,800","84,591,100"
"Feb 28, 2018",4.39,4.76,4.36,4.39,"14,741,800","84,680,800"
"Feb 27, 2018",4.17,4.54,4.13,4.43,"7,208,200","80,528,600"
"Feb 26, 2018",4.17,4.27,3.92,4.18,"7,943,660","80,409,300"
"Feb 25, 2018",4.04,4.59,3.98,4.16,"21,577,800","77,924,300"
"Feb 24, 2018",4.23,4.37,3.86,4.04,"9,941,560","81,693,100"
"Feb 23, 2018",3.98,4.30,3.80,4.25,"14,062,000","76,796,900"
"Feb 22, 2018",3.97,4.24,3.79,3.98,"18,616,100","76,646,700"
